 	1	2	3	4	5	6	7	8	9	10	11	12	13
A	20871317.47	13225360.33	11885182.94	7327589.16	3637833.81	3122988.54	5137102.39	2450155.56	9580072.2	14772232.98	13640140.3	1548971.74	14572659.2
B	20771320.51	18490686.08	18279781.98	14917410.33	15328201.16	17010692.59	15521787.22	6681883.76	14338805.81	18871459.4	14267901.82	1829877.62	11682501.73
C	24676720.69	26005802.66	35403803.54	35900763.24	25030071.32	161212951.47	61271232.13	12165906.81	15983210.69	23517409.96	15676873.26	11558396.74	12601841.93
D	22717674.58	22694605.1	39795147.99	33684344.52	38026540.3	28780326.17	26049872.12	5677480.55	11576340.92	20924045.46	15923923.84	14759521.73	4435258.81
E	20696862.81	25986519.41	35198204.9	29305740.61	24596158.66	19618438.84	23168682.45	4828728.32	12259709.76	20354972.36	15889413.84	8436788.65	9909654.93
F	23526789.06	21929095.15	27702372.5	24356964.4	25191791.31	9001600.95	16320838.26	4798012.43	10494053.08	19643063.7	16302185.86	4638215.71	7964756.05
G	21840438.44	13878098.4	20617462.39	14971593.78	12498913.37	4750742.17	10349324.12	4759517.48	7275323.41	15709770.01	14829203.65	2653599.45	9867474.08
H	23195693.35	23389994.83	14506276.09	15526206.71	9654147.96	11474603.08	9001087.04	5147363.62	9598305.5	15710059.71	15954572.6	3431203.33	11409274.15
I	16886746.71	10449496.45	9087058.3	7045524.76	3362223.55	3327580.12	6604444.07	3548505.28	8800244.73	17930331.1	22304027.19	4552823.55	11632684.36
J	17192234.32	11790170.54	10418202.95	7130091.28	3004129.46	2642687.63	4570703.2	2289160.3	7411111.71	18753087.24	20242673.59	8586722.68	9410063.39
K	18832095.55	12176450.27	12225472.29	12166587.28	8185225.36	9362787.6	8250353.4	8199767.54	11302861.9	17968548.02	19106854.13	8450110.97	14678602.95
L	23580609.32	18121775.43	11446351.07	7504970.0	5277398.03	11635002.61	21611563.72	29364198.75	26065106.03	22665357.05	29429721.61	14081939.86	2358002.54
M	31888492.35	31803306.07	36774662.69	26828270.13	24172847.58	18551939.21	22107084.33	17772526.33	8972844.99	24257625.14	25318957.96	10365463.43	20879925.7
N	20337515.0	18088014.03	13958644.38	8307359.06	6269109.49	11168953.42	15024640.85	24303666.21	13545920.55	25935904.52	33032533.39	8277742.8	3398068.57
O	16793406.37	12170429.32	12696497.77	7901185.31	8852191.36	11712781.53	11104974.25	15491621.73	10559550.01	19905029.06	22301137.0	8025720.48	21806746.76
P	17621417.73	14976175.88	12961672.98	11457813.6	12212261.94	10795573.21	11043943.65	21311778.79	8683342.56	21070333.59	23844062.7	8158938.96	1361281.44
Q	15501013.26	12693453.43	9766369.97	10495727.45	19780606.14	20267707.45	12956212.96	26007187.64	9681957.94	17823505.96	23625756.15	4478482.02	1229732.37
R	15350340.38	13446351.93	10516236.35	16040561.29	11230139.55	25809987.53	13641571.96	15793746.67	10648369.77	18905469.17	19097320.22	3215968.44	11709893.2
S	14872272.8	8631779.12	13937125.88	12089751.03	10216163.99	11553896.12	11949176.86	6095379.32	9961228.91	21125709.24	19428447.7	3444107.19	2943212.27
T	17008440.29	14191359.58	14803073.47	14336734.63	5118679.21	7107901.28	9548965.59	6502698.74	12178385.91	23376213.07	16528028.8	11858419.48	10180786.84
U	17491567.56	16479674.74	14155140.98	14874558.97	7865358.89	3634653.82	12127428.04	11799396.6	13567568.99	25493208.77	20816509.58	9363718.8	9014559.3
V	19908857.48	21617706.71	12978704.98	19578019.3	6171704.37	10497903.66	7670912.72	5273142.39	9957513.25	22150567.96	14857647.52	23051653.1	17657744.04
W	18794352.59	17540368.38	14195720.99	14439996.83	5242389.72	4325221.91	4270919.91	4632306.27	12978490.14	23770997.15	18820228.64	19583953.66	20855338.36
X	17092149.09	18399501.3	14538102.86	16954831.29	5083287.94	3611378.53	7870992.31	6675747.84	14668712.51	30925511.24	18358167.42	21263284.47	7686761.04
