 	1	2	3	4	5	6	7	8	9	10	11	12	13
A	19384399.10	18549790.95	9212691.73	13834362.82	11954537.78	20843342.70	14617022.84	16532411.54	10538655.12	14590989.30	26002445.83	3746892.16	1001930.64
B	19175141.65	20271537.94	10693816.72	15204224.41	16163469.40	17096379.79	11458782.60	12678034.64	11401621.00	14611230.46	14230430.81	4716829.80	16144869.04
C	22169835.77	21631537.78	14944621.65	21696726.92	33591424.84	20197775.93	15178034.45	20065190.39	15417299.77	22117937.42	13167032.99	4066939.55	13023524.86
D	22152194.58	23660777.41	14351781.48	16274330.46	16593361.32	18947193.70	19113028.07	19535578.31	18774911.46	19453505.44	14093584.79	14844016.29	13257133.44
E	19814412.89	20122237.55	10783337.52	19919841.54	18932939.24	20401337.69	16307606.31	19738321.46	16408379.81	21419116.67	16250042.15	12351002.03	13915341.24
F	18565231.81	20110535.28	11897467.22	20092500.75	23503546.08	21357734.83	20160656.30	17538500.11	18703691.75	18589662.95	12745688.58	16391808.28	11868978.85
G	18403006.86	15820823.43	11272099.07	16679130.11	14253317.49	15437435.05	16079574.00	15248492.58	13132972.59	16330158.72	16335168.54	15114464.40	16490923.21
H	16880981.49	17985112.18	12531734.76	14510868.47	13936297.34	14034699.21	13915247.58	14502202.76	11720975.60	15562213.84	15498210.52	14335360.65	19562936.46
I	18153037.94	18702634.09	16981061.98	16244055.80	12131845.49	13949947.74	14669181.94	16596718.35	14113231.50	19081486.64	15588590.36	16873580.00	10597296.06
J	17116238.64	16166870.81	12866178.00	18480144.63	10044965.66	12677849.26	13179573.12	15674130.07	13025353.02	16493566.40	15635266.99	17244766.21	16388462.89
K	20725048.61	18446757.46	12116824.38	16859493.72	13630321.02	14029041.13	14950037.99	16667750.07	18958129.69	18952440.25	13846580.53	9832281.44	14207898.00
L	22460392.06	22751941.52	15370088.29	20562762.51	16705273.74	16121303.38	15886421.67	21525843.24	18320373.75	21913154.33	12231797.66	17256597.57	4672721.75
M	24954391.54	23357059.78	19493558.18	22844543.19	22659646.11	20814276.70	24892546.07	24152287.32	23413451.23	51997946.34	21450378.58	18671776.82	43025950.00
N	21905470.28	19581137.14	12602612.26	17919057.14	13288882.53	13992372.64	17069379.88	18266357.21	17426353.03	20566274.65	20010725.10	13814873.06	7155446.78
O	16341072.43	16901517.83	11212496.41	15644798.88	17446305.11	16959173.70	14144683.66	16107920.26	14066958.18	15978403.77	15507700.56	18398839.24	13152020.57
P	16927293.87	16657426.93	11889681.64	16517022.95	16269179.92	14396228.95	13383123.69	13681081.86	13313179.57	17075583.75	13851906.76	13721517.93	4300434.05
Q	16547772.99	14446989.12	10001856.09	12208082.28	14138533.28	12071686.94	12317838.16	13513270.03	12382702.16	14329631.99	14985954.76	19074016.40	3455055.05
R	13333150.81	14195379.98	8829440.07	13435876.78	10921649.26	12505483.24	12144472.78	14027942.13	11848552.09	14068346.01	13726457.40	21962497.83	11065171.25
S	14759545.31	16976521.87	12453974.75	19021667.56	13371863.75	16683016.00	19796165.07	21020597.80	17641500.61	19707648.88	14801456.30	20722983.01	12611553.49
T	15351727.74	15470541.54	13043881.96	20675929.48	15621183.56	17132600.43	16983665.13	19361330.36	17561886.15	17544030.83	15024654.12	33365224.62	23671950.41
U	19711290.39	19060199.57	12864684.20	17403955.15	18009262.25	19341159.53	18858963.73	17388653.08	16350375.22	16595267.09	14446291.63	21027462.45	14623294.45
V	19819710.55	20518195.37	10988604.34	17165948.50	15518802.83	18396744.40	15251471.66	16912053.16	16455892.34	16360761.59	11582598.48	9345028.32	13647552.75
W	21999298.21	22174120.22	11535565.61	17345060.53	24810064.96	23977994.38	19419559.30	18992537.51	17917390.00	21423517.01	18054366.49	16103536.11	12697140.94
X	20397166.49	19880739.75	11142823.18	17787606.20	16315888.03	17845249.81	20516802.58	22733428.85	21258343.16	22194251.08	17942515.33	25398230.18	10761588.58
