 	1	2	3	4	5	6	7	8	9	10	11	12	13
A	208719364.85	180357442.73	155131360.75	143791754.72	58638945.07	112652430.48	178246119.57	48411770.94	203503989.33	181863783.58	156435254.57	18123877.12	3574514.49
B	180609972.04	178356195.42	184781003.32	175241991.64	263076578.64	214679338.31	180870304.66	86248764.17	193449620.74	171534735.17	153548843.94	23172376.43	9098800.07
C	234378405.87	346500063.95	348070746.58	309024276.03	408321118.01	286758985.27	271394222.48	54785067.47	86228832.63	157652914.06	132709037.01	146964295.61	174478661.43
D	202413882.91	179778252.12	215913088.43	176746867.37	231761673.75	86071983.79	160941845.25	41583473.61	88619532.24	129921846.87	128888074.79	128330057.83	94177169.74
E	157380751.78	205961024.19	197461953.18	186006480.97	206680560.08	56280328.93	92015520.24	33264285.34	99767688.13	150150509.7	144177270.52	121733737.54	154828746.3
F	159701774.76	169669624.51	184973246.02	170867121.23	317715852.83	40667663.17	88813224.0	42400986.98	109100894.24	160829624.94	197776098.63	47963617.78	145897699.48
G	174891932.38	145014268.31	189043982.62	204593355.98	192185590.54	85832568.02	165445801.33	62880211.3	141378782.18	226126497.29	157845619.68	39962789.4	120163889.21
H	162951319.56	183214094.58	167143003.44	185143529.33	151289914.31	172205364.83	150240395.41	75925157.54	167566621.94	197618667.0	204603278.84	189089336.36	191234420.1
I	232598167.15	221868777.29	198375681.34	241617265.45	118666078.37	154733056.9	262454806.61	94692994.53	262199995.55	299331529.73	279397124.17	104937442.96	201293886.44
J	240653990.97	195768511.56	180883130.72	188721876.6	102415243.21	127751341.96	195539171.47	63438948.91	249970558.5	253459995.47	262003843.08	193708576.16	183762543.08
K	166251360.82	159460790.27	156228914.87	174293571.15	193525840.24	185524205.14	127445607.16	70781952.14	155799860.07	211008663.57	201000728.34	180647745.58	201910250.1
L	123223246.21	162137609.67	135494321.33	102237054.03	97288308.48	176961184.77	205660525.94	147210779.6	179235464.49	188207694.46	190346602.34	158727653.05	25057981.98
M	321209359.68	348937074.16	260195406.89	328503578.07	444021589.89	417376079.81	267372423.64	134536327.95	122586555.15	203049620.55	241665968.78	116857958.95	83958995.3
N	132050121.38	133798149.45	125658583.34	95951357.65	119320013.35	216633537.57	199177622.05	298212152.45	180321144.97	223523902.98	222585997.2	85791348.37	23952409.03
O	138731949.33	135053449.75	107312448.19	100272399.71	92272369.57	158511934.36	157798667.56	284182376.47	163384555.53	224672380.16	232588544.23	86673702.2	165307618.09
P	124740360.14	128877616.29	114401796.48	112411668.47	125013088.06	143856742.26	205817360.79	345832928.6	148619776.96	195718906.93	258569562.08	72775732.71	9589579.59
Q	122276618.45	121259862.81	87894050.45	84868417.51	148712879.07	165586144.94	136280606.75	277483591.25	120226830.53	185637790.47	249688719.63	47393401.01	13735112.88
R	124243384.05	123638106.59	97116549.48	98964002.64	135754046.41	242235724.87	151961197.49	223546440.49	137937309.99	158165792.17	196242823.56	37677361.24	182721711.97
S	153156603.39	121550129.52	162472254.74	145741934.34	121387665.36	127004964.3	136992697.93	91255988.64	162150708.38	253881415.06	214730791.25	46988291.39	57983244.13
T	157433356.57	140062782.98	161440500.45	177865753.04	94696774.99	96370778.31	136611808.67	80953459.85	160974291.87	235475004.45	195560943.97	206847050.86	141221862.35
U	142597020.68	158984693.41	152295644.11	151822639.39	115939331.92	124939063.02	121667314.86	185168139.68	149857219.32	221396776.05	200272768.43	175712187.25	145627159.57
V	162035743.67	169476811.35	140392203.82	148220420.92	115199546.49	115202341.25	101601668.41	73448605.22	135898085.91	203625511.05	164698165.83	261285964.04	152305897.72
W	195799351.73	218229050.78	179823766.69	212138941.34	89051272.85	82746706.73	61857084.06	62825929.96	165277015.82	244737186.13	205093977.39	195904184.76	11039517.09
X	184599423.62	209332671.82	176419109.97	168051585.33	118818340.8	87256206.0	93375633.02	106461988.9	212248816.35	271393207.15	223864307.32	188217705.52	7775841.88
