 	1	2	3	4	5	6	7	8	9	10	11	12	13	14
A	17484690.67	12492083.62	14393032.69	6963713.36	2532365.9	1760154.43	5740458.24	2311992.12	9911232.7	9322348.96	8376688.34	934083.77	437623.73	188857.8
B	16331921.23	13591681.98	16997791.38	13427121.85	7554208.09	7384557.75	15962573.73	5713342.32	15705370.33	11675579.69	10798481.12	1394247.46	624538.74	202651.11
C	18501804.16	17473556.25	24363916.32	20623715.97	18131954.19	30296992.68	88312910.95	11667361.25	21077421.39	17701418.21	16714838.49	9517725.53	12034985.19	418489.72
D	16074742.58	13197654.18	16222984.4	19281890.59	7379004.59	52617180.45	32830263.39	5795511.82	11992195.4	14783989.62	12669136.54	9774315.31	3786330.21	296452.43
E	15774688.2	15409176.49	28035766.75	27259879.63	5779018.11	29003518.45	18550221.25	4497010.1	13713164.2	17429133.63	13354395.35	11186783.58	8209749.55	375346.5
F	18746807.76	17679860.57	23649566.81	23719230.16	5651540.1	22068591.85	11348752.22	4118168.13	12280583.08	15702762.49	16050756.02	4247731.06	5524149.23	336047.29
G	20106531.94	16981419.69	21858091.85	20020126.29	7456354.89	4220917.59	11684084.93	5232570.21	10154248.39	16458129.31	15066911.36	4069115.07	3898419.02	332424.48
H	17634615.95	16642163.84	16542516.43	19297791.11	5241200.23	11196744.48	9727434.7	4805380.39	14154219.99	14894366.36	14632108.9	3490790.72	11784196.64	468738.03
I	22764579.38	17562600.72	17059054.23	13229580.12	4427282.81	3049807.34	8642763.72	3921589.99	13388237.05	17915255.43	17961532.22	3476585.66	13509424.31	514996.34
J	22210036.86	16579740.23	16004847.64	12435563.7	3431177.42	2425287.88	6366870.18	3001125.13	10874842.89	14361845.38	16666002.11	10002416.58	11432808.97	522815.91
K	20741561.72	18234171.7	17839727.69	16856862.05	8500320.95	8424866.48	9419230.11	9025779.27	14925061.99	18982118.27	18406906.57	15651589.54	15798259.65	658658.95
L	18057888.08	23521591.74	17552606.95	10839367.97	8441102.94	14778430.93	25136606.36	18396960.74	25208247.26	20942216.37	28900076.29	20225268.55	2800582.33	472916.24
M	30293198.57	35595198.69	26238274.93	31460928.7	26854660.22	23142556.14	38012568.77	14759857.96	12574563.82	23310523.86	23350449.7	17243258.77	47145997.7	1222893.71
N	20974080.47	23294825.16	18215782.3	11212963.31	12535862.37	11845935.7	26464934.14	18706069.97	14793264.27	19489213.95	22582549.46	8972896.38	6032323.63	489130.44
O	21335208.4	17020929.98	16679766.16	12904295.27	9591995.94	12897280.49	16165509.53	14618891.5	16379361.58	19668787.82	19603668.41	9199541.26	30285675.8	744431.79
P	20415045.19	19343387.59	15087713.93	17968393.81	23489359.16	7083694.45	24029832.41	21166580.77	13207235.15	18065583.58	19518707.95	8207315.37	1922740.44	371331.2
Q	19259725.56	15412097.73	12147867.4	18070600.18	51613893.06	15862134.04	22319505.28	32381184.54	12791892.67	17743236.53	18372505.21	4202799.52	1527615.05	340835.57
R	18228207.28	15592224.33	13001525.53	21269849.71	31563993.49	28714582.19	18184612.43	29984917.53	15622172.25	18201439.4	19574182.89	2793961.72	14453924.43	576291.93
S	16239575.52	12308625.07	18800479.48	17032454.86	11056100.08	14420189.9	11803059.52	10458791.95	12495013.25	21467913.58	19201306.3	2582353.43	1369410.13	443001.06
T	19294557.11	16806786.77	23395235.37	19047741.46	6316487.39	16383646.48	11749385.83	8812508.77	14004589.02	21597812.9	16224455.13	3687093.27	1593169.66	381197.98
U	21036799.46	18762567.55	17253161.65	22121307.23	10502405.08	17503646.71	17776563.4	21929407.97	17400638.92	26555604.8	23680270.3	10789708.51	2345412.31	323544.51
V	20235209.14	20835413.27	19121497.5	18220876.18	8536275.44	32324252.56	10594848.87	9963634.81	12900813.78	21173574.7	16357869.35	18464787.05	7764743.74	376716.52
W	22515324.66	22327367.77	19713097.84	18768897.83	3516350.31	15623348.79	5766599.35	7642665.39	14607596.29	25728316.45	16708892.03	24150192.51	1317580.23	291099.49
X	19821259.77	20636033.61	17929720.43	20396144.3	5767887.97	5310771.26	10061180.64	30490178.16	15472506.47	33801698.6	19415329.65	19098037.79	993496.59	253689.55
