 	1	2	3	4	5	6	7	8	9	10	11	12	13
A	15235337.52	10509686.39	7544169.44	6218537.96	1842960.67	2594586.22	6238135.29	3538100.34	12616618.19	12483075.23	10333146.56	830493.53	548250.84
B	19365285.52	16340065.21	14648262.35	12691932.07	8736898.53	13034706.87	14056002.21	9166174.16	16268092.9	17076391.37	14669681.62	1924108.63	1371700.5
C	30747928.13	36323730.91	26940297.7	25355304.64	13301703.31	52285421.0	26745858.63	11391624.3	17711405.77	16740773.72	18753875.23	9804376.27	11571262.12
D	28983115.64	24056064.93	23735538.97	29768171.78	23969470.11	20447267.56	23107570.93	7536131.06	9205972.1	13032785.22	13748446.07	8843517.36	4703695.43
E	25964192.11	30966778.86	43154639.07	29680079.36	10325894.76	19286880.82	17842708.38	6478002.17	11754074.0	14221371.18	15215454.23	8319074.76	9575761.29
F	28685540.78	27389955.2	31435420.24	25679415.3	7256634.41	8762014.41	7738863.91	6744900.57	10505586.8	15891698.66	17870740.84	4623677.91	7721183.7
G	23004783.61	14662816.07	19161011.27	19157553.1	3085001.44	6142293.59	8524437.52	5810919.41	9878694.7	14634553.41	16434297.5	3866101.35	3977787.76
H	20618876.61	17381541.94	16343506.75	18030332.21	3967400.57	10291886.76	10552008.15	5937888.1	14463607.24	17191555.11	17047666.03	3825648.43	12586638.82
I	17071295.32	12440576.54	8793130.02	9751773.91	2232480.46	4005309.34	9009993.35	9091215.81	15238241.34	25074335.54	24241194.46	3990834.45	12670969.18
J	16013785.26	10462177.77	7505405.93	8507955.5	2405557.56	3077804.98	7036073.14	5264910.72	13163368.98	21453208.88	21791825.43	8532940.66	11899512.47
K	18414042.56	16164012.38	13689810.69	14960011.4	5296724.5	8984520.61	7318295.79	12485235.65	13183290.06	17997102.86	17440869.94	8348392.89	11400626.1
L	26749996.27	24237824.84	18550243.66	14451183.09	6832004.43	20907524.55	14909443.72	26316193.8	18656693.42	23353682.16	21125149.81	13241590.8	5471418.31
M	38577265.97	37582301.51	61064115.6	31743568.99	20983753.44	17371693.8	20570079.67	44931687.9	14021426.85	31251828.06	29449488.66	10701647.32	16017961.53
N	21736189.88	22191383.37	15581028.91	10586306.39	7226786.38	9369192.84	15891672.94	51885291.47	15912496.13	25119040.55	21904127.88	8497011.21	9153461.65
O	19038209.32	16826786.67	12427651.9	10710409.82	8018935.25	14694865.81	14314526.28	13034888.16	15964672.18	17566740.16	18966820.78	7790264.77	13538494.77
P	18991999.23	17637377.22	11283122.29	14322256.76	16789643.06	8148466.61	12973135.27	19391657.66	11744308.27	21172790.61	18508345.47	9514187.53	1335544.56
Q	17448915.28	16666825.19	10774698.76	12387710.11	45543967.69	11172616.58	18264430.08	30287631.49	11935400.78	16501149.82	16949269.02	7784967.96	1775609.62
R	17320211.19	14490804.52	10796193.0	13594796.64	30076516.11	15302137.59	18265085.2	21460365.95	12323582.75	19113475.0	19496991.61	4469654.87	13737498.79
S	17912529.78	12786048.99	14644078.74	14619820.35	13439405.95	13141109.82	19715979.33	10129652.42	12610325.51	18695044.23	22339658.5	3554009.6	1952907.61
T	20175337.99	14731109.3	15782184.3	19197587.96	4041111.67	13994430.09	21950513.16	8940927.2	12498934.45	23222153.01	22837028.18	6135430.15	4093577.61
U	22142650.42	25572332.74	22539380.74	23904338.45	9108682.66	14117817.9	20699855.22	16247360.11	16840401.33	22326327.44	24127155.71	15430823.87	7054277.42
V	21280596.68	20705348.13	14138454.11	17829948.67	5638784.44	23075948.25	13633318.2	7581056.34	11827720.66	20897294.76	19420004.65	46851545.23	11468898.68
W	24449215.57	21285787.42	15229895.53	19564415.66	5167706.34	48357228.69	9572546.04	9698931.16	17260210.29	21356044.67	21085542.59	36049951.38	2066623.76
X	25502175.15	21612741.47	13220351.59	20502728.99	11633394.74	3691584.41	9198608.77	6473118.2	12489484.27	30023719.24	26998950.65	38532013.86	1912502.99
