 	1	2	3	4	5	6	7	8	9	10	11	12	13
A	225715529.04	209528222.03	160459712.78	160546213.33	74316215.02	63821465.94	161279044.98	152645435.77	233075495.41	547207372.17	438304309.62	34554017.44	9759147.69
B	197082744.95	212870730.24	187966048.88	196247442.41	221269610.75	170867028.97	178921439.17	148087853.87	220444074.43	420849323.11	379841571.6	55501439.47	22003461.38
C	168684604.01	186797651.1	186897592.09	192519681.2	309796098.86	264943688.11	280257484.16	111614759.48	183384332.3	285494966.33	308699759.94	318425347.28	427577153.66
D	145540470.79	135890991.89	157798171.49	179079919.64	168404986.32	86481299.15	153684518.65	47511217.87	68516324.11	250460768.1	275764977.44	335454399.66	204250961.49
E	155723596.91	173123072.12	176444479.96	151871889.57	146884497.53	84447144.43	120162560.43	48175320.29	102963831.87	342947052.25	344936545.07	266837489.69	390084514.53
F	163628028.25	182712758.14	199713011.2	181436667.44	199689642.4	54653840.38	125748712.63	69628074.51	115266132.86	339314138.42	473699441.49	156335464.34	249595272.4
G	158013988.96	142690907.31	168503558.02	171861493.58	180644449.84	91179485.42	176863631.85	84407806.18	135683508.37	483035453.5	364871494.13	104368545.89	433928655.49
H	173121281.81	178524776.01	167424442.07	188724442.16	141407309.99	159729662.38	156079462.66	98965875.84	172631587.09	455181198.39	462370724.45	126500548.17	388836670.86
I	216430935.59	195680782.04	195752392.6	225359210.34	109536450.59	141554471.02	204228049.05	147860659.14	222497783.52	687739033.44	678216885.97	201911988.66	428265633.88
J	206014764.47	192835847.77	166834890.75	183206425.96	116654346.87	94770001.14	178312530.46	104913126.74	152442057.47	649392308.54	607987035.43	438983320.34	427865527.19
K	180952073.18	151679394.22	164661960.71	164781361.75	162390824.0	199721882.38	141908237.75	165962408.93	183367787.44	403174068.35	423702879.84	536548569.42	435926007.57
L	174364585.38	170735623.44	165591529.98	135360842.89	110377293.25	209278561.18	188263585.36	241777966.57	222514723.42	225400670.37	314007998.12	477813610.8	64856958.24
M	322925948.52	365515349.84	259007891.84	251634677.32	356777908.8	312644106.39	203067177.22	191994240.93	138521105.13	317891224.63	392789061.43	323583632.55	163940948.77
N	201729906.89	196620535.3	165459995.11	139509694.4	153210054.7	248141349.53	146926627.29	219552005.03	181590733.99	228298085.36	292637533.41	195227639.11	41433682.57
O	178176176.08	168555042.58	140280073.53	120473634.74	130849727.51	176655435.5	155140204.23	226680360.16	182070007.62	280418594.66	305211745.55	161629106.5	80474587.53
P	195231931.14	186443981.37	155690722.61	158790529.46	186429423.9	203330833.42	180651702.63	286845193.19	152938772.19	245606182.2	355690882.21	141147483.33	21078432.59
Q	170555510.14	152386858.32	133003745.56	168244775.82	196445064.52	231942052.84	157403250.25	366743519.1	152819568.4	185518500.25	398092247.74	78494114.22	32647531.72
R	171827818.03	159503906.46	120941202.46	178711636.22	166811243.79	224199922.75	162767883.56	233144206.58	149199560.46	227048181.0	233383779.96	68826718.05	289072855.18
S	161832556.02	147038706.08	151211776.53	171080574.5	130147460.62	134507662.51	124160303.83	106899478.28	140678943.59	458321909.49	452590659.34	106551889.53	174349459.64
T	178144629.39	155849414.91	199225713.91	216542082.94	112548464.06	138311238.18	148868266.19	122117893.89	148522732.65	490542005.4	419076814.03	414315222.64	360238622.35
U	154044777.32	190555706.59	152775095.69	186941164.83	110542519.68	130221165.92	143512014.02	166520462.57	170339344.92	276320862.32	294567130.91	313016802.12	397598444.36
V	178959273.85	183842124.58	154792540.44	171479229.67	107651021.54	133679510.22	132323955.36	116634215.46	159481377.23	417659075.33	369518098.42	389009606.47	431729059.28
W	207396711.66	224097463.5	200788254.72	242898186.99	96287508.81	98973616.1	128573282.93	131303429.18	193681980.46	490169162.56	460860729.01	462084186.67	39555001.65
X	195718916.49	207599280.54	181462661.7	229675698.95	111258105.71	103115358.27	151560188.6	201037439.54	170044444.9	615960987.33	498426248.09	360607409.52	22782416.26
