 	1	2	3	4	5	6	7	8	9	10	11	12	13	14
A	18916983.17	17418882.73	9389655.67	9565685.69	2360653.41	2420918.53	5851669.61	2613505.98	10502927.65	12683565.14	11051591.14	2098342.42	19303022.62	23722791.55
B	18244077.9	16968715.35	14029763.2	14085952.83	10441580.89	11212034.27	15759117.85	7936771.16	16441689.66	18543930.27	15827007.95	1980205.18	12520163.26	6434914.99
C	16564665.63	14899496.64	14341272.26	15132802.74	22043582.74	20374124.1	43921368.76	10138916.39	14589042.53	21581800.37	23667832.1	13556511.32	15061460.62	7668250.46
D	13011917.41	12767551.79	12345465.25	13850985.06	18192302.76	19082219.8	21658246.14	5109792.39	9802549.88	12552243.89	13397974.73	13309145.13	6623045.62	26460554.77
E	14782633.4	18229879.73	22647224.89	19357581.42	15857419.08	33714836.8	16859580.45	5050375.67	12238797.59	20882271.94	16904104.98	11231327.3	12616753.47	34240378.03
F	18430067.1	19249455.14	18669609.96	17388504.65	25406663.5	13654053.12	12549569.95	5500580.26	12710912.8	19877313.29	17437939.11	5397701.29	13392589.66	32168733.07
G	16410081.94	13380687.48	13221081.77	16577161.76	21165890.78	4783127.39	10137667.92	7511435.76	9091999.88	16748020.26	16860699.4	1970934.7	3864012.54	1121409.51
H	16662610.66	17858864.75	11975709.25	15394753.03	5152384.74	14015134.09	9638578.24	8861433.95	11152332.21	17028471.72	17000518.18	2171338.2	15232556.08	755202.55
I	14244827.79	11447838.64	7741977.41	9838356.06	2515986.6	2563071.74	6752025.76	5038632.42	8808917.96	14847943.57	14028083.64	2424454.56	11497485.92	650837.95
J	14769643.67	11190384.78	6703985.99	10388381.55	2124434.52	1932139.94	4675188.78	3171790.46	7985708.39	13551235.28	14363034.4	10769150.6	15546498.58	905948.61
K	13668989.12	12449260.76	10360216.17	10839610.8	5067196.51	5161764.12	6843247.54	15014122.49	12601066.14	19588267.41	18048734.05	11436502.15	14887659.85	895180.49
L	15864761.22	15032047.44	18793510.17	8627882.03	8899191.29	12470312.88	15402126.83	19769631.61	17358839.09	20477168.18	23844087.03	19510772.92	3232470.67	754830.51
M	18204715.02	24160244.41	35543663.17	23361835.45	16809065.42	14846270.98	19073219.12	28825819.01	11593867.3	27753452.02	29529831.9	18580273.14	59499230.16	1718474.93
N	14430718.68	15806031.83	17120520.1	8346859.84	9622197.19	6878429.57	13842474.31	15815153.37	10531200.05	18393352.11	28221598.46	9989853.4	8143088.74	1268995.45
O	13977024.37	12396358.06	11797600.25	8857157.28	7785106.11	15497656.16	9165344.14	13891940.86	12464193.89	18324260.08	18199095.09	10682370.08	38692494.44	1220885.71
P	14043673.73	13755743.17	11904409.51	10099219.36	18937535.94	8768627.41	10476276.73	15242689.61	9872859.92	20711317.8	23525306.65	8931840.38	1901469.26	3270988.2
Q	13436732.9	12826861.7	12834869.91	10120024.33	20682221.16	14334810.16	15242548.83	20023027.48	9330218.17	17447060.76	17617361.45	4811039.6	1419459.3	2709561.74
R	14210761.26	12156505.25	11912625.68	11540212.6	15184516.25	20677794.59	19417142.39	22353819.31	11645479.88	18327004.65	18867505.55	2978167.32	14223743.14	3854593.4
S	10783248.95	9519013.85	10196715.49	12125659.34	10587139.22	8938330.45	11985758.0	10564990.43	10846182.37	20616007.83	20456800.6	2180096.88	1474128.66	3070650.06
T	13056951.68	12827406.31	12426601.16	18812619.06	4819349.77	11563489.41	10417540.45	8943688.1	11773610.33	21802619.08	16917340.38	6753966.05	3089451.11	2752995.52
U	12052532.41	13794018.97	11680460.06	14239250.82	5663143.41	11081932.04	11102446.86	12388067.21	12360586.23	20630274.79	17722791.98	9205891.94	2696743.17	8919783.31
V	15106328.87	15184667.26	9813895.0	15267084.57	4975912.95	20103016.14	10581963.02	10280698.54	10264649.83	22753772.8	17990036.07	21845806.19	19650844.87	6905250.05
W	15607385.4	18218106.09	10850752.12	15412784.03	2296844.05	12875168.1	4790966.86	7565360.84	13762144.0	23203167.5	18164509.36	30129795.01	17562546.51	5499500.26
X	17710400.63	15494328.2	12133660.71	17531961.93	3516369.95	1993427.44	8004361.67	14803848.11	13232161.91	28689302.44	24100430.18	21419724.71	2421835.72	2190392.96
