 	1	2	3	4	5	6	7	8	9	10	11	12	13	14
A	22855727.03	20735289.12	13625238.9	14327630.83	3727548.99	3169836.31	8406913.38	2899429.06	12561556.1	13339762.28	12385250.91	1545622.24	17347228.96	10845505.63
B	21283907.15	21516073.58	18732999.38	16766792.26	29788864.5	13953481.74	18479623.4	9540129.45	18212922.46	14441759.51	15076508.0	1674036.64	11402331.49	2002929.33
C	15717355.25	18044761.67	21180936.63	17227192.02	25117229.81	23153362.9	32514446.85	6969873.44	8937878.83	10647744.34	11000791.26	11993809.04	16710172.24	1565196.21
D	14812470.72	14350685.65	15979635.07	13212470.17	7981673.07	22336681.42	14625153.33	3408178.1	8344162.97	9916941.57	10107352.09	9866152.13	9765636.24	5237481.63
E	15989993.92	22913099.97	22476626.11	18531577.53	5197460.61	19927517.44	12602139.02	4846027.4	16687193.15	13722944.12	13396043.75	10976550.66	10763622.13	23504313.75
F	16075439.8	17855506.57	18324308.21	13963560.22	6561311.02	10516413.16	7462018.43	5489712.85	12678210.05	14646103.16	15664695.51	5026069.57	13083895.18	26397594.09
G	18561902.62	14743797.62	17463769.69	18202997.38	9356772.32	5286263.08	9544316.05	5286039.74	10015772.53	15357981.22	12885122.44	2471149.71	9878208.76	1266630.44
H	17872321.1	18546259.97	13798830.6	17156170.88	7005421.69	12312063.63	8636122.86	8184719.1	12676796.08	14146994.57	15261115.6	2919027.75	17852666.67	717041.29
I	18589847.22	19068905.32	11223371.62	15711300.85	4872300.08	4171850.14	8440052.34	4456958.62	14123056.88	17303807.29	20648513.23	4376216.58	20629094.82	682666.57
J	17258663.27	14502571.62	10793271.49	13687339.67	4842444.11	2956631.14	7378090.55	2885811.27	10834705.55	17389415.15	18613697.16	14721423.08	18470949.07	798570.87
K	16313395.08	14191720.65	12666096.93	14282426.0	15564732.73	9353727.31	8533364.81	9643175.89	14768139.93	17716085.08	18390858.05	15685054.84	20527553.19	747683.73
L	9256781.38	9455248.72	10754860.72	6985420.5	10176849.28	15834339.68	30737594.76	20422319.27	14997565.48	10617776.73	14142871.27	21933779.5	1720582.39	553592.07
M	29861572.03	33515860.13	26713188.18	31164340.16	35459773.95	31143598.36	28492029.81	15068049.96	12458260.87	18193600.72	19279925.39	17552122.34	8795164.44	421356.72
N	16895220.09	9465420.36	12107137.37	9454209.07	19485769.03	11934949.26	20392865.84	21987432.43	15006764.17	9869518.38	19012533.57	7988601.99	3026036.89	464548.97
O	16430729.77	15408090.07	14000852.08	9822626.36	12706648.12	16509453.82	14914009.2	18655475.95	14354175.17	16011911.83	18883919.76	7025597.21	16385987.93	798187.69
P	16303711.02	16300120.17	12485826.8	11228909.06	29854825.71	9824516.16	17455893.39	24252856.14	10522759.78	13012993.88	19850372.57	7135534.25	1558102.76	5278051.41
Q	14592261.73	13372242.46	6983157.57	7694685.35	26342929.26	8372294.4	16678674.2	18016655.77	7236660.11	10844979.18	17264004.04	5184546.73	1435010.49	3292175.52
R	14145318.16	13782064.59	11618506.99	12162268.34	15286796.98	18075966.73	16478505.38	17640195.75	11907322.58	13202418.22	17269169.52	2567272.01	17110105.65	4223703.43
S	14350563.32	10613930.15	16881124.42	15874650.84	10433682.47	15373134.5	12085173.44	9527910.34	13203411.96	16931970.88	20645208.46	3136620.11	2391376.04	4533271.22
T	12855805.2	12842977.64	16790723.96	19293395.52	5740217.33	15671508.9	9002584.14	6390211.15	12199190.09	18917807.97	19083312.28	5010775.51	6949483.93	4963627.44
U	14858096.59	14649320.89	15719648.32	15885268.16	8563664.8	15585165.08	12176835.71	14766294.07	13669137.32	14993448.22	16480450.73	10920644.89	5996433.49	14682583.34
V	18108986.72	20318351.06	14610086.74	15315242.41	7894947.7	24472123.5	10809992.11	6572354.07	12120118.76	20092779.93	17955699.9	21394562.5	28823859.62	8755946.39
W	21573480.81	23293754.91	18467981.0	23494158.6	3324260.3	10152487.54	3991783.01	7168732.22	18034401.22	28182773.76	22368709.39	23563227.1	25883935.08	5635047.69
X	20345638.15	19905266.84	19111479.11	17092363.14	5343929.16	2027146.9	8499271.04	13335294.49	15811978.8	46359557.94	23727076.46	18377656.2	5303058.0	2649729.6
