 	1	2	3	4	5	6	7	8	9	10	11	12	13
A	3937108.13	4081929.96	2223259.46	3212648.54	3340693.25	2812133.11	2793346.59	2824930.20	2367611.86	2818169.88	2416054.84	898930.02	779905.34
B	3657802.84	3467532.91	2566803.80	3076795.97	3213430.59	2835068.39	2781036.69	2547037.65	2682382.31	2972125.32	2672181.14	1129741.94	2896625.12
C	3716460.27	3395431.58	4196150.26	3503783.78	4299046.28	2868600.58	3242408.53	3282627.69	2704918.24	3565224.43	2647726.91	1251414.41	2220946.55
D	3718947.16	3382001.15	2494100.12	2707610.67	2982386.20	2663142.40	3212361.80	2799742.73	2891652.83	3304071.28	3205682.11	2960129.86	2884089.17
E	3062710.02	3214696.46	2139306.56	2867189.06	2509655.29	2547946.23	2738819.30	4071766.41	2664399.05	3424616.78	2878404.46	2507210.08	2302115.28
F	3420257.63	3203198.19	2187118.63	2784335.88	2512896.64	2371180.47	3401281.73	3273469.73	2860403.12	3106033.01	2469750.71	2790650.80	2222537.76
G	3204475.46	2872989.72	2263598.11	3278291.28	2600313.22	2738397.71	2893405.84	3112612.43	2401047.24	3210354.62	2721674.01	2915037.34	3004415.35
H	3180930.08	3143938.61	2476671.15	2807274.36	2611026.69	2598510.41	2841031.09	3497925.08	2366665.78	3232121.97	2786770.58	2375313.39	3406175.12
I	3869506.69	3631096.29	2862566.55	4061462.34	3063405.05	2983347.70	3348061.82	3230284.21	2604597.62	3699793.62	2838980.62	4323919.17	2291121.65
J	3877436.21	3427357.16	2622142.09	3694650.59	2856890.83	2669422.10	3325697.45	2864711.18	2654511.04	3513369.43	4252256.24	4286207.15	3088875.12
K	3653345.47	3123577.75	2421016.36	3339290.77	2630202.18	2977760.82	3324265.21	3258712.17	2728665.87	3332142.59	3007133.21	2661539.89	2398194.51
L	3688135.14	3431975.26	2335808.26	3383969.97	3077577.02	4425922.51	5251019.43	3633709.65	2990593.96	3839267.83	2539438.93	3391246.08	1245469.75
M	7710329.15	5124423.56	3720842.32	6307838.43	3666751.09	4141120.86	5335058.77	4544295.56	3197174.19	4059156.91	3555964.47	3406038.67	2036785.70
N	3792244.59	3482060.71	2549050.06	4036749.53	2353358.19	3292790.86	4241292.10	3863593.44	3026178.94	3716149.34	3608411.60	2519542.95	1046057.25
O	2974025.13	2842512.50	1913045.71	2694903.08	2543043.36	4096038.03	2620532.86	3368075.95	2769179.61	3187525.99	2381612.94	2540447.20	1925070.64
P	3050653.30	2885193.20	2106479.34	2586874.49	2852627.83	3108399.78	2602450.69	2690299.27	3040034.19	2904533.87	1987807.14	2012900.81	3081278.15
Q	2905546.17	2846643.45	1862741.56	2408079.03	2460418.96	2927813.05	2301916.78	2844866.34	2497078.97	2607989.07	2029229.40	2313332.98	2338539.21
R	2679776.18	2722868.13	1833332.26	2531759.96	2334064.20	2734267.26	2581784.12	2629481.93	2222420.65	2381023.29	2372090.38	2496527.92	2070036.73
S	3841427.91	4557291.90	3990469.69	5938154.20	4420880.07	5938233.32	5756665.57	5684055.88	4178457.37	3412578.49	2277734.60	2332438.97	5488277.74
T	3721130.07	3607334.77	3331995.73	4449211.72	4242039.44	4398848.95	3949347.18	4376450.57	3525197.71	3326289.30	3209215.73	2563765.94	7670920.27
U	3910365.78	3908261.69	2783826.88	3817717.48	3189380.00	3519542.07	3181216.96	3580742.43	2828214.99	3499616.41	2909244.41	3172710.74	4984534.22
V	3304491.10	3381601.08	2039406.90	2784809.29	2792331.44	2579273.47	2582123.00	2888105.59	2573778.98	3031413.09	2191504.91	1876622.62	4114765.30
W	3479799.21	3847158.61	2895378.49	3898081.23	3803345.34	2757268.94	2381706.33	2927576.22	2628124.36	3609430.05	3172603.75	2603662.74	3412131.22
X	3306268.36	3579100.37	2440871.63	3270328.05	2941287.67	2844462.02	2503396.40	3007583.11	2927733.96	3385045.65	3039673.72	3302817.64	2834580.80
