	1	2	3	4	5	6	7	8	9	10	11	12	13
A	29151399.29	21816682.23	16668481.58	13243331.74	3563480.22	5678249.36	14524387.35	16069513.62	22876181.1	26557606.55	23599171.02	1926368.73	2658584.23
B	29905163.46	27605347.73	24800503.85	21154492.75	21049860.29	20154214.13	20498338.5	18439270.15	23890836.26	23495864.93	23509943.32	2670961.34	2975182.3
C	30391336.96	32287701.93	28071080.75	27445274.45	22791505.3	23684317.24	31343953.23	8707938.54	11903185.45	22856738.47	18908379.66	17775183.45	26465768.87
D	26579864.58	22871486.79	20624493.06	24154353.14	16481077.71	21268608.33	28765800.15	7192567.61	10332016.26	15703771.49	14913024.58	19112495.45	14353245.46
E	25443789.94	36068307.71	41727827.11	29699256.92	7526900.16	26474674.49	22395489.5	6072767.18	13051526.71	22579120.16	19622055.76	14628025.22	20683933.04
F	30539172.76	30441532.51	29787869.92	27411605.8	6789720.62	13038255.89	11171574.94	6938613.13	12454057.42	25238851.49	29846748.68	9223429.82	18490790.54
G	32691252.0	21006521.57	26901157.09	29066155.57	10648339.0	9075666.54	16456911.4	17826289.35	15383268.69	31693763.64	23853882.59	7973460.25	15386471.38
H	26086793.02	25708537.33	21756180.45	23188705.53	8801368.89	18732073.25	18367954.84	14534260.74	21126706.12	27262092.49	25939437.14	5068846.7	23064100.55
I	27421804.51	24604416.8	17760521.88	18529417.31	5053430.8	10199836.01	25142377.71	32668926.94	30246785.66	41815214.08	39871184.28	4375134.17	24233452.07
J	24633478.03	18781540.23	15699111.99	17011488.62	5318667.96	7744426.29	17374080.18	20396341.88	23128544.64	34987644.14	35992753.23	13724342.2	29813872.44
K	28321758.91	25130068.5	24439262.25	20917690.83	23543661.56	12790646.39	13501645.04	20017572.69	20132755.81	30367346.74	32354135.43	14852658.42	24452688.79
L	31670488.71	30814850.7	41418814.07	21659246.84	19245324.4	46999654.32	33236520.22	36205581.02	33103360.91	50241892.04	57564092.78	22579473.0	4383375.36
M	51053384.03	52048067.42	56784301.57	54491906.77	55935551.87	34547024.03	45282888.39	45560607.65	26188968.98	104304744.5	75911496.97	19320924.09	11306851.53
N	33700374.68	28804550.77	34771330.38	22437214.21	35556021.04	18563448.54	26168812.96	28363912.08	21698585.25	48831094.52	48466886.27	10287612.08	4700683.97
O	32915035.89	26217478.3	27001624.17	19117484.82	28120444.36	27823607.7	20909921.25	18625601.56	27166069.72	41363087.23	35970145.88	7991706.13	5873533.19
P	26207507.57	28161988.08	19804818.28	31280667.28	52436412.26	20127358.8	17583338.21	16111781.17	18083442.46	35123085.38	35663335.7	6812686.57	1457452.93
Q	28886616.21	25789941.94	19483005.66	20983566.54	50404079.73	22808943.61	23634785.19	28557148.92	20022160.34	26583003.67	28612141.4	5659340.76	2198632.71
R	26884348.54	23634197.44	20417893.03	25806008.65	28115190.09	30744847.06	25210934.93	26083175.16	18645580.62	29797685.3	35309377.56	4118421.51	24450933.67
S	21431514.97	16803700.71	18165954.58	20844426.77	14250999.71	15811977.19	25302230.76	19032804.05	18108510.48	27271052.21	30747883.76	2860332.01	3721977.34
T	21346209.36	18513534.88	19836090.37	27515237.19	6782059.61	17291068.28	20839632.37	23031626.48	14787789.92	25233777.92	26457510.38	6698337.21	8620553.95
U	25816129.15	25326847.31	22076279.94	23267723.73	10408507.2	17803104.51	20383624.94	22157964.6	20066814.76	32804538.14	34605903.52	15722379.99	16377468.35
V	27353384.01	26565074.33	17273408.87	23159711.19	8016930.53	27090579.98	17298059.69	21384710.79	14901917.27	30434259.36	24881984.63	29768550.4	42136558.67
W	28200022.52	26283047.71	18980659.76	24997428.26	5575696.08	21447854.57	10861358.08	15273995.4	18326298.81	31445416.68	29947376.94	37972511.32	5945308.38
X	27559177.29	26206079.99	23575117.17	28689396.1	9517888.93	3524584.78	12654912.0	11122963.85	15257672.95	41131195.71	33148553.07	34206108.71	4018117.9
