 	1	2	3	4	5	6	7	8	9	10	11	12	13	14
A	136227227.6	133647455.18	113610808.27	114296264.83	45881604.09	65115090.47	127143613.38	72993335.5	112503641.47	99442081.63	80444137.38	15925936.94	84638439.61	45422083.17
B	162158464.76	153128582.92	144666140.72	150342452.95	141029813.71	111576847.66	138124320.98	77017790.36	100007457.23	82063014.72	91559751.81	24615004.42	72268562.18	9894792.06
C	146121344.07	158570166.21	139127716.97	103955925.14	114042536.18	171086015.01	149899648.77	38818247.38	79128718.95	75103709.59	72634317.96	77199762.46	98709498.21	16956350.62
D	112398420.12	101718990.88	86189757.49	82453725.08	70789250.07	48548524.07	39768071.63	22191400.73	46874910.38	57834775.4	65737982.36	71007647.78	43143971.95	29053566.78
E	105295893.9	116018916.57	142075435.98	96633941.32	100878164.27	47946036.08	58710608.0	18578927.89	61536333.68	67679975.6	77906892.92	55472856.05	92042386.02	123854818.43
F	116036233.18	122719028.22	120563110.71	112355094.58	138898307.92	26621734.88	43785511.66	28270814.52	67674965.67	77355862.44	111025001.68	30159611.51	82946508.07	118570695.02
G	152920780.36	113769697.83	140188741.95	126082625.15	156662798.11	65442434.25	86306230.85	70054508.1	99117503.3	115965658.64	87013789.83	28545273.05	81396477.95	19870658.52
H	148634606.24	145831694.72	138028783.73	134103655.11	111687791.7	122219412.84	93533506.95	59161820.51	101050539.41	110287920.76	113065354.32	36256151.72	106515365.39	10433808.72
I	169618458.3	143509243.31	135998822.02	122708017.59	57633509.91	74937196.95	157470211.56	111021470.04	149504299.28	140744790.62	154069399.14	55431296.36	109458451.74	17963851.15
J	142285606.36	144888463.64	119161665.76	99045934.46	53348901.46	68195532.22	112537600.24	96012897.79	105431337.39	129798889.53	122761429.58	111603436.54	103389225.17	18262387.41
K	164866559.75	131515590.72	135709721.93	119532265.24	153698587.26	139228457.41	102885561.81	91022994.31	134353549.98	132334564.56	148654031.57	129502131.71	119368322.51	28800266.98
L	180775457.5	218621872.73	133388692.45	121830812.88	95398740.13	142356866.02	228821858.54	125003339.93	131551758.31	166603889.34	158686817.42	119064790.21	17319268.43	27262060.24
M	282854690.17	226716569.56	201169298.38	231997784.94	374485785.53	251525617.05	222390043.67	103291182.45	95487882.66	158161568.06	156898900.43	76549528.54	34454785.77	49672063.01
N	158533512.93	165860230.11	118526272.62	101246796.49	143453656.73	199970205.86	160557925.49	151023680.11	105447507.05	161835175.92	154631050.94	54812149.44	19937364.09	54163044.3
O	157847139.97	120060511.19	120224527.85	118631795.41	93495050.2	110113989.81	120444231.18	105505805.87	117253481.08	122281586.4	142377685.36	45255835.89	65314103.97	52942179.71
P	158417080.48	144985674.56	112435415.86	118846238.42	123696924.16	128074191.22	141237338.36	143097182.24	81162768.17	133687559.87	128656330.9	47389506.51	10711066.42	20914051.26
Q	156561781.28	125215821.12	102228926.39	111533605.82	142620102.08	162215516.35	103599896.72	195594574.6	92587638.77	119714610.95	134646429.08	24985798.77	15223986.03	19177891.85
R	122963852.41	122190684.22	96671084.2	113237417.77	107360773.58	187626556.96	85735805.79	151872250.55	84220399.68	117421380.22	119342827.9	28413757.05	103619984.26	21841156.31
S	122324923.9	101839078.53	121388841.48	108867979.74	99104956.16	82716552.4	61081871.1	74329630.3	97406954.18	106503908.01	134611614.06	26246511.65	22497934.07	30682895.07
T	116847132.71	109511521.87	126947879.01	121862738.29	72784625.3	63897205.67	63855335.17	56554044.66	91390348.23	111710468.47	119603006.26	109451226.09	75536956.68	48114042.37
U	127189632.61	126575963.38	127668728.43	121298483.55	81637757.72	70469825.52	85567288.8	96355170.51	100122856.09	108536432.64	106974319.33	80557756.7	53805100.7	69071530.17
V	126084904.83	141849180.88	105658461.75	121123694.07	76432085.52	70136855.56	63760259.91	51383396.53	78788132.88	117701156.82	111664721.8	129060111.75	97811143.34	60140930.95
W	146583425.57	147417144.31	133299326.38	129425833.16	62258585.26	33151447.54	43021411.24	70692760.13	98385620.77	113063657.65	112783878.81	109716398.88	96635337.11	37880545.15
X	126464921.94	144287961.15	134809398.46	158674607.92	97654725.82	30280547.06	86952166.81	86884888.93	111180356.54	113097940.55	98029112.83	108129318.54	42493033.66	16489713.05
