 	1	2	3	4	5	6	7	8	9	10	11	12	13	14
A	101953670.13	87779456.76	72158401.58	77235435.91	47685964.71	51452276.15	44357242.7	24527636.27	48303413.89	53751041.84	42491726.38	9857838.83	53680698.14	18899103.79
B	77518928.27	75528764.6	66661859.21	63849108.77	58702586.94	75204978.68	52124290.97	32080181.8	53982009.87	47696695.52	48004758.99	10689846.28	40872858.57	28581236.08
C	50541648.68	45286248.74	39611186.39	31807270.7	25550916.67	35446382.98	17876821.49	14851454.44	22606570.0	30504622.62	28554954.34	37460965.8	55069429.78	19009434.62
D	45940709.67	33946007.91	29109256.44	26318546.98	13823791.39	16833662.77	16453592.26	9595031.3	18265681.6	26960568.48	33149009.9	34272805.01	29990930.27	26587272.84
E	45879920.52	45756457.14	32702583.83	30815646.51	13146287.94	18865780.61	20403061.67	12209150.51	35123851.54	35087252.3	41672312.91	32938784.55	45062682.59	57806826.35
F	52584821.44	44656470.43	34603445.96	28313029.64	13080290.06	12225752.25	14216998.88	15267346.19	35558204.76	37341323.75	58649641.45	21329974.93	58685163.36	76305471.69
G	64312740.4	53583617.54	59272084.21	65448027.4	42612669.77	29433724.98	37941259.19	28533921.97	47729155.45	61413044.98	48341746.55	24127239.38	66612021.47	7173879.96
H	64535749.56	58222195.82	53055228.21	57473845.89	51931381.49	52912685.15	35714387.2	26085490.62	54799720.39	54266559.9	59875151.02	47165203.82	62237213.95	8925368.92
I	78194987.27	82117213.71	86179665.98	96328539.7	121480559.98	70805776.8	55180478.53	44905875.11	63731335.49	73568801.52	78362757.07	44453495.28	65022354.87	5825786.29
J	85401056.23	73755035.33	77333916.79	75510051.93	75668780.19	58736627.76	47176333.3	33155797.14	62363618.77	77405530.86	78975490.0	74674992.37	65031036.33	8976102.27
K	68402535.35	57676171.67	59111754.38	61142006.97	77764091.44	55003594.86	38272089.76	56408377.65	54544160.33	59463640.85	61521372.05	64379993.38	66602421.31	6027033.16
L	44665451.23	48350185.15	51130537.45	40060769.86	34306938.72	78136219.1	65533491.71	122387706.99	62646799.79	68946566.92	74585581.99	59917376.55	8012137.25	7147945.98
M	110447374.6	121821274.98	110999330.8	96129569.97	107659747.71	92035862.73	83992274.77	78886501.71	54071949.26	72045007.15	75025918.79	38118786.53	15465227.53	2448662.16
N	55078773.94	50724412.36	51297994.19	40780110.44	47838885.34	53076966.65	55273810.79	84901617.3	62472137.04	68799122.35	76305731.87	33614186.55	7199702.36	2545575.72
O	58100503.85	53863863.09	45347664.45	36451017.63	43988162.39	51269201.61	58692485.7	52631914.53	55013207.19	70691289.15	70914338.75	24643546.55	19110296.24	4360814.47
P	56276331.49	55111979.71	42344974.6	36281610.78	39148685.38	49007545.51	53163236.8	55168650.58	44417559.37	62643923.01	62558947.36	25795355.69	4538685.15	12193068.28
Q	52838450.65	46200858.96	30858683.34	33568824.19	38364749.48	51570819.68	61936128.85	57766079.03	36314532.29	53865762.67	59794735.78	15999380.69	7324881.87	10865750.35
R	51757092.42	47363060.64	37893800.72	40015315.25	34755439.13	57892113.5	60568859.92	53966335.76	42105117.74	55159159.92	57635640.25	15403673.45	49641489.66	11454951.15
S	56747228.86	43805351.18	56989691.11	54273208.93	42467329.2	50233088.53	46392205.96	30292920.85	44338711.62	63382678.41	67836586.05	22482605.34	19930536.82	13161580.14
T	62139342.07	49380921.97	62247659.87	65650734.1	36964757.5	45783257.37	34057160.56	30108591.66	44830685.14	61685392.35	63512412.45	25666045.41	52572658.89	27770687.92
U	55114787.47	54829683.83	51758620.22	53150914.67	38500782.43	51745670.48	49692744.2	44455537.38	51674854.73	62759481.32	70868016.74	42146150.64	69184675.89	62360126.07
V	67382427.5	61372799.27	51963980.64	54198409.81	40823034.11	76473208.08	35487673.97	33827461.26	44899449.24	61380630.39	60476831.21	43264868.87	65542049.06	38550426.2
W	77194225.84	75768489.33	67984521.17	74276613.67	43825641.61	41984428.59	22800218.46	37320792.87	48034632.12	69434878.05	65967503.89	41285466.03	74515147.98	18490784.08
X	78647667.27	82354174.04	71886041.64	72717358.5	55877387.73	26611705.07	36498111.82	44422710.46	57090714.94	96334333.89	68771995.56	42238886.74	78458719.8	11257040.02
