 	1	2	3	4	5	6	7	8	9	10	11	12	13	14
A	9094228.6	6523325.72	6480028.79	4969005.02	1062663.99	1329132.92	4752403.7	3760515.79	8572177.29	11747239.35	8849573.42	1959190.6	8076903.42	4755939.78
B	9606358.87	9572663.08	9795889.68	8784015.3	6337013.34	5585493.7	7132868.95	5103227.54	1448209.93	8548034.47	9190149.57	1523226.77	7794452.78	1634366.29
C	8274065.39	8327101.05	9472433.72	8010619.65	9814897.21	6208578.69	9262416.6	2633654.13	5124408.24	9402855.89	8281401.43	7691936.18	9028990.35	4236641.43
D	9247712.28	8430707.85	8171010.65	10540806.45	3742226.51	10979533.32	11770961.52	1962379.65	3940142.09	6792287.33	6312751.11	8103641.71	3957658.27	7137658.02
E	9801265.96	12405579.28	14494660.61	15269997.63	2159303.01	12279150.56	5954178.32	1977553.28	5060235.35	11270161.33	7314922.58	5589396.31	7117764.01	11811347.64
F	11640977.5	11534821.9	12459971.54	12072034.11	2204643.11	4378983.43	5056121.4	2323218.6	5443261.51	10501528.3	9781925.77	3321549.15	8388691.85	9771352.64
G	11165255.67	8257649.35	10989302.91	9996961.37	2061812.6	2678926.79	8529008.76	4554007.89	6725196.73	12127920.24	8560143.53	4776529.16	4155738.75	864052.25
H	11139452.47	10500553.52	8500041.08	10207092.32	2099611.34	7634720.79	7615027.34	4232448.46	7872151.81	12471572.63	10745973.16	2752786.35	8665537.53	827735.28
I	10599655.82	7308985.73	6798163.49	7398529.62	1306292.15	2377158.63	11765936.1	8662008.86	12087243.63	16420014.92	16317126.07	3140694.37	8634218.98	741227.94
J	9822976.32	7579244.28	6000152.56	7679468.47	1328753.14	1696424.03	6620779.58	5129616.97	9203087.6	14857693.82	13088321.99	7960925.29	8083373.2	893542.95
K	10473713.17	7928973.9	8300926.54	8762093.07	2644074.06	3348680.56	7391710.01	7886499.76	11626919.47	14913918.05	15031125.6	9011891.71	8897227.84	785371.46
L	7924987.58	8047832.5	9242816.99	4944729.46	2837110.0	7910994.64	9290505.41	14309570.35	11336172.46	16540213.57	20838488.01	14129187.69	1389492.12	668053.0
M	11576935.7	14674077.37	15836855.84	12781986.54	8317039.48	6696874.32	15389769.43	11498261.68	9647807.64	17603333.34	26891754.78	9650432.05	8706225.22	589287.16
N	8697641.67	7981995.69	11569680.8	4907797.38	6330189.32	3895098.84	7591775.48	10853901.55	8417531.26	13354773.53	20688700.34	6071568.21	1524431.56	605993.55
O	9374191.51	7744796.91	8193787.29	6759711.9	6000420.77	9081464.66	6110167.52	8246929.32	7352642.67	11533813.09	18206920.79	5189458.16	3836214.85	629687.24
P	8521690.66	7830900.23	7156718.87	7553009.73	13713984.54	5382259.0	6521453.84	9209058.03	6672029.81	10109171.01	21806048.73	4121021.76	799412.83	1885696.29
Q	7310230.68	7026666.08	6554003.01	6171744.84	24198587.63	6955594.06	5509563.53	11486732.36	5920731.51	7687917.13	15481549.62	2273652.14	1079511.1	1706341.81
R	8204452.51	6436061.92	6811287.15	6563462.82	8097121.6	9027609.58	7346019.92	8320703.33	5890603.83	7920458.84	11712015.25	2452646.69	7127956.7	1948580.8
S	6974725.46	5130803.18	6855148.44	7179500.78	3812923.45	6034497.75	8049885.99	4616470.46	6128163.34	11152452.9	11579800.58	1705367.96	1157724.57	1775434.16
T	8507807.71	6319755.14	9713472.06	7901485.52	1946959.69	6997987.31	9313011.39	4409199.24	6536061.6	12024125.79	10724010.66	2405363.76	1648791.89	1479706.34
U	6674399.05	7793851.45	7591617.45	8817777.68	3637342.34	6152543.74	7705289.05	6134685.1	6800200.25	8713238.85	8727608.51	5402462.74	2232238.39	4164082.16
V	8181196.36	8981568.45	8099566.54	8856418.66	1905971.24	9803619.43	6778733.53	3698887.66	5205001.68	10213016.68	8516747.17	13018641.94	9230800.84	3412995.54
W	9440893.72	8479205.87	8059612.82	9337777.34	1251546.95	3250658.44	3659798.79	3734596.85	6159054.97	11113211.5	9934820.59	13608712.91	7848540.54	2940602.53
X	8783675.1	8109743.36	8454531.59	9467371.47	1809686.36	825489.22	4761590.64	4745072.39	7398441.74	12970478.23	11841536.09	12060146.11	1977930.13	1559281.49
