 	1	2	3	4	5	6	7	8	9	10	11	12	13
A	145117706.47	146741424.82	136358966.13	134428520.75	47815584.45	53890586.79	138724829.82	77196647.02	125692930.62	113981436.81	53907466.05	12052939.53	56916074.81
B	143999797.9	121325473.44	132160508.27	142370140.82	137406622.31	134728550.95	109381794.0	70225357.85	11790656.49	87022725.86	43841694.19	12298465.26	51991881.06
C	103945144.6	133959752.78	111265596.95	106580748.36	92763904.36	95214315.55	147579313.35	32653732.28	73334607.28	73372447.66	49111466.62	55369774.09	91920236.79
D	87296696.55	90489903.55	80759136.54	82471041.69	59876865.45	71788497.7	35147995.86	22166453.62	45760235.05	56138266.83	49706289.27	66466680.97	45333749.27
E	115499365.31	103537752.22	117292789.62	106189040.57	86750304.63	31208269.4	65249884.51	20031238.01	74111308.22	74016322.37	52515975.61	52934796.31	82076618.42
F	116620705.34	115829309.07	117821549.77	98110915.26	128204636.37	21744119.68	43340472.7	27137595.76	73953843.9	80603274.56	61346132.04	25805350.74	51451132.31
G	115621044.25	107042042.1	122211412.65	126158234.47	138507375.95	37386230.12	71919320.3	63249274.51	88484797.32	109181023.4	64721754.14	18948876.96	55984132.29
H	124658076.26	118226162.23	104467872.02	121822668.72	97741974.11	87375860.05	77521050.11	58366816.22	103565181.04	98059157.7	61878504.95	20726253.4	87294009.5
I	141594063.01	118702049.33	111311428.41	118027660.46	49167067.68	55320667.62	133997222.75	89241442.61	136399559.38	137631832.57	83016851.77	28290029.94	65353697.86
J	109844432.92	109336857.41	93115893.41	100710957.86	46951591.95	46449662.89	81879689.86	63333292.57	105830915.34	112616413.33	81539915.53	83464760.5	83461439.23
K	111956345.32	112472701.37	100582672.94	125050401.85	172464575.81	103295260.01	78902699.86	79587041.61	113248644.48	101960663.07	80308303.32	75188078.03	72249905.68
L	101924246.29	132563003.57	86294193.91	77674428.8	87599259.07	116429185.26	171075714.13	116143428.76	108883179.87	112815084.59	98506391.56	90443014.4	8851425.38
M	170757091.85	151655064.3	135412805.46	188277711.33	222810400.26	177763909.29	173478938.77	86965849.36	78799894.07	116120915.2	94793456.56	56913872.14	18340435.66
N	93267669.36	105525769.85	75395154.92	73983015.79	117126139.85	123633715.75	113218798.67	125984128.5	78003237.98	90920072.03	78729998.81	34998647.32	6474424.07
O	92205246.03	84789421.05	80042648.48	74973132.69	71883344.58	79872114.18	96118905.84	106354457.01	88688211.68	83268295.7	81816923.7	36177280.63	29539321.12
P	87099688.79	82488971.5	70209725.79	86865065.39	78851405.67	79502747.61	89675706.93	128272201.62	77465676.26	88557730.66	75396048.75	43147273.84	3824112.88
Q	90617958.22	84788906.64	66016092.16	73507227.31	98360735.61	157850421.01	83411833.14	173787838.23	81452485.51	75165508.65	85306008.23	17915982.22	5963887.7
R	74478300.74	80727553.26	69498591.62	74224513.61	91891716.95	219649453.74	76822710.05	129077003.29	79886468.39	75083023.59	67993947.41	16771404.97	97847379.67
S	78590035.75	78891458.02	86213384.17	94532640.71	76622835.32	105571406.73	60023321.79	58015493.12	87474190.35	93784560.28	78211086.47	15450214.76	13554824.15
T	94656930.67	90437152.28	100902991.33	114057536.9	61142640.56	68607129.24	53058481.88	59830140.58	86880316.92	116914599.48	71842174.15	72943435.33	61990643.72
U	78289773.5	84919050.8	75442255.33	88415607.02	64753735.52	88090110.95	61768582.11	69658948.21	80986438.18	88300890.55	82190590.61	58634944.76	42856924.29
V	94722443.43	106265938.34	82474660.09	90929509.39	65945172.63	91228956.58	49472368.9	50702516.33	73401798.37	93719791.89	67288093.86	97550488.82	86353153.37
W	114230635.72	119232723.99	95918933.3	116025090.75	46766152.59	44413655.93	36172582.0	50391195.69	91982574.03	108792145.46	77678805.22	93600677.7	72547465.9
X	102780737.41	120484902.04	101063031.0	103572077.06	65176816.68	21460288.33	58548257.01	69938754.86	82432934.91	105932748.56	76647619.18	86695977.62	41399781.08
