 	1	2	3	4	5	6	7	8	9	10	11	12	13	14
A	35144468.3	28815283.64	25359648.24	21352852.75	8723744.37	7420138.06	16370283.04	7711439.73	28042932.74	493730.3	416870.44	281452.62	452276.25	502280.55
B	42774331.45	36530682.6	36478110.88	39924243.38	53838590.04	41163224.54	41387091.7	22448600.37	39234545.4	548466.54	495426.25	305461.18	432142.83	335012.14
C	51990927.55	83011044.26	91106320.33	57551271.99	189558029.53	97463298.86	178758337.17	31235760.11	38710901.05	671814.19	607303.32	641382.25	555052.48	342378.18
D	49278411.6	62718124.04	62418130.36	41721547.09	34173757.8	20931062.03	56625579.17	18456611.81	28908697.86	614325.8	505402.76	625119.3	437332.06	406238.77
E	52724200.35	68217355.53	85553568.41	56430303.76	53768928.3	14332996.08	58345084.2	16322251.37	39902008.62	581031.5	572212.06	661989.29	571690.68	880131.02
F	54003918.93	55759516.75	62276909.71	44509222.41	67279176.45	8908926.57	40500445.52	20654177.07	32769369.22	762380.5	702304.31	697637.56	556280.85	959380.26
G	41736703.33	35060983.29	42347442.32	33913138.2	27284725.68	8623412.32	30272180.47	10722597.5	25146187.66	681480.36	801697.62	2097231.12	742948.6	451299.72
H	39275336.05	36351030.32	30545771.95	35682458.6	17107419.97	17178503.17	20418691.09	13217546.89	27077228.81	759263.16	886171.98	2221060.47	878947.02	378889.7
I	32988600.42	22645187.44	24730716.89	21157042.03	7726157.25	11598505.05	15488105.99	9189249.74	22478890.18	708019.44	910123.53	1430278.66	826113.41	488983.51
J	32181316.74	23708615.85	20825061.34	22333787.36	8223358.74	7345289.15	10732535.59	6823595.27	17327303.62	747509.25	842440.81	1499934.69	739480.96	426209.14
K	41070786.33	33150219.7	33996170.29	33907295.95	26074803.02	39272077.9	25485978.25	19363881.25	32408045.1	781151.18	964057.51	1101732.99	828424.17	537526.02
L	30910906.12	34598832.03	26922302.13	20573724.33	25195811.57	56177454.54	51156625.15	37908208.45	41171529.62	1144461.54	983820.55	969460.64	395860.38	479153.43
M	62824380.55	56556162.59	58065659.53	66314414.55	119768970.67	86644478.77	58556294.59	36185292.15	27379966.25	1218014.76	889388.92	524794.28	679055.47	651184.08
N	30227257.58	29842243.28	24141035.34	19099680.77	24089888.47	49180333.35	34000113.82	35722929.54	26086669.58	989088.69	915302.96	497976.75	423454.57	564813.87
O	34604472.85	26015095.01	28270247.91	21945839.11	21906028.85	38738789.32	31754804.38	38591581.28	30933850.72	688691.58	663699.94	408163.51	1311396.82	589431.85
P	34222100.67	27396907.16	21661441.05	27029557.56	29738409.11	31552927.39	30427997.42	51246235.97	24208605.5	755224.61	866375.13	468264.81	362141.37	455668.64
Q	35379862.62	24813192.45	21203716.96	29061451.09	50113573.08	45647274.47	34963010.79	61711328.04	25023451.2	614277.01	630087.56	415753.04	389998.24	414220.47
R	29692766.57	25128035.64	23165016.26	40248171.66	36633467.5	44115482.82	34855957.97	48352755.87	23533594.64	663421.41	611290.19	682182.16	770194.86	510204.1
S	30753239.46	21833677.83	29945550.62	32220189.4	25558828.7	20443874.75	27067218.45	17309389.4	25332492.44	511951.22	593868.99	598276.13	434052.8	500206.66
T	32605827.47	28793746.56	36253549.23	34413660.43	12361309.84	20247207.13	25029107.54	14607821.32	26995236.68	750470.24	643032.21	759347.15	511868.43	738434.78
U	37228046.49	38315567.26	52583001.37	82435040.06	21387117.99	31786201.41	27548984.02	25679808.04	35020373.25	1265876.81	1218761.26	586917.98	432172.64	516172.13
V	38519558.02	38658020.15	31999018.42	34180913.58	15466632.65	20534019.19	18040490.02	14436047.71	23697117.89	2404646.68	1376768.41	700401.86	473238.53	412358.66
W	50071139.0	41422020.91	37020551.73	34815852.53	10621542.26	9587049.33	12450535.84	15672246.04	34849945.56	566812.09	761588.23	567640.53	474159.74	393643.42
X	44752882.82	37219003.63	29209067.38	38270446.86	17194038.05	12400158.24	20509719.98	22486583.41	39325523.78	629799.93	574265.65	550445.72	423925.14	325092.47
