 	1	2	3	4	5	6	7	8	9	10	11	12	13
A	41905492.56	44214233.36	24469265.02	17217503.18	8114680.96	4468758.22	10001671.82	6013528.45	17635980.9	15464640.26	27085729.82	2929188.92	1284252.93
B	56659732.4	77759588.05	44522519.47	48407296.04	36027986.71	19458585.4	37014502.68	23980215.57	49805634.66	26280339.12	36792412.09	4385188.11	2475259.9
C	86460974.67	91707690.29	96053081.62	87206619.97	285667922.91	106847226.18	46865546.45	25000866.23	40743864.19	20921059.98	41322867.55	25619654.1	32295938.53
D	49191370.09	47423680.18	70387111.47	47903242.05	47965759.85	111889658.2	50135359.86	12135460.9	23253529.83	18029694.79	19960178.75	14569269.01	14150723.41
E	50336953.78	63585010.53	80529122.84	50301229.62	17812634.52	81228761.69	29402927.67	10160530.94	35904799.04	21929869.95	38619113.62	21230082.81	18582259.75
F	52612237.32	58023452.99	64588301.64	39814904.8	24185514.2	24221753.51	26478351.17	8245927.22	22276993.39	27558553.26	44503300.92	9636498.81	30710214.15
G	63788500.65	38205004.75	43583875.5	38770853.69	19419572.22	10180215.61	31396670.33	9591216.63	20411653.38	34762211.45	39579333.98	8782947.23	16509835.46
H	65929162.34	56856829.88	29913347.65	43372746.13	12936019.5	29177872.47	20425431.08	13079213.41	30739365.35	39231372.86	46360625.54	10424687.68	40392308.36
I	47799209.28	31065095.24	22832259.01	25927167.79	7157414.77	6735860.48	14033003.73	8858230.54	33884737.03	31443538.75	52048539.66	12002829.09	43702209.21
J	42865700.62	30825485.72	18734301.84	24470557.09	8572009.66	6403157.55	10897724.43	7359386.45	21221267.03	23126796.11	38834968.38	29376998.65	36888269.31
K	54752916.28	37084408.0	35186842.68	36207376.18	22550251.31	14455225.91	15739106.27	26376150.22	34277073.9	72597095.17	78756588.5	30794279.4	50603015.41
L	60238792.49	56179555.25	56150136.42	37431439.96	26243487.06	30109206.69	136786431.61	91648249.64	76709744.7	82318794.23	77737080.02	38164617.37	5971402.35
M	145720838.94	143095988.23	123243221.09	120143900.16	86137314.93	56339375.95	107724195.77	54370737.51	37591055.42	99586875.16	100841357.72	41792169.81	48526325.6
N	64029930.39	56840454.87	61499811.03	33618146.99	40712180.85	26784680.64	58434930.88	46401969.72	38442850.63	100105250.81	80128477.48	21119428.8	10650430.84
O	69153725.4	59639144.46	50376965.49	36221096.89	33100389.38	55788867.95	50173975.8	76805985.13	60121038.34	88913255.9	79350449.02	13850228.53	37526223.48
P	60959785.53	55134728.68	36885334.95	48814606.44	75687212.62	26211548.39	57849808.23	51002574.24	28505095.09	79371772.39	79878295.01	16735616.71	3482891.52
Q	59666051.67	55123333.06	35062115.19	40233437.59	126476308.03	32766980.04	48179303.35	114202633.74	44693907.01	72276271.26	70940666.78	9776549.54	3843735.46
R	58894178.76	49315237.32	40149908.19	42657030.7	68869078.35	57622341.41	46742937.41	88381166.88	39258093.97	74305921.56	67378512.28	8627851.27	50102127.62
S	45942827.21	33294131.84	34348200.1	36168121.03	24644917.45	33498241.85	32110680.6	22674546.2	29781455.81	60637244.35	69359239.57	7460638.23	6990955.93
T	43476618.66	36708198.42	39369085.72	37616930.49	13563098.09	39667656.22	30335244.64	16914082.85	33093494.96	45731947.93	51286192.05	12690387.09	10232366.01
U	59600780.12	63154503.58	49107512.74	51719242.49	25278936.67	45964011.62	42749324.06	53389678.36	42832391.38	74775129.32	73027530.22	25499732.56	14914902.49
V	55979611.29	63123013.73	36636125.76	41444406.17	16269378.24	44511083.54	19813459.11	15016047.54	29279072.02	69179080.49	51382605.84	45892023.29	50935937.38
W	61128488.23	70276132.77	41964867.43	49908554.19	8615129.57	23151498.17	13786750.04	12280881.87	36160256.54	47420412.56	68010601.59	63862816.2	4786253.03
X	49398205.76	50785040.73	39089823.74	47828194.68	18835207.2	10207948.93	23803350.73	12655903.64	30276960.33	84450459.41	72155780.37	60187221.16	3430342.58
