 	1	2	3	4	5	6	7	8	9	10	11	12	13	14
A	44232460.93	34076386.19	22220775.04	18741512.2	8191454.79	6608652.87	15984668.85	8401125.26	36418766.47	36919723.94	35256771.56	6894653.44	45075929.84	42038222.42
B	48012437.37	45072423.43	39472807.14	39091185.67	38974699.51	32784302.52	37964849.92	24968656.44	43465613.22	48713540.32	46030366.79	6403310.97	33766866.42	7423456.29
C	67727068.19	76878079.47	74186722.42	65773055.81	142285921.22	310599864.94	154406350.44	25690344.87	42331059.15	47229575.66	48425251.96	40641505.21	47600738.66	13102861.4
D	48032404.03	49738073.7	54621421.32	50115564.29	55114781.68	36860438.77	43607178.35	22220242.7	29819497.98	50487437.33	49437533.3	41995670.64	26336703.93	26203879.06
E	48262273.57	56225171.05	81231903.99	61406588.73	63048448.9	24816190.12	56544077.49	30138239.65	41311534.84	49845554.78	49102328.07	39989783.42	36243353.78	51658807.48
F	53853467.54	55654040.34	71834333.0	55482219.48	78723739.53	12981715.53	37564358.48	32522869.45	31699836.52	52681386.73	54297322.82	15349516.6	20926313.24	56368655.49
G	44165982.17	32376325.01	40862600.14	33947603.09	29291490.26	10036088.34	29255152.4	17021381.49	22853523.57	41262527.49	45314451.73	5956946.46	31956507.38	13390844.43
H	38327612.99	38068287.34	29897108.99	35980538.57	20605057.17	21033566.07	26296106.98	26262221.05	28288880.2	38735046.84	43724753.57	6536510.14	40102901.41	7690872.29
I	34943003.36	26931823.1	19890207.3	18385763.09	8495620.59	7830142.54	19908659.75	18559853.06	28555212.39	38655306.51	44060311.55	13691338.62	34867070.13	13938069.16
J	31870786.93	27855106.03	19046412.12	19337441.32	8457295.98	6814380.16	14483957.08	9473698.58	26124744.01	43781959.38	45111980.18	34741319.0	39324317.31	15062425.96
K	39700522.82	27164608.86	32182666.02	25984413.54	26508117.97	36707618.06	24299262.19	24628555.24	31665903.5	42323772.96	48807885.69	36014700.87	45464786.29	16793992.62
L	40326999.4	41829769.23	28601900.68	22629512.26	16042646.67	48395459.52	56911998.58	38233204.4	32769004.03	45924855.36	49017221.78	47901987.69	9599442.44	20204140.2
M	84014118.14	78874031.4	65367640.75	57148906.52	112564011.83	74524944.88	62432943.69	30166180.7	24343020.29	55027713.14	53233432.14	44188192.37	106354383.45	28037397.76
N	39718075.19	35700651.93	28757921.79	20379642.43	19218179.54	53390515.8	35893909.14	29661395.37	28232731.26	49777884.78	52856572.55	28198114.13	18142327.02	27372604.54
O	38568738.41	30184466.99	26333316.61	26259966.98	20315784.39	21627882.84	29832010.89	28521737.4	32403139.29	42251394.2	51091764.99	26689567.75	80362398.49	29265508.01
P	40175701.18	35001111.63	25369152.21	26566725.53	28589505.02	25846679.76	28024264.28	42102810.34	22053612.28	42985946.89	52996200.11	27952924.99	6310818.3	13595029.18
Q	38345926.9	28271220.74	20376440.08	27548476.59	47484775.43	48519048.98	32442110.49	48137191.84	24020798.82	36747346.22	46375821.06	28899614.95	5888691.52	10979180.24
R	34184489.22	29126320.68	23732132.46	31292280.57	31014689.53	69100561.22	30639419.79	41109018.67	25670170.4	42101576.28	49658578.21	8571231.45	45523496.13	19066193.68
S	32209443.14	23720947.95	31736651.58	29503743.84	21033601.15	28646432.32	26358676.76	26666042.65	28122506.11	42783245.3	47890691.24	11073584.48	18002364.48	25444818.62
T	35345861.77	29182658.72	33763008.23	35985272.02	14641060.58	19958868.11	24509686.02	22040704.76	27169410.37	53268767.36	45840171.41	49434153.88	42739706.62	38790760.06
U	41435833.24	38431183.98	39086708.11	33781991.56	21857837.51	20861106.34	30016369.39	36116445.1	31631903.2	45232214.75	48904107.01	48368548.95	52554666.81	66117071.26
V	39808052.3	40375950.95	30459237.84	34482417.79	17139474.43	20821610.43	19894428.46	19591540.24	27533656.31	50510900.07	44630120.17	76160256.63	65867636.08	29788160.74
W	49996231.2	38678366.99	34909788.52	34947123.81	13060654.87	6438734.99	12261543.93	24682885.56	34857581.75	51844952.68	49640643.31	71700933.73	71097757.74	14485275.95
X	43093541.05	38960461.93	31679916.32	35465021.12	19347943.13	8181709.58	18112286.69	22981305.19	31998459.88	77581794.93	53318881.78	59100309.17	71418756.96	9112022.89
