 	1	2	3	4	5	6	7	8	9	10	11	12	13	14
A	291584043.58	277527067.88	222750656.08	241610655.52	178428950.03	87995229.74	304300356.82	103109942.87	270289740.53	253691912.4	238279899.04	45142521.67	359423340.78	173417192.34
B	300802146.41	305419125.13	283877223.61	316491466.41	353004345.17	340776258.21	306987434.36	209730809.91	345203408.87	267250531.24	295024029.19	50209945.05	258837081.05	34306204.48
C	357126034.79	389937824.38	331300926.92	245082842.44	331294783.99	166730209.44	207422756.58	99958005.08	201000832.59	231445382.02	253253259.68	300946948.88	364613084.67	115718430.54
D	279920882.81	278878245.9	231452233.31	185535044.67	229544237.5	67907890.4	120207774.33	48579518.35	132589542.6	195428885.53	265716335.5	259923863.98	216809491.82	246491317.12
E	286470321.37	349486648.78	246704164.59	244293651.47	246613957.84	92053900.48	174663284.7	78195416.85	233809884.28	274923386.58	305243994.96	224615916.77	327916350.78	401212924.77
F	308969408.66	287727027.56	246334556.16	226862094.68	275855650.23	51508267.89	144115945.71	97485891.79	214814327.96	285074826.18	394252692.55	134418777.09	319234883.01	371739155.54
G	315638421.18	236000255.89	248050958.33	244651617.26	158902689.86	92194872.47	219885326.73	161354784.04	211675096.92	313238806.14	299823273.09	54297551.96	288403582.62	94411415.24
H	313377558.36	309348576.35	201982262.74	237904240.18	155400146.37	184337049.29	218119965.78	158073397.05	279364483.59	311761286.9	332117647.7	66131613.28	339458153.74	71336756.5
I	271396598.84	246267929.05	185472858.37	245434487.27	128453590.89	127640608.58	268522515.79	162570590.97	272159089.52	334895288.86	361244822.71	207365779.37	342700296.0	66990517.98
J	279385731.69	239246137.84	202152581.71	248908034.18	137359738.05	91627773.72	274754841.27	123334671.96	276851289.93	346116519.29	338821458.39	279411939.44	342223841.34	67038328.07
K	284386883.77	258279170.17	220902741.65	266888656.88	219417233.56	289997768.41	175633181.9	264564831.08	261620935.17	374016015.52	363535182.76	345364999.96	400235874.94	144692647.34
L	294477952.78	291078808.43	258486405.61	250562663.86	189526982.11	241377369.2	295706228.12	290769921.15	260975142.45	328758939.07	358309128.46	360473237.77	47723949.45	256831379.23
M	469575180.67	470941130.32	455191577.32	417789303.56	593369629.98	467674090.69	422367458.87	374965493.4	221815103.68	414441210.46	401137446.23	265445849.45	278743826.53	247427158.28
N	329880539.11	304010537.06	258375775.55	239551508.39	230679839.74	334752480.81	241684182.75	335800853.53	279121231.34	365175680.6	423074424.68	198681072.08	61154472.87	276886491.87
O	323562080.73	277066274.36	220967837.39	198073152.58	181347440.42	276282449.26	224445540.2	295676624.37	289048647.11	340444067.24	402620650.19	163819617.2	236502669.02	249754881.77
P	331488246.79	291694096.38	252574283.05	261480234.02	231444906.8	317058527.23	241802189.42	338008220.06	223181440.14	333571912.62	340724206.42	166757337.62	33585087.05	87328188.74
Q	326984818.47	267560232.98	233731403.97	260096028.74	261845235.85	404337735.84	215047457.65	460157134.95	217847490.03	331582623.94	304401852.55	98875855.77	32650301.83	74932160.2
R	305573977.43	232396748.52	252213650.24	244998477.15	238669326.33	360691340.84	245702010.95	319862670.22	229061360.45	318606642.02	337054130.72	72489979.91	320948615.06	83325438.38
S	255007959.97	199081625.29	239239306.33	244258762.83	206216926.98	222306296.64	240550908.17	278008099.67	227432508.45	381387634.57	393049147.87	105078735.78	216658220.44	93386964.26
T	286879892.97	214598511.72	249885469.03	262421976.35	205685198.27	166613322.83	229365665.65	211618621.42	241894449.38	395715445.82	385512925.4	433976296.16	341419379.21	307894679.76
U	265973793.74	260328894.2	231065396.78	253414266.08	240541951.63	192611473.99	215012408.08	281228292.85	278764598.4	398033151.43	372851300.64	335498412.26	457295636.72	383997935.12
V	335146317.61	297322465.06	250675909.61	244744007.1	235654283.15	219597771.89	211551952.74	210722198.13	243073760.22	401127692.21	361838151.49	359081940.54	332560306.07	247925560.84
W	340857456.4	378699727.71	288311704.58	284371885.85	208334368.64	98334172.67	175847892.57	186787569.29	282782341.95	449928582.67	420801987.26	456457884.42	410859232.09	131010795.7
X	378213820.94	322423940.19	356659578.62	282966755.65	241179226.74	115825205.65	231560100.3	293062458.41	260999872.71	589001368.34	432614455.43	410582325.48	487364615.18	74111084.12
