	1	2	3	4	5	6	7	8	9	10	11	12	13
A	33677516.04	25700428.78	20982839.63	16632540.26	6873641.68	8326998.53	16386859.93	10553330.83	25793825.99	25621024.14	18780265.82	3430203.06	4468965.48
B	37904456.0	33043855.19	28859985.89	27043560.61	22286815.36	24671944.58	26539043.91	18031827.42	30947087.16	27629084.49	25651420.37	4560822.55	4886682.27
C	43307615.31	43702274.93	40013869.9	38227945.81	18401327.2	58726468.63	34472465.63	18314094.58	24576787.03	26874130.04	25776050.6	17514962.46	22858046.66
D	42233182.12	36961109.84	38228346.64	34702068.62	24427212.23	32193290.76	36877113.57	14310277.23	19507805.8	24501406.67	24506406.76	20011752.26	13601313.07
E	39548978.16	54220121.97	72980878.04	44545524.26	18711602.65	35219835.29	35472597.75	15724328.22	25878925.56	31518945.11	31709497.27	16876974.24	21971926.24
F	48471652.42	48748138.3	57423505.43	42664810.3	14629664.22	21876801.89	17668186.6	14169689.03	22178160.6	27630534.68	31795556.81	9375711.21	18161427.51
G	48703553.17	34661413.65	46908933.13	44390831.34	10572501.57	17139000.66	21981682.0	18902690.14	26278587.93	39548539.42	31090995.32	9045629.56	11170703.21
H	39524764.79	37615770.66	38728713.86	37263563.93	11901656.45	23891149.06	27909153.08	17225935.88	34315973.48	36550361.16	34911375.19	12481890.97	26691873.74
I	41903820.26	34748938.85	25683498.26	30092902.1	9109076.77	14322125.92	26433940.58	26265507.49	39848577.29	54938896.37	45597015.1	7207161.26	24485257.48
J	44115530.3	34051381.69	23549073.09	27639795.26	10688098.13	11142857.07	20037118.88	15886947.68	30889915.57	43332096.89	44399314.11	19011470.63	27475692.8
K	36569278.33	35096592.79	34876283.17	40266450.08	16738617.33	21312850.98	19735804.49	28834890.52	32784081.53	38784606.65	32800504.3	17431787.42	23761249.01
L	27177046.13	26261861.74	33050793.59	21841994.27	17496588.38	41100349.85	22660663.62	48027471.11	32586382.83	29860061.28	31814222.47	23797224.13	10431880.47
M	72258922.19	68464279.21	97747713.01	40987951.29	35923022.39	30610241.9	42799140.14	78953293.62	36596399.95	57529088.71	48945446.91	27358786.13	18216509.29
N	30987409.82	25186364.32	26807468.8	18054015.23	14880537.37	19254530.81	30088837.3	81359956.75	36252595.65	41029417.26	41574023.53	15082994.89	15073598.02
O	30018201.85	32782999.99	24989383.09	23037270.17	22242818.1	29618189.93	33089966.42	29007057.32	37657227.32	33868776.48	37352415.7	11036118.46	13421971.38
P	25898427.66	32762415.62	22311844.27	21518183.14	39065594.97	15859314.21	29964922.88	41916758.56	25312445.04	30560316.04	33792109.38	10982184.49	3522882.21
Q	24307110.69	25814419.26	18870762.51	17744895.01	71220180.71	15689229.11	32003563.74	43813344.0	23782589.6	24527750.26	32192397.53	8112020.71	2804523.3
R	28183775.23	29505390.88	18863566.65	20993603.39	51523902.59	23757036.65	36170028.65	39335010.94	24616869.42	27223897.46	31736597.48	5861476.77	16982764.26
S	32697912.85	25048968.8	29110442.52	30661888.58	34486982.99	28852617.22	40035204.62	26115657.86	29533072.71	36525516.04	38551904.67	5625252.73	3972578.6
T	34176596.52	29150075.05	36531625.39	41500517.97	11826901.63	30147674.19	36134922.8	19330414.01	27432267.05	38999690.34	30990185.78	7635728.52	8717588.9
U	30920713.94	29547650.07	31292147.82	30220243.49	13010741.43	24170233.31	24796686.84	20819442.37	35388866.6	35904981.78	31404837.47	15871058.98	12286734.43
V	34811825.33	32499090.35	27738085.8	31259194.7	13317768.95	42276791.18	29840624.01	17869773.24	24402406.17	34867167.19	34274163.9	43001974.52	19201463.17
W	37019938.01	43074221.78	35279036.2	35169556.98	12982072.83	75474764.65	20863777.95	19208725.2	29484887.21	34803660.63	33482097.82	38133248.92	5256238.5
X	43887997.14	38716002.62	34305294.62	41530546.93	29629148.68	12307440.08	20129956.79	14893879.07	22956318.77	49834778.28	43682863.09	26854631.79	5743164.57
