 	1	2	3	4	5	6	7	8	9	10	11	12
A	7243334.51	5987050.69	7313902.36	1858580.50	3721535.58	3990363.72	2130679.64	5450194.60	1609654.85	3037501.89	2013182.68	3821493.24
B	1627412.48	1798392.74	1896835.60	2356665.32	1874698.98	2869601.72	18473065.29	4008318.97	2990942.86	3888804.56	2418343.14	1567802.54
C	6247288.73	6275644.49	8275639.60	13976711.04	7672321.22	10669790.45	395594577.39	30245519.38	56763070.78	18209102.53	5535332.03	6082063.39
D	6871738.83	10077956.29	41853527.69	7023421.37	5830873.48	5193307.55	14717186.05	17161402.33	11830127.85	18050275.76	7369267.99	8120139.08
E	5177223.35	7264785.93	6138830.48	4399869.83	4160348.28	5649124.72	6235164.15	5017736.18	8467383.37	7154551.40	6021764.51	2974383.61
F	6910297.27	8083585.71	5689715.41	3517117.94	4373904.17	2788206.83	3816305.46	3612856.29	5006788.04	5529146.70	4078803.65	3520506.47
G	5147895.69	5435190.29	4521234.14	4618028.67	5642457.34	3297061.13	4179045.25	4381999.11	5734786.19	5708127.90	3899888.74	5091468.70
H	4547784.77	4897306.21	4730019.76	4524407.30	5840202.86	5972834.83	3953617.79	4807151.67	6212528.55	5133560.43	2137773.99	2655359.73
I	8327702.25	8053988.61	21907263.92	13672054.59	10690328.36	5379654.62	4111073.91	6465713.48	7202597.88	10108741.20	3249283.41	1536095.86
J	6123215.54	5622891.29	5651307.05	4534216.08	6165104.05	3399900.58	3164329.14	5519394.58	6872153.49	5831689.14	6099565.82	2201708.08
K	5033308.61	4459035.99	3832234.77	4912583.87	4603651.80	2979374.00	5770024.18	5747568.87	5905824.46	6098560.41	3012641.39	2765230.71
L	5566692.63	5026775.33	4150938.46	4869930.49	3643292.20	4373382.39	13487001.35	6351164.09	6078947.24	5765610.14	4177819.57	4390586.26
M	5411969.62	4844506.69	4780238.46	5005275.72	4927204.74	4655785.07	11336561.80	6177134.39	5195802.54	6663465.44	5755484.52	5067427.84
N	5395559.09	4440100.74	3633815.61	5711978.72	4004611.45	10545887.67	6721117.33	5659521.00	4285559.85	5360772.32	6260455.28	6363411.32
O	5384766.20	5492300.96	4428895.01	6163288.98	5910602.45	8971348.80	6048995.67	4946123.75	5154221.18	5971098.62	6532208.89	5696450.58
P	5566636.95	4417143.60	4588424.35	7303624.94	4384406.34	4888091.93	6584431.41	5074360.38	4806804.17	5290430.79	5540034.66	4274396.66
Q	5323761.17	4744716.08	4504813.65	4242751.30	3211194.18	9707535.62	5679373.91	7905740.43	4831358.86	4526526.78	5039651.75	6684922.89
R	4982413.91	5159875.36	4837643.17	4088423.08	4226828.75	5770181.79	4478137.51	6986295.85	4610562.61	4599159.91	3626483.19	4009004.78
S	9017247.21	7412394.16	7295127.55	7377323.14	6318285.89	6025004.53	4009994.11	4082410.73	4247972.61	5901123.83	3908933.49	3912009.86
T	8734398.33	8647024.20	6544053.14	7829003.96	7582702.69	6514506.34	4066093.22	4006536.63	4927197.26	7013990.26	7538621.02	5553226.89
U	7520855.95	7405087.11	6715555.05	8414429.44	5590933.61	5676406.90	10318479.75	6987645.47	5655782.85	6275741.59	5354108.76	3456939.80
V	6418478.01	6463888.15	5619383.00	4746119.77	4206425.10	2968733.88	3394523.19	4031835.86	5676037.87	5738054.40	5686970.69	4072792.87
W	7696728.95	8323221.07	5855553.17	5040959.76	6808507.30	2740580.81	3121847.56	3576784.06	5241329.04	7698008.92	8470402.57	6482546.57
X	6199851.88	6648091.17	6204396.49	5996315.72	9381274.51	2018745.73	2006111.11	2832831.24	6988404.44	8206397.32	7599402.66	5734470.07
