 	1	2	3	4	5	6	7	8	9	10	11	12
A	1720484.45	2814325.57	2112613.96	464243.00	140598.67	217638.28	376755.25	2887337.59	550978.19	167132.54	166591.23	322478.82
B	471648.52	436472.24	209448.11	296167.21	136025.73	134302.20	424723.17	345445.96	152786.55	186008.71	201425.18	302750.18
C	1403975.69	774943.39	491500.73	286815.97	405296.62	499710.72	1005468.03	886941.58	718733.42	968628.80	1608777.28	499520.57
D	1255320.07	898182.41	498664.35	405030.51	304286.71	454893.79	571077.63	742150.05	933148.76	1068006.53	1085358.16	524441.54
E	974411.56	964552.56	258348.50	167103.52	372983.29	172217.51	840459.58	580730.14	722123.92	1099999.61	1739648.40	422401.66
F	896485.06	871689.75	242973.41	148399.45	403122.56	171076.15	1233592.97	660464.31	798711.28	1059104.45	1875485.76	425805.78
G	1281455.39	960439.53	519367.67	409237.81	1234187.06	453547.62	1399596.39	1111089.49	1593043.81	1841239.50	1764499.56	407358.47
H	1427363.15	1331941.91	1785115.65	672069.22	1585100.26	631546.39	1454801.07	1151779.80	1481983.33	1735432.38	1525237.94	368091.31
I	2403282.97	3161826.13	16110345.05	3263911.22	3337295.68	1349444.00	1547325.21	1947576.25	2180286.36	3711301.81	1056590.65	499363.53
J	1537796.32	1853893.96	1741887.71	1286713.33	2576857.20	479448.17	1387305.48	1841349.77	1645042.19	2195108.07	3806853.81	1576030.23
K	1573888.58	1066536.43	597591.27	318760.87	1250466.53	363284.61	1703612.31	1808852.21	1766031.84	2242546.12	748013.76	1445884.73
L	1467645.36	1098563.60	390347.33	272425.95	838322.88	339976.10	1323171.79	1159565.97	1610831.81	2124367.79	959790.53	1856675.58
M	1937132.91	1049243.98	337942.97	254124.82	1173548.21	317250.16	1444864.07	1427672.17	1309058.72	1947139.32	2294518.12	2558650.49
N	1545645.79	1018211.44	330155.99	226681.77	793072.01	434498.79	1420777.00	1289059.69	1129581.75	1466698.25	1720105.92	2643582.65
O	1448324.37	1209938.92	448175.95	452128.73	1363159.16	439742.46	1285578.56	1103217.95	1192716.78	1601338.27	1927921.12	1458806.54
P	1232201.90	993788.01	446006.49	782367.00	800149.68	422641.77	1323844.07	1208339.02	1107020.97	1367942.42	1723726.76	1085927.09
Q	1201366.42	844069.76	418962.54	458968.96	460374.96	530887.27	938137.26	1007184.44	1059751.01	1201558.56	2049414.50	1286704.84
R	880525.06	821465.09	398942.07	519904.04	691230.37	501183.06	761292.34	872564.91	940334.92	1377481.83	1449263.34	1520583.60
S	1285247.99	962107.60	844559.07	1436915.27	2599905.34	2298644.29	1159939.15	1997077.91	6068560.45	6814300.97	998636.54	618446.78
T	1242269.25	1084608.96	713261.27	1035346.66	2225675.27	1826446.45	1278165.16	1659733.48	3100269.87	4681351.78	2937716.69	1558506.90
U	1593218.79	1465955.04	1317213.03	1102325.53	1244692.99	868634.30	1649977.66	1342241.05	1597935.14	1787625.20	1252557.93	486719.30
V	1263158.38	1129534.44	993953.13	556980.57	1327020.82	2952244.69	1095328.54	950632.11	1066660.25	1340646.34	1321823.26	663618.53
W	1480874.24	1137517.98	774743.92	1113466.71	1791948.61	1944901.73	1382551.92	1296884.63	1407663.53	1734781.48	2242491.72	1528455.68
X	1385439.00	1299370.70	2028690.00	8198393.13	1560615.87	7205188.03	890032.38	1246941.90	1571496.38	2186957.50	1915290.39	1657606.29
