 	1	2	3	4	5	6	7	8	9	10	11	12
A	31526365.87	10462717.01	30495813.16	6649326.32	6332433.69	13281465.16	4461713.35	15314738.56	2437021.76	8619549.48	3800495.76	5152102.73
B	7033446.96	7479932.64	5443131.61	6629492.79	4050509.39	2455801.00	6489479.25	3291172.46	4491111.90	7527131.66	3855387.86	6595507.57
C	5829871.96	9791964.97	5933100.96	11153917.69	8065229.16	5581374.39	9083228.27	6153358.25	11558385.88	42693953.04	9660109.55	4853090.84
D	5836033.48	5883405.85	5791599.50	6388446.39	4636817.65	5308636.78	10029557.81	6151949.74	16013747.34	19254202.53	32301876.83	7984200.95
E	4651568.54	6658261.94	4046135.37	13808618.26	6398390.01	4720222.48	12656562.23	4978429.47	8779422.74	19637631.15	40947454.60	9754351.58
F	5509100.25	5615258.90	5102207.15	18063273.02	5492099.82	3280601.29	11796005.66	5569690.58	10350126.92	19469399.51	32304109.11	9186722.13
G	6856621.98	7018395.19	4622462.65	10904259.79	10834482.32	8883668.19	10546997.53	10010450.77	11907640.03	29718262.77	25641190.13	16927607.28
H	6055370.20	7544923.74	9547836.04	6338598.55	13392813.79	9880752.40	8916023.54	10176972.42	13574254.17	27646513.51	19780582.95	6679223.03
I	17080428.80	23195890.32	117836362.17	19074477.17	19938040.25	21942303.61	13120040.66	77593260.00	20772130.76	51165830.04	24882460.93	6230715.51
J	13017029.17	15403899.23	14499229.86	13013105.37	20628311.65	15683551.84	11520148.07	14385854.56	19106285.23	36777784.04	36366687.77	9477363.14
K	7560103.02	7904200.06	5350398.31	14185785.72	11676851.46	5751831.59	16729685.24	7776729.62	11418147.87	33380457.94	12312094.20	9682201.79
L	7738515.32	6291549.72	3291372.30	5820623.25	3974200.34	3710097.40	5572628.09	5514004.53	11154467.31	23961500.73	13597453.23	15226068.00
M	5750107.55	6827618.96	3600414.38	6300055.78	6342716.64	3658674.76	5745575.77	5538180.08	8735752.34	26773759.11	32471332.41	21516575.81
N	6518950.87	5228058.99	2799855.78	5703225.73	4486255.54	2894772.26	6151160.14	4408716.39	8225423.15	24200350.10	42780049.55	25510126.64
O	5463845.73	6051039.52	2752704.85	4651235.85	6614195.71	6124968.71	5939654.69	4465385.99	9511511.70	24850076.74	34516778.81	24515923.04
P	5034426.67	4954840.75	2893982.98	3869117.92	6919657.77	8216824.29	5058060.27	3682021.27	8309091.29	20665090.25	25909399.64	19011518.27
Q	5724462.63	5515151.50	2726294.11	3444766.96	4605121.72	6378054.56	5052524.28	3448582.43	7217389.58	18302592.86	25384128.78	10034399.22
R	6166195.72	5111734.09	2637882.02	3714730.31	5429856.36	8605580.22	6585743.45	4053090.65	7262466.06	18348477.73	17135887.01	14137919.31
S	4799037.52	5944635.00	4595876.80	9140048.16	7990956.63	7360538.33	9305941.67	5335146.19	9338927.93	24053325.17	36323320.22	14704614.23
T	7169062.48	8115855.72	6830134.47	21066651.89	11171879.43	11269329.80	17691278.94	6671211.35	11826871.84	34450879.37	41918478.32	20213200.33
U	8057360.43	7869649.44	6830765.69	14269742.23	9845715.30	11233994.27	13345370.63	7728567.30	11574271.99	30889051.32	19334361.37	13035416.93
V	6957798.97	6861094.02	5354503.78	12360965.28	8639918.97	7290290.93	9432939.20	6337209.64	9279555.63	27714401.76	17077445.21	8194006.42
W	6384550.01	6837379.24	4630233.29	10490929.71	9606771.68	7983944.29	8610171.86	9104557.60	10614993.65	28035379.56	31434687.31	19919436.24
X	5127111.88	10808029.01	7161808.32	9239931.33	19411463.95	30920788.69	8893328.18	14058139.62	14599917.23	35042445.84	33991010.11	23188580.36
