 	1	2	3	4	5	6	7	8	9	10	11	12
A	51308295.42	6048282.19	48812277.23	8704674.33	147330923.34	7698672.41	100834673.62	40616267.74	3968517.69	32770367.14	7479106.63	32075978.93
B	40083302.22	10450511.52	241455970.64	17386305.48	117789262.34	10036299.68	51508459.96	37780034.79	5412654.38	21682578.19	8451512.38	23890311.21
C	28214615.64	28396063.83	31621348.30	20850356.72	18512138.35	12340332.93	11582054.90	19986921.01	18551848.92	26610263.80	40434349.05	39805364.32
D	32406971.24	31631237.06	26489310.58	21240082.01	12876178.55	15680753.44	11433142.03	16645644.17	22457793.95	32875184.65	77507348.55	37613774.71
E	24092670.20	24695627.12	16629914.63	11910277.46	15374802.08	9974068.45	5918127.87	10220653.74	19418375.36	31281332.94	113870391.27	28955304.17
F	26003751.45	24877194.02	16199801.17	13383780.46	15880624.17	6577951.15	6014355.80	10380741.39	20566719.18	32945801.54	93790135.03	24378998.12
G	40988464.46	52405249.83	42296376.59	39907210.21	51709453.94	28311222.47	26547393.23	31267169.38	37165661.43	61997986.62	134531865.45	31120946.06
H	25931059.23	38734525.79	41212895.34	33008499.10	48864617.90	41738689.38	26758154.28	31382638.19	39452054.86	52517279.30	100962722.23	17315718.59
I	43178334.52	54282143.17	121688378.75	100474243.31	99752804.80	81276143.46	119088512.55	66876207.67	46246677.69	119693929.11	104898787.84	10627940.98
J	37937833.66	48187318.22	72686873.18	39506977.14	127813286.63	83856283.65	62250068.43	69041251.82	70828306.60	107324749.69	165159204.80	21239954.73
K	35480639.03	38409383.17	41150026.72	36031151.45	43519683.82	25599407.01	39544818.21	42748138.67	46730603.84	66770991.64	71635412.98	24138162.88
L	40397026.04	49810162.99	34627423.16	32691330.60	23754262.27	20756175.47	23477482.73	41062921.78	38918675.54	46437536.19	74325230.89	38929856.64
M	27545752.01	30747554.48	32533725.92	54193588.58	36493225.29	28597012.07	33202889.95	37533876.31	34993597.20	51586844.28	108202948.52	42509974.73
N	40640231.43	30859885.97	32075519.98	33576338.46	19182810.28	46681126.99	19348332.82	29739030.60	28533043.16	41499104.43	108083216.90	42747918.11
O	22847139.04	29242183.96	25105307.20	24552693.71	30954554.86	48475999.86	26652591.38	24346421.72	24370711.32	43691438.86	109776932.68	49156664.42
P	26444836.45	22040701.88	20388182.27	15780538.04	18722555.45	26128464.55	16863930.15	26744651.80	22080236.22	36031668.96	87703032.67	36859277.67
Q	17535842.07	17462947.71	14395263.14	9676299.94	10619981.36	29539373.62	18869892.71	20713481.21	20970442.41	27715447.83	106933059.28	51350526.43
R	19960922.48	18045118.95	15818808.70	11494042.44	16649413.16	28709707.68	19927814.84	21524607.60	24261691.46	28236185.05	87068671.22	49500512.40
S	36605426.03	42221426.21	40052518.73	33641368.52	52462994.66	44464445.85	28289612.42	26166930.64	37850779.65	56984129.53	126932167.32	53658559.62
T	48003025.64	51556945.71	64865178.44	40366082.22	72175116.11	56241055.08	41432296.80	34687543.45	41113518.95	67256297.53	158381846.35	79046329.26
U	47943358.77	41109615.45	33501224.92	33104947.83	31292671.82	38825180.85	28788071.44	42224646.34	36882689.73	58753611.38	56019638.09	39194192.97
V	43553908.06	42334411.13	29700259.30	27169326.32	47660835.38	22899385.62	22185289.29	24975895.30	34653877.06	49748656.96	107350797.23	48516114.27
W	50131576.46	58559634.07	48827752.44	48572175.12	49749137.60	37579860.83	15207860.24	34180852.25	36855907.10	55801568.35	94422123.81	63735061.79
X	36834436.86	54018391.30	41923884.55	39079916.48	40436490.31	11686770.79	14975861.00	22664404.05	40504940.63	68431766.19	117171819.31	62171753.19
