 	1	2	3	4	5	6	7	8	9
A	13994635.35	16468357.46	16896807.24	12545054.65	9269089.4	11226240.1	7904858.04	12213794.21	10359285.02
B	13401601.19	16112211.63	11641825.3	9922793.07	6015517.7	6737344.38	18761548.65	20319654.51	14010434.05
C	12063541.64	13139549.45	9984235.13	6330336.68	7809509.3	3623258.22	9749131.82	13083499.83	9128770.02
D	13958872.87	13294974.41	7592426.0	6759901.88	5390195.72	3581035.6	13119622.57	13511616.59	9040702.83
E	10672055.48	11309598.59	10022998.09	9391657.03	14987401.03	4785875.59	12301855.17	16205421.4	10655390.85
F	9966476.99	11470325.2	9647511.48	8258237.74	12677405.76	5939198.22	9095414.71	11492906.95	10129614.37
G	12002256.7	12257679.4	11184699.76	9581097.56	12695278.12	5350804.72	18657312.05	14605193.88	13165738.13
H	12666115.02	10579679.07	9392539.37	8408739.91	10863916.82	5156041.71	17322888.33	16427490.38	14980992.45
I	13336936.28	14509208.76	11576699.44	10317995.34	13029084.03	5887913.41	13562096.39	14283156.29	14079118.69
J	15755970.16	15624108.79	12178019.67	10340790.95	7941690.08	21106805.95	7049405.05	12081960.7	15552143.51
K	11713032.23	13593252.87	14958362.92	9413810.58	11551348.13	28310894.04	9168423.97	11855233.73	13232632.3
L	11564113.79	13064089.88	11067327.93	10780257.45	11102506.7	18220049.65	7526515.4	7898516.8	11160598.07
M	9332856.49	12860761.61	10650754.31	6948345.94	12418898.86	10807486.83	7381276.11	8468348.75	9551850.14
N	8370736.87	11504172.8	9528589.39	6722754.83	7691682.69	15153258.26	12753892.22	9226208.94	7645965.04
O	6853047.14	8987968.44	7903124.91	8672893.06	4778957.19	7485482.9	7521963.78	7329343.33	7769079.84
P	8613604.06	8521134.46	8078119.29	9701568.62	5314228.65	8634776.69	7981434.61	8242615.43	7704548.9
Q	12203338.59	15548284.15	11495220.33	11640045.81	9235172.33	7746412.85	15672965.06	13534063.03	11295707.74
R	14774128.58	30389055.06	16587529.57	20346838.43	14760810.11	17296374.49	31811524.23	25078042.21	14268049.23
S	23557011.4	20563033.57	14772471.04	17136362.11	14596070.81	11084848.12	14792489.69	18634832.78	20359133.04
T	10267889.57	11130871.04	7634053.11	14969191.45	9247971.93	6813470.58	8939079.32	13133059.2	10435635.89
U	12360284.39	11345468.48	10306335.5	15529941.13	31224156.15	6489623.77	9905196.8	17465855.79	13281289.11
V	17050155.23	11495197.89	11034444.74	15318722.83	8668154.91	22547672.84	14346154.48	12116489.14	9597711.63
