 	1	2	3	4	5	6	7	8	9
A	63148975.72	60547682.51	41006867.0	43994166.37	50950466.96	81812585.82	210883876.55	83738525.25	62061554.26
B	55263740.33	61009539.63	42660634.21	31567004.9	28028304.59	63468754.74	56545901.75	71389850.31	108332481.69
C	35056827.57	80847936.83	40512324.5	132980476.98	31562449.84	41357018.3	26202621.04	74945560.48	68730609.49
D	36365063.26	49001672.49	32213784.5	57615533.55	53975156.53	40300401.18	42177807.27	70720169.16	73440927.79
E	55613153.15	80608843.88	59547132.5	98990965.78	93419919.3	90105182.37	52369303.57	90627596.43	78616244.41
F	70433560.69	92633218.48	80867559.68	155201484.45	83508744.82	91663466.34	45570933.51	106324433.93	83542309.53
G	130486874.4	169846035.47	634276249.51	157047636.44	175057030.66	99011103.56	37898060.68	133546120.14	94454437.67
H	121202193.79	188241880.97	353368869.2	132423142.23	197873776.01	89591557.84	38094201.91	116729987.98	110589990.29
I	78752758.43	102337957.36	102690999.41	99222197.13	115717639.25	82096821.15	101190134.49	126830712.35	85172075.24
J	105925399.7	77688413.77	49888224.0	60558942.1	45995908.29	109087581.15	115805374.59	121234444.46	83831581.21
K	64577299.48	76302693.48	51023910.95	69471610.99	89462567.32	112570817.3	141377490.45	87374680.57	70533618.12
L	83696812.58	54735475.01	29429246.11	51454195.34	37174677.4	198439187.56	75845915.39	90898707.81	121145697.39
M	72810813.08	83962864.87	43553590.12	93975355.01	69406236.64	124657035.02	107434366.22	60540388.36	113766968.68
N	79317348.34	58444651.56	25729178.7	44134005.08	64884308.11	62972150.62	94561520.33	87329461.0	93307106.71
O	58908798.73	40917959.17	13966246.25	27845286.94	24107218.13	39496329.5	78960138.18	52333530.83	87746137.41
P	68809911.58	58928400.3	25630600.2	41064154.56	46094014.81	57404748.33	89205788.19	72431184.47	80267973.49
Q	90172575.04	117370564.26	103072022.05	123454864.35	106947489.63	129999551.91	118764777.12	109562051.11	74386811.97
R	83039427.84	116198894.54	117889807.73	148989170.42	95473603.26	133615020.53	122207168.24	117944910.44	67707965.07
S	86121805.14	89780841.4	69818047.79	99779409.74	64102615.43	105865978.54	109637466.03	111481123.34	92936155.24
T	84707568.96	100372859.83	81086940.2	119112335.32	83403679.64	60279495.47	75431440.64	80295033.23	83740798.48
U	82684573.08	96613760.6	73838232.79	128685712.0	149862231.0	62237075.96	70018860.74	114247761.44	99747245.7
V	90426819.52	95676680.13	86151584.77	33858650.13	119698867.43	22317671.96	45851861.8	72381704.91	105826860.57
