 	1	2	3	4	5	6	7	8	9	10	11	12
A	35281677.89	10698592.79	26855832.91	8650450.00	37551631.63	8456406.99	25172724.85	29678589.55	9350524.39	36470946.84	11806225.67	33118209.91
B	23312641.48	10181691.97	20762802.08	10181397.93	21845601.15	9607081.83	24686985.29	42124202.24	11200293.08	39280792.38	12199130.16	23706566.56
C	17759147.90	20415837.64	17768429.39	17781751.38	16598160.10	15688620.71	21276231.50	21522444.82	21234775.50	23210730.13	21742636.77	24087583.88
D	21295363.30	20667946.66	20542797.35	19058243.59	19448947.14	19675513.41	18200935.98	21759930.25	28669299.33	32421906.71	35193383.37	34181791.96
E	14486315.20	17559391.52	14851698.99	14094630.60	17961154.13	12169169.97	13822383.44	16938656.65	21397197.60	21991401.70	28161484.80	49968377.47
F	14946513.93	16911596.88	13778603.21	16565324.60	19293565.32	12564922.58	14082718.90	15723299.33	21867952.84	23179704.79	28826907.32	46635298.35
G	23892332.32	32741377.78	22568688.77	26674932.05	24824428.30	15473703.61	18957062.99	16562806.63	23631385.11	33910015.32	21688750.74	53479456.61
H	19063002.73	22372259.99	21542510.82	19350577.07	26872524.17	21325466.20	15189616.95	17784426.73	24599758.43	31060944.24	18045612.30	15863036.68
I	21601014.06	24579010.85	33879356.88	17693328.27	20763500.82	12044265.23	11552216.32	12280071.58	16336163.46	36037148.74	19582544.61	10096842.22
J	20148253.21	23418366.75	20285661.67	13356003.66	20329678.47	10471803.15	10597031.28	12676397.95	18919944.04	28708100.48	34666812.53	14534066.91
K	33335455.06	32210015.40	31244630.51	34920504.80	23484439.22	15155206.74	19743978.15	20993237.10	24105582.65	33596938.24	17661095.91	20589561.56
L	28663163.72	32970231.18	26942435.44	41891481.11	21326805.42	20273111.28	31979189.65	46577001.64	28909016.61	36431332.99	24920578.84	29984751.63
M	23260756.91	36563017.65	31117188.86	43689529.81	25706525.80	19729535.14	37858459.60	33264868.79	26491521.21	37958403.81	32499026.43	24348581.91
N	22695890.44	25079525.06	24756621.59	40060796.90	22150491.98	38181788.52	27477512.39	28668401.06	21649520.24	35331908.55	31513116.94	29930175.81
O	21299182.65	22968350.68	21981263.33	19512964.77	29108980.52	33571076.78	23022762.43	25358928.52	22897625.32	35042580.26	23513575.42	32196956.69
P	21317203.07	16059056.88	15649175.79	13336340.10	24808255.72	20864903.99	19131789.53	24422548.28	21180894.43	35821886.86	22517089.90	28353161.42
Q	19043357.53	17048105.72	14430434.48	13486701.05	12676444.09	23833566.24	24630109.69	26403630.90	19769894.71	29644770.64	18708794.87	26545839.11
R	20587487.28	17211988.83	14839222.67	12863678.92	15170274.75	18527146.37	23237160.75	19346673.07	18706973.10	29737707.66	15436805.96	19612738.16
S	33210097.68	28287216.73	29046474.25	28065472.31	27388414.38	20247596.32	17729866.02	21226415.55	20695072.96	34722026.13	17616704.21	27444494.03
T	35349948.81	32508474.44	35726718.06	32531691.20	30163848.05	25746997.79	31254927.86	25322336.46	23246589.43	41390119.18	24990616.18	35795696.33
U	36892596.42	34188552.41	29188628.59	35672217.71	30785678.46	31697545.39	38239647.92	33386012.68	30224279.24	35928873.22	16512363.19	19483132.80
V	27673061.00	25588005.12	19469627.70	19867580.79	21515122.24	15196472.93	20732491.40	18210529.62	23117806.06	30123783.74	24893207.58	21152209.97
W	28977298.81	29480168.83	22369226.82	26000471.23	34020838.82	31104406.99	14187031.40	25243948.50	19503047.69	29234652.15	27482833.71	27228136.10
X	24171928.57	23639058.58	22179211.15	18540400.30	37037887.40	13027051.23	12966259.24	15579726.40	29470742.65	38046350.32	26715859.98	27523343.68
