 	1	2	3	4	5	6	7	8	9	10	11	12
A	4664666.93	704313.69	3260992.20	922390.52	2994131.94	708503.12	3035323.99	9556577.98	861222.02	4297560.45	1303021.37	3148810.50
B	2085632.52	827854.64	4924020.49	932138.25	2897318.31	882775.48	4864873.57	5087085.59	1028192.41	2845835.02	1201462.92	3633675.11
C	5241411.18	7444981.53	8102415.85	8543294.44	14505418.12	3657510.70	6494034.67	17664548.47	13966561.63	10596016.73	2812911.45	4350437.22
D	4573397.85	8443533.53	7013428.74	5793303.08	7225491.65	21704148.88	6025969.02	9407917.28	18384737.92	25987253.86	4299821.78	3649039.08
E	6255252.89	6966985.50	6458186.53	5597410.98	11774912.77	16792262.49	7524330.47	46036275.67	11806602.31	7716496.35	2203767.86	3719659.34
F	7324759.58	7570559.48	7121170.93	6192727.72	13834125.07	39676731.40	13021938.68	16728195.94	8717531.29	7237552.18	1559963.47	2773547.79
G	4682912.59	4169024.79	4007749.22	3449871.99	3518316.88	3007535.71	6218715.86	2202353.04	3688424.24	3739935.92	1187264.51	1774879.42
H	3823746.12	4250738.10	3565020.07	2741355.99	3627508.31	1741518.73	2530442.84	2156780.10	3296372.98	3521330.09	1255745.08	1608007.07
I	4301912.10	3188735.53	2381319.42	2146226.70	1654632.33	1130372.18	2060450.04	1367700.90	2420604.87	2966375.97	1247031.57	2349015.06
J	3770204.85	3173615.97	2113753.66	1773169.86	1678745.27	1123437.90	1547548.51	1384852.03	2222410.31	2821443.44	1604682.73	21126974.24
K	5020096.59	4205963.77	3887309.95	3318209.76	2953626.83	1289751.11	3429208.68	1521159.58	3455665.95	3451444.28	1701837.25	5327902.25
L	5152222.50	4505920.88	3569372.27	3969493.04	4245180.71	1081409.99	4814010.94	1602965.42	5868656.66	4047151.53	1785640.21	12016578.08
M	4533824.01	4737873.25	4748178.06	7794960.37	3562606.53	1062114.42	3369127.75	1803746.21	4271531.87	3341125.91	2239655.44	16514902.13
N	4273918.11	4106698.13	3084704.32	3457458.13	3075728.18	1035735.77	2361648.42	1297752.63	3552957.97	3330285.66	2082359.15	7738542.16
O	3975243.61	3619289.72	3383651.07	2869241.65	3557328.49	1261436.06	2253112.71	1289206.96	3620753.78	3826854.64	3311522.30	2564773.47
P	3440629.28	3580945.01	2495967.54	2475763.63	3170058.70	998032.58	1880499.19	1190988.88	3350812.04	3501834.41	2486122.87	2415437.88
Q	3849950.36	3206857.04	2657836.92	2924962.65	2086267.23	1048576.46	2899503.28	1284913.27	4078886.38	3812623.03	1459586.62	1285107.02
R	4539480.23	3784158.16	2703526.85	2881305.23	3107779.41	1248204.94	4453015.70	1652968.39	4140827.19	5130797.19	2095036.99	1883800.67
S	6104984.67	5036152.89	3502081.46	5309097.68	3429129.28	2367282.19	5898322.57	1919393.42	4838804.72	6446953.89	1339849.02	1065935.59
T	9718899.73	9395774.46	4852654.82	8492932.67	5181972.58	5579447.83	6309088.32	2762566.59	5469795.14	8666625.47	1903004.37	2447395.32
U	7363466.34	5966999.88	5019177.42	5859876.12	4888112.81	8637464.05	7137120.11	3424391.49	8317996.79	6892634.64	2060946.02	1831542.19
V	4640384.21	4384011.77	3509376.33	3787129.43	3161910.34	2581507.83	4973067.12	1932433.88	4421442.05	5821890.70	2217014.55	2420297.41
W	4697713.40	3754681.89	4883597.35	3040955.82	3230006.84	3361757.49	3694615.57	2831869.10	5569573.07	7414902.38	3532638.56	2984367.23
X	3855686.26	3855335.94	2876741.93	2830719.70	2197665.07	1242406.23	2758687.39	2143473.42	2786164.08	6716534.63	3637673.52	2942757.49
