 	1	2	3	4	5	6	7	8	9	10	11	12
A	18085163.83	2058489.27	9922509.79	1320787.05	10053115.11	1221187.78	11474844.80	39537097.31	2449245.56	8750320.48	1108624.64	18420789.96
B	13273430.41	2846865.33	14947016.20	2387158.77	9981577.55	1567766.31	18435602.00	18020969.86	2210785.34	5736315.48	3485695.79	17452864.04
C	38407259.23	37059145.06	34462914.23	13548760.83	10623286.69	7747696.37	10008646.21	26706291.19	29634979.77	38011844.98	14329828.24	33845957.26
D	43236180.41	33365633.35	32781059.48	18591367.03	8926454.15	8108504.75	17444109.89	17545662.76	20504605.51	23759619.40	19343947.42	18658270.27
E	36662547.75	36569012.80	33904336.49	8979586.24	12174050.14	1854173.78	6424107.83	18699626.33	20011174.18	21385059.30	17115524.08	10212674.81
F	40314677.46	32123912.89	26358464.10	8043704.04	11958358.51	1998935.68	15320560.54	16254140.89	22163711.26	17965786.19	17905900.49	7501017.36
G	28536787.44	23169117.45	26356425.45	12120591.47	18778135.97	3708865.22	33119845.78	20811980.10	25463147.93	21469639.77	13226521.20	8288821.10
H	29906250.76	25538407.64	28071309.68	16207360.72	26413569.27	3820418.64	20762631.13	19492993.58	27696387.20	18332372.15	19905254.61	4076110.43
I	25802276.33	24519438.59	24164783.09	11189644.68	44343763.18	5356468.96	56192141.95	25907136.04	30094518.06	24097416.05	3502709.79	1522737.18
J	27739592.75	23678472.45	17664326.90	6811327.98	32208623.06	4286859.11	41740475.09	18511894.04	35762481.61	26848132.79	21776945.13	6787387.71
K	34064135.37	24769861.24	25272112.22	9101634.38	23315064.10	5197827.26	33104815.75	29446427.24	29301180.64	21263293.16	4680382.63	7737305.62
L	23976889.36	24748811.12	17561304.69	7618822.58	15657958.05	6259191.78	17941120.37	40913041.55	30663773.20	22130096.08	10802337.03	7068051.71
M	34530613.96	25701049.54	21269293.39	7369450.77	25916581.81	5065073.05	19612035.70	30047342.17	25452847.18	20614106.71	11597411.80	8025700.03
N	33381128.93	25628565.53	21536097.18	11403109.19	19183609.76	8916177.27	29078111.50	30432766.99	33485740.21	22198893.64	12086200.45	8094927.48
O	27839741.22	29667299.45	28710911.37	25484871.26	33346657.96	6613525.86	26004556.28	25717235.77	29707282.96	21017874.40	22906893.92	15188592.21
P	27695318.67	25957117.34	24442804.34	28131443.13	31396488.11	9544610.88	29330609.32	28524643.61	27891639.15	19147440.93	24487998.09	12662316.24
Q	22222717.20	22219113.00	21098651.82	23256279.37	16030120.57	7003697.88	20410645.12	23245962.95	25787002.52	19125225.86	12756932.17	14162300.58
R	24033439.47	21055563.62	22300544.10	24033191.65	17852788.92	6971576.17	18739955.48	23261596.84	24687686.61	19857619.98	25173649.12	24797867.16
S	34641801.79	33422094.31	35913425.65	41159478.64	28012024.53	26717277.78	43651554.41	30377251.47	28396389.69	40886623.93	4346567.29	2940990.56
T	37550002.62	42295021.65	52274009.93	50586701.95	34745891.81	31895554.32	43379499.22	36121933.43	25030120.20	43248274.09	23309855.05	20616670.89
U	39055006.00	34847784.18	34008805.98	36516112.32	19924877.79	10139584.03	29672516.43	29539133.17	29742708.54	23572807.20	6359393.05	7630439.21
V	32441854.18	29470678.51	32648401.23	23769408.32	23894803.31	29028080.65	28104683.36	27591182.06	24220545.26	19334337.10	11172548.42	14225249.29
W	38239427.02	33880401.69	35084029.07	14303870.53	24038030.82	22726011.66	35417067.49	29931379.71	27985182.40	20587367.72	13411717.48	14760575.21
X	34169406.99	32114742.94	46472275.92	98140508.04	30196181.76	279470819.25	16551404.47	41286966.39	24510068.90	21930094.51	11204552.46	13446252.50
