 	1	2	3	4	5	6	7	8	9
A	804970.01	975809.60	941022.67	1922725.22	603697.85	653417.34	605198.20	685511.59	560363.65
B	1156684.82	1241247.87	1738904.55	1066608.30	911966.34	938400.01	992756.56	875793.32	1049452.15
C	26667878.70	27457950.35	17069167.47	9284126.81	9011371.59	15468940.91	13633049.98	28290836.45	20973413.26
D	26863572.06	26048365.19	14145487.68	8643777.30	7217293.94	9763378.81	11426229.46	19147880.73	26508578.44
E	19882369.21	27459395.77	10191747.58	3955429.09	8555107.02	4292427.58	5616119.55	27804937.39	20167511.88
F	20499737.10	25311359.81	9607552.46	4274083.99	11176294.57	3778485.48	11788429.50	19426843.26	21226450.06
G	36063694.79	36042949.24	28220947.22	11192284.80	31719839.56	10692005.91	23899874.38	20768742.60	28937077.18
H	30550167.56	37627282.99	33986500.14	19579404.39	33367225.78	17882475.25	19187645.58	24922303.65	28011288.75
I	65419267.55	74588901.52	169881591.25	391739420.76	85520379.30	24250715.40	11491792.21	25469017.77	38120176.09
J	63620672.95	57548643.16	125333335.56	35062389.03	57744152.56	19025255.32	8858943.31	18768890.79	27814375.53
K	43288768.54	43534955.39	38790114.69	47322069.00	45874355.76	24754347.65	24297824.16	31971907.29	28298132.20
L	41009975.69	40732238.97	34093855.74	18403334.33	38346160.17	58862157.37	26452030.78	38996759.48	34785349.82
M	36076774.65	35163479.33	28274993.46	75769645.42	46382701.46	46428345.78	28968360.02	35878674.14	26278895.68
N	34673500.95	33103971.96	21791098.05	22318985.22	35553106.61	36473496.74	24001929.40	41871528.07	25147355.86
O	30533578.42	35021938.54	21136150.12	14938737.13	43135217.38	48676077.06	17604164.71	31579150.57	25103558.64
P	29021109.70	30213774.89	16389555.96	11601246.30	41198406.05	39479469.35	20425514.84	35098157.94	23686065.47
Q	28508021.73	22195204.14	16667103.92	13977178.58	18105091.95	48573890.66	24762599.10	27923704.59	23915606.39
R	28915212.21	22035903.61	14283522.76	14315166.32	17882137.35	41382057.96	48317563.86	28473205.24	22866235.73
S	31780154.12	28120656.70	21848887.66	18273309.89	22480036.06	22133191.54	33657250.54	34461882.33	24486996.14
T	36907915.84	42088417.05	33129801.52	42276921.89	32454610.53	32893093.13	59297629.92	128589643.86	24120792.08
U	34948508.96	36330664.82	29627183.30	18760324.23	27879045.56	35815679.99	60919897.62	41339676.87	31740972.50
V	39024022.20	39987864.22	24204504.91	12815521.78	26746906.58	13913975.97	98545505.93	27659698.61	24878713.77
W	41662633.05	45836345.30	30913016.96	9632156.70	21714389.80	9389472.75	23480773.02	34481588.26	38311143.94
X	32878118.35	32597695.15	21529242.51	24769927.19	9356375.06	4786040.74	21884496.35	31875511.74	49782531.88
