 	1	2	3	4	5	6	7	8	9
A	12433093.46	39258783.2	18033132.13	7986521.1	5481819.14	3636682.41	21008945.62	14251662.24	7316927.84
B	9790358.5	39943631.24	319911708.41	15182849.62	4615077.1	9244573.76	2317741.13	3661991.31	9075730.08
C	3907626.99	6424675.04	10252864.91	3757281.8	3152012.85	3320191.97	1181090.56	3510339.41	2828073.0
D	4026000.44	5075551.22	10642049.45	2405148.34	2164435.4	1899269.0	1906201.76	2827195.1	3205221.08
E	2755752.76	3371042.38	2653951.14	2850543.49	3857858.7	3163537.02	2555430.59	2740424.75	2176616.04
F	2398194.32	2601543.01	2397985.08	2829494.05	4993557.65	3344248.92	2155085.44	2567712.45	2504662.5
G	2571144.69	2725540.75	2383236.46	2152955.29	3244724.85	1623667.59	2176828.54	1949682.32	1854169.88
H	3197195.77	2703049.54	2023055.11	1842575.25	3430582.45	1400307.1	2408789.06	2117285.27	2307363.63
I	3548445.63	3437771.81	1848670.04	2301103.21	3636125.82	3209280.57	5673334.54	5807047.47	3206390.85
J	3889935.17	6171579.71	2007417.66	1660471.98	2793537.17	2028375.36	5485281.3	4861546.9	4298550.99
K	3470933.34	3814699.04	3155060.08	1994379.44	2607835.89	2121850.12	5954016.26	5492100.98	4260481.19
L	3552061.31	3309127.6	1784475.07	1798434.02	2067301.11	1993059.04	5155387.66	4235621.43	3474987.73
M	3014367.09	2740732.7	1796549.48	2342866.74	3233111.66	3028225.59	3074576.58	3556001.22	2792173.54
N	3241455.72	2495520.62	1855655.32	2186748.78	2364524.47	3079229.83	2501179.78	2664306.09	2552710.56
O	2773933.97	2778887.61	1998696.07	2117506.92	2085714.48	4378150.51	4371879.75	2456292.77	2566732.39
P	2610311.97	2551514.67	1902154.82	2576256.22	2446018.35	5546778.77	3393169.68	2510724.18	2724143.69
Q	2831942.04	8150101.23	2812290.78	4185342.92	2963916.74	3183578.81	3449928.75	2692138.93	2974535.39
R	6364309.09	31303505.14	5404313.59	5269028.13	4681525.66	3337231.01	7559772.35	5208831.94	3919832.04
S	4213989.49	5050585.18	3934210.44	4385797.25	3457335.64	3180208.8	4563775.01	4260929.33	3863236.77
T	3775066.7	4318720.53	2591266.83	5272615.2	3865376.76	2469450.68	3523776.94	3534024.24	3271392.78
U	3358354.39	4097065.72	2391871.85	2725974.3	3372719.29	2390342.55	3277799.35	6221500.81	3243788.75
V	4793630.36	4025177.2	2638327.66	3606051.96	3540773.53	1756655.79	3768488.5	2991321.63	2919491.5
