 	1	2	3	4	5	6	7	8	9	10
A	1321050.5	1321454.1	1355175.78	1390106.57	1472689.79	1340349.12	1383392.08	1474735.76	1518720.59	632846.88
B	1920227.05	2068374.84	2216019.79	2127151.82	1978525.64	1792749.57	1857299.0	1897494.13	1886706.56	661068.44
C	26830406.78	26324081.57	26770866.32	21638504.0	24830706.13	12150868.69	10823641.72	17351982.13	11787663.99	752227.3
D	23769252.44	31616377.19	27030332.37	20948498.41	12147222.77	14807705.74	11672409.55	15984199.06	16170557.28	819195.95
E	24100901.43	33258071.09	16272207.53	13264953.69	14397356.83	6379567.23	5942766.09	16567623.43	17253320.33	922865.67
F	32701482.32	29466744.26	15419122.5	14500586.13	17285382.05	4812616.71	7917362.14	17065746.83	19460193.88	1065972.11
G	37389713.76	48101856.97	43330214.47	48156929.94	55502542.22	15282494.43	36991809.63	35786030.62	45461972.83	1335238.64
H	35822057.91	45688485.42	46487011.23	53192569.25	49992350.03	32971149.31	31701695.12	42484752.94	42372793.47	1571811.59
I	78220778.83	89609692.12	228686175.95	174688829.37	104674538.9	63270531.35	155256867.99	97834747.12	84496441.54	2156501.93
J	65760895.11	69079716.85	81599357.27	82115017.77	86522309.97	56541828.1	135022449.7	87559375.93	107814401.19	2693730.5
K	47307127.26	55181431.09	63088440.47	50040067.84	49266331.21	28239199.98	61569757.05	60925516.31	71866786.41	2476568.58
L	46494149.82	55798838.86	38533342.18	44127998.52	33255512.56	36889696.12	36408144.56	59945270.15	39674177.42	2095733.87
M	30509843.02	34755003.84	38627828.94	35811599.45	54755997.13	41827993.06	65410677.67	60962639.23	37120125.17	1895631.21
N	40791156.93	34325124.28	32846172.98	30000778.1	38974965.31	66794305.98	26555313.73	40400956.21	27532596.41	1694625.63
O	28350420.75	35989551.59	27586245.33	26633080.05	39369907.9	58038584.52	34691426.77	38878486.32	32338156.12	1851473.31
P	35625697.36	25354708.51	21888903.12	20552041.32	29272761.96	40215824.68	23423366.62	44333447.74	29258354.42	1751267.17
Q	31987538.22	23935913.29	15552920.01	15143154.09	14126410.0	50478062.3	25938000.59	34870554.66	28238798.78	1864796.73
R	32240956.81	30707177.97	20592635.11	20472999.83	24619774.22	46730761.46	25355170.56	35495776.66	30858157.78	1893197.6
S	44528217.47	49965119.74	48888627.51	51040985.76	45882389.62	44771981.9	36383163.05	35231189.05	40497043.88	2170722.17
T	74164062.13	65403850.57	65913577.99	56492189.86	56515523.42	53035453.73	70347047.45	51172607.95	39838431.25	2272670.1
U	52955848.28	52901349.31	37886658.3	39349388.42	43975500.94	36906214.13	31513167.82	53038762.25	41076049.29	2220885.89
V	47068503.79	53750957.84	39644450.18	38491086.66	48622512.45	19685428.43	20821448.54	38447443.96	44320117.33	2316947.64
W	50209059.71	64486273.4	41239804.74	53009703.19	73338622.3	14225874.6	15929610.04	40591558.75	49324856.56	2227744.22
X	42314392.76	50582755.62	33420098.93	20120061.48	42991595.83	6418680.01	11602791.53	25495125.06	55350114.2	2288960.03
