 	1	2	3	4	5	6	7	8	9	10
A	201376925.22	557624605.32	232376477.92	13916858.52	4049445.87	3822671.7	3708596.92	7179961.1	5069255.05	9626223.18
B	31369691.17	33135486.52	22686976.78	17880551.85	8294200.81	5705090.06	5973753.27	5804178.17	11278073.22	65583622.72
C	173571483.66	183158837.09	175918918.95	141324461.59	192471952.07	61306332.59	50713112.79	101278524.98	80568842.81	76344522.45
D	184106267.62	214537894.48	158832228.12	125754350.6	99903513.19	86188198.63	85799157.66	118449898.29	94253773.73	61246026.93
E	136673790.66	189439492.62	123860348.98	81443649.74	119442958.87	31088577.8	44531593.08	89582070.9	98295610.3	101791621.38
F	155127476.36	164627548.41	137598486.16	94807801.35	171545286.01	28338183.17	74396757.63	99134469.83	111469505.54	94384409.0
G	180919651.09	224636761.49	232689454.92	206036368.66	279361566.22	88886649.11	245254742.15	218540008.63	199045994.8	163608634.56
H	169518882.92	190109419.39	177483449.6	158016302.51	176557573.64	128188194.16	178916857.55	181774871.47	185370470.14	129421902.42
I	276586047.54	283998354.22	282354738.87	255399553.67	368374117.86	177690336.94	854180169.35	501429385.12	474494141.27	351411178.2
J	305054962.28	279695774.06	268628510.29	211949016.48	273746131.69	125652707.13	547946971.48	364664317.78	435305446.15	315251849.48
K	229698026.42	243915702.29	253331153.5	293090468.31	288180147.02	165907854.23	282069858.46	236499093.89	260312488.58	185767937.68
L	203913683.12	273381859.2	258985948.65	271074466.47	191546796.65	406527149.85	175982785.47	217133018.18	204164305.89	173712020.94
M	209755816.24	259324757.55	251299175.06	365032000.95	288439387.52	277913708.65	198865459.6	234997171.33	184593614.39	181529410.35
N	184843962.58	213436148.2	179570723.36	243664814.82	168039806.3	241106406.92	128454020.92	223774878.17	155468883.04	167730350.01
O	180150520.01	216751197.04	199851061.23	179785612.86	253792038.6	354905054.88	167448422.14	205442746.66	177975890.59	186945082.39
P	152042691.36	175132104.3	173020568.8	161741054.02	200255427.37	293241197.08	110885505.41	191917502.13	160900646.58	148770584.1
Q	160561132.74	169587557.38	159457323.86	175844101.06	100703115.05	350977114.27	130317259.59	198537722.02	182900124.55	162918416.82
R	169956399.0	185902078.17	145819282.61	159404064.16	102744643.34	298904831.59	142795905.59	183946511.15	155453055.1	150255933.56
S	531831859.76	462611099.69	522390743.13	473304323.87	292595204.86	432553098.65	495600873.03	482772540.01	363545856.9	416125078.46
T	279323981.79	296618402.65	269106454.87	229791971.44	224772027.93	161073015.54	291647240.45	247262274.77	202892810.6	216619102.19
U	232979357.15	246975036.91	248668349.82	240948131.11	230358901.0	243123357.67	180256843.95	245351416.26	205649760.7	175511005.9
V	249290246.54	219780254.42	202171198.9	219174906.4	221212747.25	105346027.29	194448746.48	190150119.59	212465131.94	163041152.85
W	242934554.34	241134258.37	261326937.54	257569099.73	439906753.46	83226020.87	258145863.07	260139617.86	242922628.98	188299479.17
X	201115106.47	190593255.15	179706716.92	141623181.05	133121954.97	32818913.97	140473651.91	174675319.9	240320763.09	197127953.05
