 	1	2	3	4	5	6	7	8	9	10	11	12
A	92462253.36	16796145.37	63736540.02	12000222.43	105469551.42	13590735.05	105235252.75	196705770.96	13302876.29	48245473.28	31094456.33	181022931.63
B	301908808.42	31043687.28	134680051.79	22361934.71	99629649.25	15841075.92	104767079.95	79501857.93	16013981.18	58975332.85	47350085.66	156539240.33
C	250857331.26	174568155.83	182250284.45	224150828.87	172829525.45	52956997.97	137514525.00	134323691.58	118107931.45	94018092.38	402674968.89	267854961.24
D	215009298.49	183203568.57	166062354.73	129241314.58	76173180.08	90346099.45	118315057.41	126948560.99	111241750.85	113152702.82	107536583.10	136932166.94
E	164218368.68	169376249.91	93944529.90	101999748.55	146735220.53	32669352.78	86138845.90	82193863.92	154090978.01	109701009.33	226576566.41	76105443.09
F	197621173.38	187470625.11	95385104.37	121338994.13	144831857.88	36060125.44	95676984.06	90516696.70	161761169.00	121666350.41	229737861.63	72648857.42
G	238400507.95	210897813.89	152447059.20	288367609.86	214971676.82	126393408.35	201079064.23	157236154.83	214782484.22	173792506.98	128040316.81	124418381.01
H	243769385.31	211643205.79	173029057.88	203218175.55	251426834.80	218776607.70	226953038.46	202949186.96	252020811.89	182177408.35	285387010.93	46358487.78
I	326155324.24	241313792.57	215365221.59	216400665.12	406934628.96	249731523.63	567444328.04	301945222.37	304667683.40	259758195.09	102941685.78	17991109.76
J	287691047.91	269658356.72	222589525.21	182129930.81	322032576.64	208018691.63	469429453.27	235694823.32	364370516.12	245293508.97	247567176.51	67862124.09
K	254437800.71	241502095.80	225596962.48	206963798.12	235501194.35	165569482.88	281410821.23	265646557.94	251925374.97	188815276.97	121018465.26	83303550.29
L	275055205.71	302094375.03	230070673.73	239341088.03	212638159.18	307831999.60	168778447.46	390883929.28	292451482.65	185345084.74	106184039.04	118621927.20
M	267885419.90	231052043.86	208178989.71	168017421.15	251536524.95	200009908.05	230572041.69	347948721.34	208095107.73	145771126.39	175844306.54	134730218.96
N	299330842.83	262613720.89	370384403.05	233928119.25	199415398.14	220951001.04	198851576.37	416755308.16	241027395.48	144383812.77	203629735.62	119331168.11
O	239522872.12	223866250.68	389526581.38	297157683.89	313353925.04	468629045.75	243382348.93	257555374.55	217654345.84	142947849.28	281534096.24	184182709.33
P	195893706.78	257723607.21	428918380.43	325410263.31	243773255.13	466631265.19	219536441.72	295970692.01	232562332.32	134243555.94	247363040.25	142983825.52
Q	203813652.24	174130517.97	148712696.38	161511248.24	133851170.26	347202327.29	146093266.13	216853196.94	161103559.17	100027681.21	165227718.39	154607377.70
R	217818285.07	192883512.16	129477793.30	136656886.03	153142348.14	198272973.14	195890517.51	178424717.90	152555145.59	112337428.00	306691497.31	169852196.67
S	416479786.49	324586773.10	296365886.03	481548214.88	470962860.68	593556306.90	553334373.67	314091488.61	298335781.00	387881971.73	134766848.25	183741869.87
T	267269996.29	252190137.36	208698593.45	250973166.47	362697197.59	252451012.84	271177885.73	192310996.89	221133500.57	179858942.88	262397345.82	236396581.79
U	221971636.67	253730794.74	268904911.81	264072493.36	249010514.32	237681106.12	221357295.43	203487404.37	241046248.57	153031772.59	144147982.22	154079186.21
V	243673158.72	236770698.42	267248705.34	199032767.75	303683408.08	148397669.70	224513389.81	192219896.34	191578208.31	141792391.24	173413645.37	237715476.55
W	256764977.65	304247304.11	271237667.14	233484844.03	286756569.48	196575419.48	185832689.96	219386163.60	269997518.69	155268694.79	227415389.56	171142231.47
X	303158327.80	210783581.87	219990142.63	118803511.40	85974649.33	37602818.86	232199443.71	247595639.12	297838640.56	196659403.91	250908284.44	168470778.51
