 	1	2	3	4	5	6	7	8	9	10
A	13214194.33	29877565.72	6506325.03	6693058.28	20320714.11	9624003.88	18891859.93	20852183.71	29284571.03	1548046.91
B	15955172.52	34716938.16	12768502.09	25103908.99	34574681.77	23489062	24119724.83	19703530.14	27430766.6	1664817.21
C	19801866.83	28842311.93	8829803.63	28434547.73	27274936.85	43961650.23	43216779.72	28377622.03	35955765.1	1681643.64
D	13208592.3	13741237.64	7932613.69	8103357.15	9871599.32	14832893.08	15365260.85	18535158.28	38151777.39	1488805.01
E	6788971.98	19815496.56	5086962.04	9248976.5	11910817.79	10218891.87	28450599.15	17886815.41	25738382.7	1382089.06
F	9375154.64	11151657.37	4683047.29	5906975	15091558.27	6841168.41	28569553.49	19363941.71	29945031.24	1376887.46
G	13710201.22	14732386.01	10160978.55	18914303.25	23252879.24	11906616.28	23735756.97	16237169.74	25157691.13	1558445.21
H	13431692.63	21333387.24	20706352.8	59726814.51	19984225.33	24347276.29	27107857.93	15890773.84	22928059.78	1539980.75
I	27653217.35	30316697.09	237289220.7	32389545.63	29437192.98	20069338.58	21441448.62	14229273.84	24703677.86	1849784.44
J	16836212.33	28104960.88	22438194.37	16112144	20655011.37	13816305.68	16063917.05	15277388.66	23401394.54	1705045.46
K	16541467.45	23520100.15	33972043.77	15536112.77	25994578.12	24271525.85	24500790.36	23861929.51	29743427.15	1748421.38
L	40855661	41797622.36	27836918.5	18038800.94	17567301.58	44462473.37	15777847.67	34964765.52	35879975.5	1949860.4
M	31843765.68	32892726.91	26347218.75	18052204.81	24921782.48	38367647.03	20761296.43	40924368.24	29021746.86	1801356.38
N	38714525.28	25442997.31	19019466.47	14215787.91	20642496.7	25132001.2	16446102.64	35027134.92	24516277.6	1974080.85
O	27504111.03	29116127.8	24299809.38	37144043.52	38545922.73	24790526.57	22108506.75	24759170.82	23279962.59	2025985.53
P	34470588.87	27204567.06	15511066.74	24340742.24	28418307.84	22075483.15	15525251.15	19355823.08	20262366.05	2095363.48
Q	26787899.96	19133951.73	6791881.68	10932527.74	25141230.5	29794226.18	20314740.27	16396985.85	22548745.89	2097878.29
R	19366137.83	18647046.26	7939337.04	12727158.46	22258053.64	39666436.92	27384676.15	25957314.65	19607855.02	1857187.93
S	16184790.69	18796803.59	19162615.72	29561589.37	22956456.12	28366362.35	34677362.1	20603893.61	20594282.69	1648927.36
T	17138836.75	24156894.76	22354812.82	64197469.56	22863753.75	30635648.28	121717428.3	54461161.21	22117835.26	1737485.99
U	25397658.99	31331563.15	26624287.83	42674395.23	33549937.36	35651410.9	53440149.03	41565233.47	32838064.4	1749331.79
V	16910140.29	19919089.14	19468356.1	34232188.15	19214253.53	15029065.26	24706019.83	25721992.04	18591641.62	1392338.51
W	11422653.92	15093007.95	14880486.56	22402058.24	9135278.89	8528081.48	20868425.89	21346719.71	26803337.79	1231209.95
X	16211057.35	11753046.16	9569056.3	6124605.9	11319486.44	7282811.06	21071141.4	34494283.32	31834781.43	1140881.13
