 	1	2	3	4	5	6	7	8	9	10
A	691452557.69	681375948.92	571314311.9	237519488.49	621967791.17	75916703.88	438561159.27	355536415.11	524978572.2	49763633.88
B	715022666.25	720226018.25	710914229.91	785897966.75	747453823.82	166993426.31	560934586.53	398246208.71	493005881.65	73076182.49
C	550022654.66	507067909.12	584775302.35	630022596.11	479769041.93	170519363.81	330020409.29	393372621.23	366014902.7	639152720.53
D	525091094.93	499411261.21	504683786.54	352469706.61	259532274.4	160338248.07	329093217.54	289682402.02	399165439.64	129090679.94
E	586631825.93	559566155.29	584900442.41	456521318.08	381519279.12	73818437.69	379762929.19	403018583.22	444322384.46	282571870.89
F	575638339.82	635334559.31	562360403.16	494285018.46	393773671.94	102211556.41	360336797.85	407553215.37	406194706.9	345848970.53
G	539983019.94	590531950.95	481111845.98	381020705.75	426943832.81	120292083.05	427783264.61	446051243.34	411898632.23	473150619.27
H	511916733.82	507641847.65	549567412.88	400658677.59	468576708.29	114958324.79	446940948.74	409793928.28	432642938.32	486551266.96
I	559060467.43	491973647.83	444203752.04	287341052.01	468957850.19	87822317.27	360478297.36	278978832.11	349263206.31	439031797.44
J	591371074.36	528988170.56	436172850.08	264577377.88	506350161.0	86058513.13	259119241.88	257570870.46	361180475.18	287850403.86
K	600064805.75	514982868.61	478270613.2	455410196.11	497066467.67	192144440.08	457434768.84	540247423.09	493062255.83	433885269.12
L	426249211.71	432859148.28	314505211.53	322856443.16	334934746.03	487063290.95	338104998.31	618486628.97	637176069.4	461423485.08
M	427367397.78	425003865.44	359521014.44	600580086.05	500580839.17	428219772.53	391302974.57	713986273.71	574918192.14	598865939.52
N	459391839.39	389447771.08	345664921.23	572762754.19	395234149.37	638423442.85	512727242.97	607776477.4	578202450.55	831892631.89
O	398194312.76	492820751.76	410999554.93	500709977.68	575429720.65	983969480.44	532325110.46	509798627.26	533911247.2	534113348.43
P	400676079.06	445750873.29	251408073.35	372908649.03	471876452.97	1044667023.73	511677434.92	482700635.53	512622103.44	194282772.74
Q	383902041.62	389619416.61	301050049.02	254094197.43	380894877.58	796150811.82	516740959.94	347782529.88	524903060.06	330847690.9
R	390020774.26	356066631.95	309830089.95	283891411.61	371998358.9	330080805.56	548155344.89	451686513.91	417669958.37	91381121.71
S	533472176.03	490002980.87	473157995.91	429704077.97	461287448.11	207278796.98	455140356.5	407244802.18	363782733.3	47036582.19
T	1187210912.28	941958922.71	904805780.79	820464508.33	538645683.09	530060230.75	640188164.59	660075108.35	323850125.17	226442695.96
U	644314381.06	638652809.74	480086409.11	499706361.12	436437171.61	175575528.3	520274663.64	540164545.74	486625689.61	136773536.85
V	527595495.48	511860013.23	458191017.84	417222452.31	487761973.64	127617676.63	424083645.84	417649410.43	402690527.88	242161228.58
W	592785975.43	586423508.75	690017953.25	482629000.6	363218291.72	188908084.43	357918728.12	451520755.28	421391944.93	119619296.98
X	488291225.98	533864756.66	547342068.94	790046778.03	562406461.96	61491354.86	321742124.71	539546394.35	487487111.2	192225663.61
