 	1	2	3	4	5	6	7	8	9
A	25099.493	17834.237	25136.085	20053.095	6378.077	8560.673	12834.961	44905.999	14608.299
B	18682.783	21467.49	189898.392	27251.949	8456.82	4538.538	3268.552	6021.799	8414.347
C	7496.093	4903.91	8460.634	12796.561	6193.779	3416.506	2405.782	791.226	2631.029
D	9862.612	3883.609	13776.19	3447.426	3315.439	2002.776	1034.996	2665.702	2778.663
E	3413.123	2279.875	2323.572	3392.85	1755.018	2285.919	2105.784	1708.975	1684.169
F	3984.975	2731.096	2144.976	3001.566	2244.546	2013.481	1487.325	1424.655	1978.165
G	3816.757	2714.828	2714.679	2001.493	2418.616	2765.404	2398.577	1605.284	1445.62
H	3844.38	2332.218	2702.742	1896.854	1682.582	1760.371	2268.252	1260.227	1483.798
I	3519.021	2287.668	1979.18	1964.84	1965.151	3355.827	2920.248	3712.506	1702.911
J	3260.658	3051.081	1977.718	1439.563	1281.224	2900.106	3230.862	2971.586	2858.348
K	3241.247	2580.27	2156.483	1784.093	1236.489	4998.289	4035.335	3490.534	3069.356
L	3258.881	2380.75	1669.538	1510.263	1812.399	3310.468	3202.25	3011.921	2103.995
M	3175.201	2171.296	1703.169	1711.022	1053.007	4633.827	3117.683	2536.216	2166.28
N	3018.848	2238.426	1389.388	1889.673	2226.188	5262.619	1456.834	2203.686	2115.581
O	3475.989	1843.458	1409.3	1919.6	1961.415	6409.3	3179.464	2528.936	2030.161
P	2727.799	1949.191	1335.67	2342.811	1665.512	6607.887	3523.28	3001.585	2471.887
Q	4101.424	2867.388	2278.034	3889.628	2027.221	5967.724	4696.982	2832.801	2031.257
R	4798.271	7534.042	2762.218	3875.821	2338.775	5028.418	7918.691	4474.738	1881.98
S	3873.48	3045.526	2740.552	2999.842	2401.658	2630.678	3365.691	2301.04	1428.447
T	3357.152	3005.118	1946.701	3367.297	2320.679	2454.193	2020.686	2205.644	1825.853
U	3141.11	2039.26	2140.32	1975.778	1732.081	2163.821	1241.989	2865.629	1575.556
V	2958.601	2791.081	1750.095	2522.246	2097.591	1496.055	1292.168	1722.466	2001.428
