 	1	2	3	4	5	6	7	8	9
A	69275758.42	10771218.21	54956074.81	6642378.59	9487378.76	11990110.38	2986414.88	10642431.37	1942098.71
B	7196122.16	6447272.13	6530589.64	5194274.66	3358771.81	3355611.10	3104428.49	3441732.78	2098565.12
C	25988914.65	20787080.44	24947841.36	22401551.23	31779093.71	21025173.57	16338944.21	28485316.70	13352640.74
D	28953784.96	31084154.80	24882193.81	23512753.84	19878645.75	38172090.69	29950436.91	18985721.76	14870528.49
E	16953173.60	23675914.65	13265104.02	8624021.86	16505491.92	20534912.83	20892299.64	26883987.90	11813701.71
F	17583863.07	22522782.38	10344957.90	9610912.87	19717337.95	17715697.33	19841134.53	79099739.54	13484480.84
G	27698313.51	32696280.74	21368307.78	24177237.30	42722097.65	43464002.04	44444864.70	103393657.48	24269523.74
H	25765845.16	34757572.98	25755181.40	25168975.33	44640938.80	68078662.76	42618078.40	42570277.17	22988165.89
I	51637581.01	82558246.15	152641782.07	57998118.32	75506205.71	62314477.77	73181274.24	51068887.13	31680381.08
J	55065957.95	61540235.50	87084940.94	52254674.62	70115253.56	49656141.26	51202234.29	42596487.86	42273087.89
K	31412251.40	40238022.60	46284871.67	56978548.06	43702904.76	44652856.51	47512403.57	60973603.37	30189841.21
L	38084485.08	50887595.06	55482422.79	110651035.34	25779136.01	40089624.51	74775520.18	58998658.92	30900147.74
M	35383136.07	41833826.51	35087412.44	76720385.63	39115475.80	46838546.66	52100050.35	55538907.83	26282697.04
N	44007289.67	38691871.25	39365871.30	62021388.22	29167045.40	47479337.23	39741019.06	75320774.92	36654866.85
O	42961956.33	40221637.07	31062920.79	27525129.64	43670599.51	70871325.81	40440625.23	45573049.76	53458504.52
P	64487388.69	32699545.20	30558407.74	21545677.98	39571095.06	49522294.11	49451655.87	49160296.31	112298548.81
Q	39919447.86	30088478.56	25473625.28	23269412.89	25183970.76	44255610.03	42498335.73	40820598.33	94049142.64
R	35122982.43	33829602.58	25865382.37	31976938.56	27319669.10	42278969.86	41509498.50	31729240.21	44256784.28
S	32884316.61	34762727.28	35446662.07	47967552.84	38420758.28	45832208.11	38957241.40	27674639.70	23659160.84
T	58202393.24	47111826.10	51384733.72	83070475.09	68412358.79	56135136.27	53791512.88	41603317.00	20881463.36
U	41189329.16	39635328.13	34835198.45	48564014.92	38109725.30	57117183.88	40987649.34	74266402.29	34498189.84
V	35570554.93	37276353.46	32030194.56	60189073.32	37613464.89	28796409.77	39723916.56	37899752.08	28464783.51
W	32597536.26	39154003.29	26715054.54	39810233.89	104347114.47	26210243.73	22273682.32	27675280.53	24105189.92
X	28098665.26	28788123.85	31997933.31	16331823.87	39325985.11	14175548.21	29261801.99	16409067.45	22089303.31
