 	1	2	3	4	5	6	7	8	9	10
A	47853458.11	63500745.5	28282830.19	13498767.56	52068944.77	27506227.24	23769328.92	30384696.58	25259411.28	2419543.35
B	45513836.72	62270522.44	33130075.87	22508020.47	51402812.23	66046975.74	35672939.77	5955856.7	16118274.92	8393036.18
C	15045797.69	16896341.43	12818886.6	9888603.51	19683035.74	15138827.39	7713547.46	9223033.56	9244479.4	29161629.39
D	11571839.14	17053093.15	10790736.66	8179919.82	6914808.12	15437650.34	12475612.75	7703008.92	8346266.55	27231146.46
E	15348151.42	23348492.08	7691574.53	6404925.95	11136656.19	14490581.74	11285831.06	11522379.45	5867254.4	25719615.66
F	13833293.71	19004468.3	7020419.95	6867971.98	17548652.49	11983091.18	14360395.89	40446526.34	7321372.06	9980192.69
G	18395958.61	24509735.62	14612329.68	17065872.24	34748195.44	24132297.47	23383449.76	65479922.92	12106421.79	18183598.76
H	19710564.53	24492048.84	16808430.37	16532736.59	33963625.98	42019990.14	20639870.94	21243244.79	9802614.67	38279450.8
I	33938110.31	44963791.93	163540220.4	28563003.03	29591594.9	23479685.09	28745322.23	14518148.56	9116053.56	27157161.41
J	26992569.96	39019198.07	62887332.78	25845690.02	42742639.67	16938526.34	21383305.4	15771273.08	12692465.37	49741685.61
K	17052647.92	29867066.55	21835773.24	30351824.56	23394391.63	16086627.4	14275349.75	25916619.28	13486793.31	31942075.08
L	21685397.41	29948344.7	31038004.28	57298715.76	12493790.96	17532031.42	45883660.19	20179143.81	12225597.35	10742176.44
M	17119481.95	24851497.81	14174084.31	33580861.15	17746784.4	19819884.34	24591574.01	23736251.21	9914294.65	20055879.07
N	25102398.7	18570417.95	11701915.58	23921285.16	10468565.05	20103338.49	14955530.08	23736347.28	15120370.21	52613986.79
O	22446398.99	22483659.01	12643512.31	11720417.61	19872263.21	37807663.55	21511852.16	20428470.05	25947856.71	33982939.62
P	34975094.91	12934310.27	8539282.28	7375638.86	17490765.95	22441799.08	13498360.12	21838375.28	71292697.89	26015549.23
Q	14832599.52	11046174.84	5990065.57	9497149.9	7007824.07	23902649.48	22945269.93	19980662.53	39035130.12	27027171.13
R	15296907.66	12365315.05	8196221.47	18306473.23	13685493.11	24911880.09	23736589.93	13188741.28	19623172.53	5923019.2
S	13217842.51	16992068.68	10111059.32	34493933.94	14924260.1	20228291.01	18953305.62	10008860.19	8938679.27	28736449.04
T	21843018.61	24728728.27	20381463.89	56799691.74	38407077.57	30103770.09	35431182.62	18257878.6	10040480.27	25630817.33
U	19539391.41	22789524.09	14280266.86	22245243.5	16672647.45	26887107.39	15280260.59	25713894.69	18312897.11	14367524.0
V	20706250.78	22726754.11	14682504.65	39837085.3	23556990.07	11302908.86	23794080.28	13605369.94	11277195.81	22892502.41
W	15167032.73	24426923.78	9520808.05	17931027.27	66550015.44	9963736.66	18117538.93	13095675.85	12259774.41	41028603.19
X	17099434.73	26231500.51	12569097.38	7307841.06	29925119.63	6365231.59	23176330.17	9655671.53	11893341.9	36028030.53
