 	1	2	3	4	5	6	7	8	9	10	11	12
A	407084931.54	505179272.56	390242794.16	33086351.31	38744594.64	625180614.86	31937168.89	72493666.92	36061804.44	398580878.32	39027883.37	276703023.46
B	70071735.77	58780042.43	35751387.84	29938533.05	36779601.03	23896540.41	17892828.11	12721226.68	59853890.89	195964178.33	56051645.54	262690094.58
C	259462993.14	174522883.87	207625208.46	153874340.21	87783092.74	64387695.86	54448673.62	132951932.53	106655126.43	88228116.30	429357958.37	521623429.44
D	295938735.33	243686262.93	276567246.72	191367138.68	111978396.70	87604552.88	83992776.03	102658991.14	108959280.11	88370481.26	414136462.06	466224304.83
E	188313319.10	200523113.33	161971172.22	114378098.29	78590676.24	99471896.82	50353835.80	65329891.60	133723358.23	118483482.47	638364066.20	348069681.20
F	204867261.41	195441881.66	177107713.90	114087347.94	96371101.70	51528974.24	45095942.51	72262084.84	139832776.09	129047989.32	588047050.52	212992576.96
G	339094717.85	369672112.84	351227526.80	322455675.05	317875375.25	223409672.55	205645934.15	196074245.46	344584666.22	277984035.67	505453962.76	109327178.40
H	294710887.66	279776484.13	307914158.82	276202435.06	309502321.01	424628352.31	264869790.94	277031240.58	324714782.97	253177872.42	197300925.45	57420521.05
I	541404157.72	484475157.17	528266772.48	378805227.24	734668063.49	817600428.56	610982151.54	531898441.05	603786261.35	557153838.95	584183449.78	38147608.14
J	517048281.95	474521898.27	489835757.87	346260433.69	733065260.04	615689201.44	440610064.55	468868265.71	623116370.21	462109724.09	653041762.36	69935078.96
K	392476685.75	327529212.22	335516631.51	298947799.55	407439177.63	339899051.78	347630647.55	448526567.80	415139958.19	310117625.71	403741793.57	69281119.05
L	299850570.39	327986335.27	309141701.49	229710058.62	240046794.26	246575387.55	308377165.21	335884579.08	413624189.08	245100555.27	489956665.38	156312806.00
M	328464394.20	309946156.54	275839050.51	247862748.75	400907592.40	239197263.99	469830312.19	338823059.02	310998036.86	259868495.16	582146828.73	174093780.63
N	304343375.65	314131155.92	282549353.19	254930893.16	281916021.37	333143523.90	391357708.04	421108207.49	254522540.44	228377645.09	561326005.28	230562547.52
O	284626100.09	293698424.20	328770414.02	441789582.47	319643195.81	379111589.38	356035304.01	347561594.00	332201647.41	274614037.21	682391003.17	360567855.17
P	263356535.36	276072980.96	298571598.85	347671852.21	278979643.99	263056659.11	322812579.59	374666112.96	280850380.40	283963484.07	634149332.28	268278627.29
Q	302656340.11	240463325.29	241157537.07	237539242.11	246051675.67	291788599.44	436250888.23	400658196.31	296473065.40	249693083.84	537841947.78	390175457.31
R	276140538.66	288527734.01	247365616.76	228981801.29	299548163.94	342938511.47	451603596.45	355996421.06	257082439.19	241774235.94	480715875.67	264324965.10
S	500420653.76	530855406.80	500654633.87	473588867.68	601862942.24	540522357.19	437020734.08	355764081.03	313040759.40	417590912.42	660015310.72	365923619.91
T	406775033.07	546432562.18	477774441.28	442735963.17	493121604.92	459123698.53	405574580.81	399849077.25	293650615.12	444344237.50	670598050.94	361858813.21
U	376618668.43	329718460.80	339037937.49	328004005.05	290276596.25	318948461.39	292309296.71	265126271.16	240917546.79	244994805.53	467013736.81	298278679.77
V	392421750.90	367350415.04	304567988.75	295829175.22	248032962.89	318001857.03	257047317.51	202693203.29	258522417.21	232075504.69	552289227.57	378005322.56
W	438097426.88	394089122.52	433647284.35	368417568.19	202219901.60	358540958.02	138255076.03	210279633.43	308970469.83	276263276.24	644905081.52	417465460.90
X	415105517.48	362825319.14	354695009.80	294937462.75	211922462.66	44054118.57	124633112.50	75865841.51	317391921.73	355216737.73	556435934.40	368378448.13
