 	1	2	3	4	5	6	7	8	9	10	11	12
A	17460175.71	11239639.19	15463090.79	1768003.91	1453081.27	4913871.94	2454160.84	14109792.84	1576180.31	6292803.18	1676919.34	5084940.37
B	1498693.84	1640435.93	1541966.76	1229902.23	1053057.18	1017695.15	1409586.25	1576123.70	1456481.74	3809871.77	1910467.88	1358256.68
C	12700450.30	7991167.92	7155763.19	3014200.73	6963903.70	3273956.70	6685358.21	7752254.89	8191916.60	14811268.04	9089171.74	12641398.92
D	10513007.18	8770649.86	6487666.09	3661588.82	3345120.30	2961843.60	12674741.05	5541487.06	9820039.23	12951192.47	12952737.44	6597582.67
E	7232206.46	8073114.67	4863340.46	2168596.39	5247935.06	1581140.08	6675508.53	6178548.97	7165855.80	12952199.63	11505442.83	4574542.43
F	7307141.27	7547367.15	5326408.14	1904709.19	4234861.95	1445596.69	7873272.36	6265869.57	7268646.59	10461761.04	10990652.30	3519891.20
G	8919256.53	7673162.64	6240121.44	5826292.00	7418786.02	2611587.11	7774575.27	7834254.23	9236161.35	11355126.44	7891708.73	2794825.41
H	8178584.43	7437220.57	6836552.77	6120395.94	9499216.33	3985406.85	7826553.88	8407310.86	9369191.75	10333564.93	5204444.74	1916927.90
I	27475605.67	34902863.11	104355480.39	68154787.55	20062823.41	24486790.36	9291775.63	10983468.63	11344314.31	24412268.39	3787758.60	1541410.38
J	12272338.22	11910714.06	12136707.50	7824926.43	13470262.55	4457267.18	6164373.08	7328535.79	9308265.60	12769746.93	14808234.97	5393663.45
K	12305451.90	10211133.05	8195603.44	5838651.32	9389433.39	2705795.38	10607912.17	12763643.48	11623848.43	18150201.88	4058942.66	9813152.85
L	10376440.65	10414012.45	6239906.57	4046921.17	6061083.46	2313802.97	8011249.83	8946914.87	13880864.68	14920291.71	7259484.86	13854155.19
M	13380989.37	10029738.20	6243664.84	3527819.93	11174279.55	2184177.33	9167231.71	8648656.84	10655853.40	16851755.40	10977764.88	17074850.84
N	11840724.91	9468989.82	5573677.63	3961097.92	7362711.04	2398742.40	10516475.56	11315594.93	13162419.64	13954717.32	11145077.60	15959814.83
O	9255003.31	9757886.83	6162234.22	7034756.69	11573733.16	3040839.67	12427782.93	12232051.66	13600356.44	16411351.25	14044737.05	11932054.88
P	9824949.94	9590455.33	5853234.57	6826930.01	8356435.87	2968688.94	12414088.48	12370429.85	9206146.83	12518197.22	9857949.62	9202695.56
Q	11539741.82	9779243.88	5511061.70	6741964.99	6719950.29	4627964.14	11694386.80	8234575.80	9782846.96	11787587.41	9677148.69	9935254.06
R	7891690.05	7178942.91	4708867.45	7591401.45	6877184.87	8900371.61	9690584.11	6662442.96	7887467.70	11250213.21	7198973.31	8355625.24
S	13523312.57	12488028.94	8268374.51	14986711.52	11978124.09	10140124.97	16928986.07	8038255.47	7991903.81	20214684.40	6145013.30	3122469.12
T	12995536.78	13512034.80	9322651.24	19849536.98	14402117.38	11666762.70	19387719.00	14373781.20	9279110.15	25105750.00	15511767.25	13652624.99
U	10756444.00	10661564.36	10645827.85	23444823.86	10013882.45	5488819.34	11238335.49	11463624.12	11770472.79	15542515.39	6393312.88	4901861.73
V	9305159.18	9244267.81	8378819.17	12990500.01	10796954.55	6671617.47	7426990.68	8989623.71	7704557.39	11848366.12	8895393.18	6183499.78
W	10312445.54	10910507.23	20949296.89	7538633.83	10742789.14	6600699.49	5976859.77	14790332.31	10724297.86	12791242.39	13182456.57	10904423.17
X	9900071.39	9571396.17	6787013.04	20262341.50	12037942.64	72376255.20	6187413.00	19490031.92	8930351.84	14179623.07	11430427.75	9560982.41
