	P	G	A	C	S	T	V	I	L	M	F	Y	W	H	K	R	Q	N	D	E	s	t	y
-5	16623234.7	16463378.18	13000912.31	14482362.58	14392052.53	14654031.09	10157895.43	11532691.21	12329163.4	12065456.67	13927741.57	15024310.54	17642579.85	16480559.28	15234645.12	14824015.32	15417671.74	15963217.1	19525173.2	17414092.29	21284174.27	21284174.27	19040753.67
-4	14876299.42	16084156.33	12801667.43	12611396.32	11901302.13	11822236.7	9049459.62	9996069.19	11184472.28	11114088.82	12715749.67	15724486.77	18518725.84	13292548.6	12777548.76	14349469.68	13779691.83	13709003.93	17167074.07	15048638.82	17845840.34	17845840.34	15964285.53
-3	11954591.33	8618804.02	5488632.5	5513753.44	8153489.27	7085413.99	4422342.24	3891728.26	6780498.59	4878018.6	5980174.22	7593531.03	7182656.09	5321713.29	8553408.36	5945220.47	8508550.95	7781796.85	8592771.52	5740164.14	9736235.52	9736235.52	5881170.5
-2	15255561.36	15516785.91	10090026.21	12884230.95	14976405.31	13035614.53	8138439.22	8166279.31	13677829.19	9935969.26	10910562.37	11066120.13	14309269.47	11380817.51	11568446.68	13641430.63	13820290.41	15145969.49	14398520.37	13812684.6	14912508.25	14912508.25	13555358.26
-1	20515294.76	18836594.99	13084288.25	11935412.82	18845436.8	15339415.57	8697873.41	10562881.59	13282838.89	12103861.2	11673402.84	12544720.81	18303039.31	16935639.35	18340290.47	17965178.05	21308052.05	21689837.45	18552452.57	16490184.19	23045288.92	23045288.92	17651391.95
1	15627890.78	13779299.26	10182653.13	10820695.42	14706963.48	11067092.63	7792448.81	7744835.88	10871899.44	9464904.99	10237067.23	12169145.68	18930024.22	13599303.83	14241867.1	15962985.1	18918286.54	20297397.19	16241708.43	14163552.7	17909762.61	17909762.61	15028973.9
2	18266701.63	15538571.57	9281686.48	11692421.72	13960799.49	13219638.66	9351966.41	9051470.48	13394436.45	12859120.47	15995387.0	18463569.94	21245183.34	16773424.11	15728261.98	16167594.97	23450115.7	21521534.68	26426081.67	19941005.6	27998907.18	27998907.18	19574709.79
3	17532518.61	16450455.15	11953571.44	12532305.4	15790217.05	14426352.57	9723108.71	10510257.85	12860047.3	14357770.46	15221200.58	16580800.91	23698627.15	16030696.73	12511497.99	14255944.81	19123623.76	18734863.67	20763672.45	24018631.32	21780295.19	21780295.19	15687535.6
4	13384095.29	11937959.34	8768907.26	8262645.97	12430215.97	10471623.01	8102681.92	8407829.94	13795067.51	11566551.4	12524194.88	18100043.27	13837514.92	13898543.19	10848363.16	10209604.46	15890062.03	14395075.53	17699424.18	15892400.11	18959897.06	18959897.06	12921994.5
5	14003175.35	15342622.33	8625841.8	10657795.79	12989738.53	13036363.98	10287012.2	10571571.53	15015699.65	14166624.21	14742835.86	14994038.28	21145183.74	15045602.53	11375020.62	11673698.71	17684013.26	15484940.19	19582712.26	19438096.23	16063527.63	16063527.63	20890641.58
