 	1	2	3	4	5	6	7	8	9
A	49494486.80	9276231.22	47865512.38	4707916.78	2183383.21	7741529.69	3397842.08	85317683.28	4264389.55
B	2924849.08	2760789.08	3701197.36	2352355.17	1034836.29	1506554.37	2625889.16	6132411.75	1250255.74
C	10336851.18	6970411.64	6367719.43	5016038.87	9394393.95	23138103.37	16052142.17	31702161.92	22177765.81
D	10028593.16	11177729.86	7130095.50	5334159.35	5503334.59	25778168.34	14495263.82	24929815.12	36041466.68
E	6192919.29	11813590.05	8358709.38	10298217.78	8068825.98	13216185.64	11692262.69	24110803.58	18809203.27
F	7754598.96	9645883.44	9389150.16	10996061.68	10999856.79	8404570.28	15121311.44	22472051.14	20955153.92
G	11127282.30	13294115.41	9645981.00	11822543.09	17615118.57	13040822.91	13825339.42	12591320.31	13637272.68
H	12929788.56	15764297.23	13334142.05	16065474.11	16171638.54	16676277.49	10038985.85	12303691.57	13535443.49
I	48420126.88	38199442.98	168787796.83	71603449.21	24126441.51	18235934.30	22334543.16	16905089.27	19072402.76
J	31621394.97	27978855.88	35411992.48	43395076.99	25706418.53	15786170.35	15209697.40	14800475.89	17759509.86
K	13794424.22	14166737.53	11775972.87	16352631.35	17491058.80	15832006.66	18823698.27	17318754.88	13815901.85
L	12478606.48	11263004.69	8490038.01	6031676.99	10869286.71	12085287.72	12036747.93	15195445.50	11165175.00
M	11574363.68	11708199.29	10362544.37	10043057.81	18380163.76	15712832.65	18775217.79	14918914.34	11519217.28
N	10874704.78	10595972.46	6804305.06	9490178.37	12263911.46	11557416.52	7684491.09	11876810.14	10272406.27
O	11384427.58	15386210.85	6051568.78	10252742.83	16143895.14	14975333.97	10199198.02	11003395.10	12513659.02
P	14602554.61	12603486.45	7693230.34	16303882.13	15671005.64	12628628.63	10265308.81	13789881.21	9858353.81
Q	11790328.86	12958539.23	7747044.11	10275782.63	11282698.15	16282417.94	10811085.85	10152670.82	12492256.45
R	13172645.45	10855721.94	8178182.05	9870866.99	13007436.04	19751529.14	15020510.00	12785212.73	14225581.42
S	14491411.22	14510477.49	11912033.63	17048967.00	14374270.88	23531676.60	18213162.97	13083147.00	15382433.58
T	18483347.20	17191070.61	16042250.35	47446261.54	23534957.47	24342582.83	54725994.89	21740225.02	25712152.30
U	16143249.73	16860346.63	18370642.04	20952642.19	15899645.23	20299701.93	24435613.58	21231780.51	19699982.36
V	14869777.64	16799218.23	13552568.00	9273992.24	15868013.30	11931282.93	20726210.54	15053400.33	15626963.82
W	15680594.11	17840821.06	11537601.25	14187872.50	19589476.14	9584513.42	16466279.71	18498659.78	17639467.31
X	14715522.30	13420163.62	16320349.82	7626019.52	40827001.71	5890960.40	9506331.52	15192435.08	24155250.02
