 	1	2	3	4	5	6	7	8	9
A	22342766.47	24988397.19	20052953.43	21355668.97	26928851.98	22594041.92	24269869.31	22066430.45	29652195.11
B	14547786.44	15773418.01	14393502.67	13724666.06	21082748.75	19137395.56	17839395.49	19232915.62	28610507.28
C	29917937.19	31290068.01	17860390.25	22375607.91	57118985.33	14466539.74	14222895.14	29582943.53	32032285.58
D	34857575.19	22954146.05	16913259.10	19113451.94	46612056.28	13989942.61	13243204.56	24513497.71	28316982.77
E	20797334.83	28986799.51	25246675.49	36621814.92	62365988.25	21018562.45	27871380.92	29317133.48	41205858.13
F	21343007.19	29482276.49	29925628.02	41179107.06	63629331.28	28940925.48	24799744.05	31899636.00	43047098.26
G	26635679.04	31670883.03	84716567.29	39072343.34	26828512.87	13016837.07	56995639.83	19229227.01	20100315.10
H	18640192.64	25944230.06	32303164.89	32822651.71	47420618.30	14757824.43	31178104.85	24906918.06	39422587.78
I	26498815.88	22900107.55	25975065.47	38263807.04	36298254.23	15916618.97	36292437.97	35005997.00	48823460.48
J	26004705.72	20378721.41	15947058.27	18422713.65	18964226.27	15251040.82	17676328.48	37068242.76	20549920.80
K	22413630.25	25286664.61	21874940.69	19343333.40	28332370.26	20278269.43	24176784.78	38827496.71	25951815.63
L	22409320.37	19785024.20	14656064.32	18609435.29	18447789.14	77759296.43	15736666.54	24626979.38	22655538.68
M	19932611.05	22568602.65	14573063.71	18443381.64	27601349.81	41555637.48	19900040.48	23756201.54	26313952.34
N	45448794.75	22938328.94	15258090.55	17372720.65	28087834.76	26602513.55	25393872.90	28469921.61	28409984.73
O	21591098.58	15367617.23	9689257.56	13782258.34	13117650.39	26535662.82	16016436.82	23580796.15	26004563.73
P	23353165.20	20443219.12	13444738.26	15963375.71	16476613.93	15542122.85	15993948.00	22770555.80	25638228.77
Q	28409385.44	34824484.69	27761631.34	41118827.64	30776772.01	26376708.84	28027974.93	21567210.50	32117335.28
R	34659015.50	32171774.84	35020065.58	47943622.42	34628106.52	32977761.09	60841708.29	27059382.92	25219681.85
S	45582385.18	34119306.95	28568646.02	31849291.71	27383275.79	28340495.06	29602139.80	47270592.95	45636007.94
T	26016921.49	32408466.63	22326606.28	33565285.04	34332220.10	15857393.97	21276183.89	24337907.49	43042252.00
U	26709847.58	37251153.84	24457405.28	41255641.80	43730090.10	13792664.01	14590916.86	33104754.68	38984405.31
V	29307920.22	41316120.08	48626570.59	35941058.09	181406513.54	20023847.53	14944174.28	20274802.59	53111403.90
