 	1	2	3	4	5	6	7	8	9	10	11
A	3312704.24	1830428.1	3735272.88	1895242.42	3676972.07	1437723.57	2989088.4	3004949.62	1444619.52	2921073.37	1936874.9
B	6086866.34	2298718.26	18545188.65	2652703.61	2836181.0	1542483.79	4113333.28	4298313.78	1725744.91	3575773.71	2147779.08
C	12003695.68	10141179.62	4645366.92	3292855.79	2900895.19	1797384.95	2148579.44	3424039.54	3100907.91	2862720.37	7471555.63
D	6592106.05	4540248.44	3498153.48	2959730.72	2375297.68	2068107.19	2315822.31	2693459.04	2947411.5	2894708.98	3132017.72
E	4223063.18	3754089.33	2520489.87	2253214.39	2036347.19	1672721.95	1872185.26	2522936.13	2966985.37	2907646.6	3809319.96
F	5093046.5	3788623.47	2339219.89	2100111.82	2041931.64	1542788.07	2154514.64	2452690.6	2919177.09	2585980.16	3245917.24
G	3524718.77	3509986.66	3089317.08	3737430.47	4362108.32	2142935.58	2647855.46	3119330.31	2993729.14	3135377.37	3473140.04
H	3216370.87	3604207.66	3454786.24	3771369.58	3330595.87	2589687.86	2517618.91	2920419.77	3169323.87	2874526.14	3343049.02
I	4438994.75	4761611.06	15221488.61	5992164.9	6350295.12	3642101.68	4100280.14	4907719.79	4402588.13	3950506.82	2558469.14
J	3899575.51	4277800.83	4846169.16	4751046.89	5189093.97	3323108.4	3433818.91	3706124.07	3661513.19	3648040.23	6317683.16
K	3747333.43	3979721.2	3536188.1	4023758.73	3749428.26	2507689.3	4403227.02	3947947.45	3682663.08	3602756.03	3642749.17
L	3747697.35	4026816.22	3066871.58	3959937.48	3433900.31	2952480.75	3417289.35	4842777.68	4124970.03	3945868.76	3799143.43
M	4037482.26	4124912.19	3117217.46	5206503.6	4876561.38	3529507.55	5365615.09	4743312.99	3447079.98	3446678.56	4476230.03
N	3571145.53	3880015.83	3252732.87	5318105.47	4810433.47	19134265.44	4281226.56	4950966.59	3606441.95	3653068.49	4360220.72
O	3502338.28	3427701.88	3173545.58	3474201.32	4811726.92	7862747.87	3925769.77	3816675.76	3721703.2	3437943.41	4465986.58
P	3367202.27	3495872.71	3190198.14	3908020.27	3766476.86	4825029.16	3530881.61	3666895.91	3658490.38	3330482.78	4760210.69
Q	3969287.06	3683019.27	3231637.64	2940478.56	2647578.57	4793842.82	4056317.56	4054014.46	3475571.94	3051227.71	4561370.63
R	4848156.14	4341501.32	3121688.94	2850637.16	2601007.4	2765760.97	4219089.65	3880626.19	3158808.21	3026856.73	4165784.98
S	19229811.79	10483531.58	6647672.85	11384666.04	3927583.53	4924244.81	10169355.87	6921048.34	3944938.53	8499022.99	3195747.24
T	7641958.06	6540700.08	4985764.89	5283373.45	3526598.21	2938872.57	5537057.33	4495871.68	3943233.55	4630328.25	5218433.39
U	6400297.84	5110577.35	4849096.21	6348556.09	3921492.25	3459738.95	5860857.08	5774774.5	4569944.03	4487674.21	4258529.06
V	4575247.35	4569830.64	4114167.11	5931317.36	3192139.64	2535625.43	4104911.58	3514960.54	3727988.21	3415747.29	5068690.39
W	4932104.44	5152388.45	4269287.38	4649987.64	5609244.27	2654994.11	2603061.7	4494786.77	4109392.31	3891538.88	6227481.41
X	4650269.17	4497707.88	4103485.82	3347542.9	4036620.43	2315272.4	2631870.03	2935703.23	5067993.51	5132220.69	5469733.54
