 	1	2	3	4	5	6	7	8	9	10	11	12
A	65022977.03	10280182.23	47181103.20	10785756.54	131539468.81	10198674.09	123798701.38	99962822.27	9753018.75	75829973.89	22649970.81	91936409.46
B	150653005.16	18368509.60	116383628.03	17094200.93	137819057.36	12801089.91	115800049.70	72885480.50	14197341.84	46654862.67	32131807.34	78845384.85
C	135384288.01	146718977.58	158483667.07	127810566.73	150635851.20	46851154.92	69536529.86	88156353.96	84164065.42	62610948.68	274575367.47	148830640.17
D	131957152.63	120106596.31	114506553.86	105143238.51	66155583.48	60353389.70	78057125.52	73621175.36	75216023.73	73497931.14	81623984.94	100505856.72
E	116395312.69	139668253.01	98454050.99	76132665.41	100410628.31	27714070.98	81481156.67	53718379.08	95045150.17	64816117.26	253792575.18	159612858.78
F	121389625.05	123035891.67	103496965.88	116498490.01	125959719.49	24848659.71	93467175.14	68582167.21	105740460.91	70847616.89	219485622.07	89225710.19
G	134027055.95	100711356.83	149395908.55	157187611.92	196517087.07	93978672.16	136729216.69	120482994.83	147805431.20	102679420.85	204246070.94	163757518.77
H	119947916.96	122579079.20	116023494.97	130185605.26	126495557.81	87142868.80	143471569.94	122474660.67	150214794.14	99530314.65	302459641.54	51428725.61
I	160332073.57	148996996.30	171596992.91	157203877.91	249746387.56	110908453.05	331182110.78	446534825.32	318738137.93	223036824.12	65803967.29	20449528.39
J	158172745.92	148216499.74	186266131.14	121223011.71	200148994.82	120851121.54	343510171.57	417982451.95	315905492.63	247737433.47	179798682.65	95393379.64
K	134748452.09	143806885.04	189789757.43	157471441.93	223880523.53	102141345.25	175759603.79	129965487.76	153939571.84	112434511.16	106022638.82	54960107.90
L	101328776.80	121312399.32	134112590.30	154063511.14	100949833.07	147179785.73	81722315.99	109099360.10	106961140.43	75335970.20	148796914.32	76021915.34
M	133765547.06	151053525.20	150202141.84	204971025.78	180806025.64	120075532.55	107906503.95	103004020.38	89720926.14	71873188.86	155134589.67	73387738.18
N	119468921.97	121902950.56	115897734.68	163586952.30	102865703.69	99257548.20	61848361.77	64229186.51	91630047.61	60689748.35	159620780.47	78450779.76
O	104306107.95	110041441.57	105342002.31	104215187.56	156696794.71	221239839.72	111090373.98	71894020.04	103658772.03	68864031.49	274873928.07	131153706.65
P	81386683.10	95420281.20	86753731.35	78518763.87	118323479.13	267905149.16	94408320.75	107424681.46	92238416.09	65607483.39	229682809.49	103666205.96
Q	95151069.78	92763362.70	90735637.97	90975363.75	47960555.51	166084558.46	63243799.25	52618407.58	86000574.20	55878250.90	295213477.84	101367481.28
R	117179683.95	103723123.76	76848404.21	103621159.80	64462993.20	100097876.73	73231954.64	69518151.60	94200164.39	60294108.35	275226716.26	112577874.84
S	495695811.96	278787168.79	334111835.04	320160960.59	279964978.15	396510499.84	400667584.24	355500645.49	291123230.01	293207338.45	105976581.88	113731414.54
T	229146227.65	187308911.28	184792230.37	168899751.73	212551465.50	147147115.08	215017058.22	164318233.62	134919509.36	136041642.54	182529613.79	144710871.50
U	200969993.89	163712474.76	172233194.33	196962211.11	175799046.49	153639414.14	154980647.29	118530403.74	154131257.63	94461575.85	115214535.02	134631570.31
V	179205381.03	137374185.89	130365638.32	159197297.69	157983530.48	84894825.21	159191321.16	129687829.69	163330922.24	95445601.56	172184460.91	138737070.04
W	172443750.24	149681698.54	155612020.02	171227373.13	254412863.25	83193177.08	139785231.58	125033574.16	170271850.57	106227063.55	161703176.33	126440611.05
X	185919917.94	150593445.64	140381951.28	97143985.06	95753321.91	37676055.07	144735144.70	158174111.43	178543173.27	121544833.16	146282159.26	117222590.03
