 	1	2	3	4	5	6	7	8	9	10
A	22337722.94	9456921.42	21652729.11	2133084.1	717653.9	599143.57	610394.17	585729.25	668883.77	1801253.33
B	1863025.27	3753086.97	2123793.88	2404441.27	886614.64	808894.23	925163.13	892562.8	1416929.76	12680360.56
C	11597588.67	13105157.22	17328864.45	9291703.58	10005087.82	6219377.78	11309214.91	8577325.68	14912736.43	14528190.48
D	14009856.26	17838005.63	16799300.2	17334262.36	11145648.9	11208660.6	14337118.53	11050154.73	16268825.07	14629766.41
E	10943897.49	11294857.44	8042646.72	4779781.81	4578618.13	5266286.36	13295440.85	6317199.32	12484059.2	15906792.47
F	10342412.77	10114606.48	7814348.95	4826584.49	8672590.12	3948646.8	8779465.9	7769245.25	13042788.21	16925754.8
G	12842647.85	12536987.83	12089203.51	12589090.84	19053702.13	9271123.7	11491525.31	11530824.49	12928233.88	15121132.18
H	10746751.83	11363185.29	10834524.95	10290033.28	12450196.87	18912061.41	12788135.5	11163716.61	12124655.99	11512647.1
I	21215228.94	23028081.47	34273823.04	25122972.63	28873894.83	39488383.08	14564465.38	17914750.47	14556121.55	17747388.14
J	17751731.9	17395673.35	18473968.63	16779793.35	26830969.26	21207421.68	9170521.07	8216790.82	11742108.82	11971317.01
K	18002455.47	14963990.46	14252360.1	15226059.41	22195381.29	12868995.19	18520258.74	16507403.48	16530238.03	14857594.86
L	15898380.82	21291161.54	14939888.02	9863093.7	9883341.34	16110027.09	14805130.47	29875367.05	18784330.63	19736813.99
M	15650427.09	15030047.85	12260450.26	8808801.65	15298477.98	18259774.99	23836575.69	30743689.71	18243048.16	18914776.95
N	17475464.52	17069809.41	13074124.41	9487811.95	11616141.18	30376418.11	18320315.58	31822559.35	14466386.11	16700433.8
O	19288655.85	18666503.58	15731123.69	13421037.83	17283637.66	21911538.22	19165124.34	21283130.29	17080739.08	17574385.17
P	18292434.75	15408420.3	14386560.84	15376200.99	14758078.86	13199906.76	17390381.31	17345109.06	14585269.05	13931068.95
Q	20646108.84	17130025.82	13768350.32	13862154.2	16337722.15	17457661.21	18327757.61	18924711.51	19540514.0	16445321.82
R	18722954.4	20088392.41	12328462.03	16242145.36	15155021.83	15273158.44	14708189.57	14565346.86	16040331.49	17219027.32
S	32587903.31	32755534.86	21782989.7	29576776.77	20194577.41	20351129.82	21143270.21	16984747.36	18881030.9	24492934.48
T	51162949.46	40958486.47	22861465.51	30701192.27	22738424.65	23255705.09	25561255.8	21245083.38	17074256.69	21613623.99
U	25483748.14	22138605.19	22781414.45	18130243.62	15586076.63	14394423.71	14308408.33	16392550.54	17018635.6	18970593.48
V	13524009.99	17055272.32	13423397.87	13055132.87	8407056.88	11289098.53	8881708.73	9077768.48	12625824.07	16133980.79
W	19010004.29	21008834.88	18802216.59	15574465.49	10943070.96	12569894.9	11725671.74	11216674.37	19696439.42	24073146.14
X	13406125.29	16839355.1	13522890.66	14313778.16	6628664.17	3147377.45	8146758.56	5631415.01	17496085.67	19746426.44
