 	1	2	3	4	5	6	7	8	9	10
A	118788396.57	141333480.99	125965828.2	9616104.58	2790760.05	2426729.01	2317192.97	2536654.55	2983103.84	6077190.93
B	12725555.47	16024293.09	11507520.46	9010929.16	4737755.64	3601776.19	3232546.81	3907953.25	7383310.97	94209480.26
C	67833804.22	79983112.09	91163725.74	71848040.89	119398629.34	41265885.88	43425230.55	64531632.89	67104526.19	106226890.12
D	100450997.24	99224715.25	91097258.38	63924575.85	67047030.02	59991318.55	105471570.89	104378223.45	109212982.98	91287857.82
E	72628112.94	96587537.34	86093686.11	73435171.69	81067657.6	29455706.03	46928542.28	73160637.45	83365487.49	159398321.19
F	98930825.07	100534262.35	122126907.85	105020226.19	133603835.69	27003042.22	61188622.71	76527759.26	100903706.83	120314719.94
G	88107467.63	97192876.65	115942191.68	93152217.18	110879480.39	39655717.75	132166446.24	117043684.33	106908637.38	142821417.84
H	68771736.95	82476508.92	87248796.65	73857988.36	83514946.33	37015752.57	86087238.2	94300481.65	127683118.2	120132687.99
I	85401450.92	78259771.12	77094889.44	41811969.84	81102736.02	33060542.93	276879316.34	113253464.66	106558811.65	172795759.5
J	75005849.13	73492589.86	73302943.44	31341430.15	88832938.76	30216781.96	206013699.16	125862148.96	140325235.09	166141329.62
K	94877835.66	93666264.85	90011028.61	115943405.48	111139914.17	76277350.13	124540234.69	104815086.91	113336930.74	125711889.58
L	107931201.26	106912182.14	101334974.95	154896695.11	74611435.67	205999792.34	62200063.41	101616915.05	92884236.36	114485580.35
M	85779719.41	92791729.78	87541551.21	187965949.28	122906102.06	119956437.38	69710005.04	93954560.4	84951822.03	124118208.75
N	90937167.94	91371053.73	76983615.13	143740235.8	73872146.71	101588280.7	55874124.63	93173284.96	79504543.93	115619350.07
O	73129215.75	85373818.94	79354347.01	70886724.13	91784982.01	119377805.43	57763411.97	76842155.22	87467696.12	107862706.09
P	61851008.68	77753753.6	60597146.91	43706836.98	100462161.59	168068729.57	50760992.82	78220806.99	82842712.16	110605124.21
Q	57128950.39	61714147.5	54297392.13	48187421.77	52044077.31	129857900.44	62506413.9	70828462.53	81271298.95	106946282.04
R	73883980.81	71395304.16	50620776.75	51706775.83	54601678.24	89063076.08	81523941.84	87874407.35	76627261.31	114767770.12
S	167454702.51	142647510.94	154380877.12	137548773.33	98800875.09	111563268.41	194556717.5	163143948.21	137523364.52	249552381.38
T	154127407.59	133207868.83	147103517.49	129926724.78	87688041.54	86841112.04	164406916.25	153156766.22	106782430.91	194795313.67
U	120639341.93	112247444.6	103913449.9	99241625.37	76309388.38	88183727.84	83338120.68	101826862.1	110347670.48	130816388.75
V	106400152.59	92484032.67	81111871.84	88240617.67	75658619.38	34914748.55	61495205.87	86379676.57	98819551.91	143868060.74
W	104105525.94	102209791.03	96938225.36	84321176.36	76922232.0	40497672.27	74678057.03	110244840.83	124262205.96	167841094.21
X	84762139.53	93188237.36	79607137.09	59295350.12	95799299.93	15426347.27	59709308.47	121782226.77	136165138.99	170357272.13
