 	1	2	3	4	5	6	7	8	9	10	11	12
A	2621890.91	468630.28	3904883.74	1220404.23	15328036.46	1129530.75	10284595.83	1437704.04	243758.65	349515.51	663631.10	1271243.26
B	824215.44	768384.39	14719478.67	2026029.60	11790365.91	1705407.81	5896898.40	1646982.04	315659.47	434932.32	591116.53	763690.70
C	1365776.27	1676622.37	1195816.59	780992.78	979122.80	1384810.82	1075496.43	2386908.06	1887819.31	3591101.90	1186341.83	513467.19
D	1832325.67	1534910.78	991981.18	686392.77	743583.74	932982.86	1143015.25	1555050.70	2489428.63	5330711.80	4410149.89	789659.02
E	1563153.23	1746606.48	566814.13	388976.04	700753.74	471031.14	611178.53	2584656.13	1896390.35	3509378.70	4292209.89	577991.32
F	2090891.22	1522000.07	679858.93	418793.80	989591.21	454575.45	940967.69	1698192.94	2272827.80	3570772.38	4562752.22	828307.87
G	2404732.55	2176345.40	1510852.21	985319.71	2511393.78	992630.38	1628559.19	1731677.96	2832329.57	4022706.89	2241171.85	546882.46
H	2159440.86	2227228.77	2124642.69	1628438.11	2134770.12	1402524.49	1217593.33	2184027.89	3162827.53	4067511.83	1148261.44	758210.36
I	4212384.00	4343758.96	11132529.47	30274622.85	6917645.14	2174941.44	1549121.32	2339872.25	4305334.44	5886860.20	2265393.18	640728.32
J	4368972.35	4483166.21	13420749.07	3466284.76	4821919.37	1795866.12	1373265.92	1965176.29	3604458.20	4525021.21	6469211.51	1121275.64
K	2434805.27	2587234.27	2376313.88	3926035.70	3245390.34	1963487.61	1804931.11	3020100.06	2818182.39	4375342.87	2026593.47	2249348.42
L	1902978.99	2094748.37	1766364.11	1462625.26	2463997.92	3774828.58	2060589.15	2174991.57	2344050.83	3060626.99	6276958.92	6635896.57
M	2011924.80	2075470.78	1654953.50	2633340.63	3286847.00	2869908.96	3080161.01	2577836.07	2219589.84	3093255.70	6552890.54	8729359.65
N	2354526.92	2139382.75	2011561.73	2237694.41	3070807.89	2781849.19	1931781.90	2370804.60	1846498.55	2766347.85	6623347.12	6447904.55
O	2408453.48	2592639.10	2066650.06	1648304.73	2970428.20	2913293.69	1633021.94	2515407.40	2161562.29	2735139.96	4908011.86	3543914.51
P	3161353.10	2481317.62	2528565.15	2366918.28	3526365.32	3301779.63	1845662.85	2664897.29	1674036.50	2762257.45	5316962.24	2964362.59
Q	3873486.74	3644124.27	3500649.59	2740002.36	3130128.12	3158463.14	1740204.06	2131443.96	1711602.11	2087960.65	2735365.79	3423972.12
R	2802130.83	3265007.55	2340522.81	1786773.17	1715308.67	3265403.33	2324476.81	2156578.93	2069371.39	2286926.82	1980349.10	1658569.37
S	2328422.58	2495017.24	1681826.35	1931143.86	1831540.78	1671642.19	2195271.30	2510710.14	3726793.77	6239597.22	2589015.09	3299368.40
T	3265247.50	3534387.97	2508253.09	3497508.15	2492726.19	2638320.86	4865570.21	12224020.35	4502574.41	21027852.01	7285079.69	5333844.86
U	4048859.78	3503262.08	3321435.46	2851266.74	3248018.16	3614587.37	4870556.64	3988586.64	3576359.97	4948370.99	4440058.65	2582445.91
V	3334013.53	3261552.02	2414644.22	1870095.34	2521408.85	1711749.33	12483990.63	2780792.21	2902165.81	4132464.96	19597487.17	6564997.94
W	3277685.86	3420036.82	1744408.98	1108629.72	1693273.44	762279.49	1608004.99	2838775.81	3535854.33	4123547.95	7807982.43	4732290.70
X	2456525.76	2660644.16	1770632.72	1791216.40	831595.49	633667.91	1486774.37	3126193.74	5385737.61	7197650.08	6305262.64	4522888.21
