 	1	2	3	4	5	6	7	8	9
A	29036671.25	31538963.92	25205969.25	18906484.99	25761036.61	20654834.63	21505829.28	28288574.92	8304592.6
B	24066902.3	31945193.34	19901087.46	16645285.56	13867545.23	45487820.84	29913885.01	15831449.07	8407694.13
C	33000635.83	39052525.05	19968571.48	12840928.5	24477424.43	28273610.86	40053615.5	39767194.98	10358191.4
D	30947451.2	40408643.29	17583734.77	15158155.13	27323036.24	19946002.44	28570205.27	103407599.57	11754171.17
E	31041394.51	42585294.51	28178098.01	26495552.27	39181283.17	39785371.48	42528766.09	103263657.83	10833223.14
F	29338277.8	39427487.72	30151753.44	23524815.55	47189236.24	63956081.81	44223499.57	39719689.46	7715264.36
G	47547182.87	56892683.85	125217497.1	35183054.7	45137758.41	29938356.58	23027345.65	18878732.43	5621232.77
H	42429194.13	54835477.68	71275178.85	37287329.08	54124945.15	26109997.19	17555761.42	19698407.6	7940531.64
I	34741271.47	46948517.97	49772973.92	49006165.77	31228143.06	28152477.22	39301002.18	56202187.95	12894289.61
J	41942436.11	54046506.57	52185882.83	99015315.53	25242397.21	30124411.62	96960239.75	47306566.8	13001870.1
K	33332975.17	40028040.31	32347760.38	62128326.56	28825279.37	31767617.18	37716786.34	44996122.08	13590272.96
L	39273519.42	40036157.7	34456681.26	51284778.13	20007700.02	26691899.85	31601028.69	38834331.18	18317472.2
M	40667173.0	38497510.89	34973006.82	27007397.13	35054166.59	80538490.34	41296321.1	37247283.07	48151074.01
N	55266681.84	30710959.02	21490924.44	17318982.31	28260389.95	43166335.07	42742363.63	40127868.19	160030816.82
O	34203894.74	26848930.95	21038488.26	19414866.21	21249073.12	41063747.14	36322311.58	28336129.97	100256028.23
P	27648347.55	29025814.53	20875729.49	25703875.35	31124061.86	53630244.38	37737310.28	28077450.65	45282907.75
Q	28280954.98	37280390.43	29926200.0	48569093.64	36287009.16	57770324.5	29798520.71	24438503.12	9952220.2
R	47298781.11	49868627.37	54526841.91	74869768.6	63441862.1	50328468.77	32179846.55	42731230.71	9392380.44
S	45953508.32	38616162.17	24988462.09	35210029.04	23641790.77	41647359.56	26878553.42	61655543.21	18197715.88
T	38614407.52	52618857.59	31234387.96	75896516.22	40600907.31	23392212.06	27074922.28	30037769.17	12311039.21
U	35853357.63	49189162.62	29776586.68	50316177.21	91047473.91	21213101.5	18029113.48	21500127.84	11369033.67
V	27834035.79	37368848.27	32226205.45	18048016.6	46389362.62	13675607.96	22731814.24	9225084.03	8808316.35
