 	1	2	3	4	5	6	7	8	9	10	11	12
A	54390078.31	44077021.29	51675605.20	3592841.45	424476.62	520111.80	444030.05	455712.94	878464.56	823831.98	354472.23	224637.06
B	4943418.83	6104264.74	3802737.85	4239873.19	892630.31	649440.93	654830.96	677971.16	2195276.42	17341445.46	997891.67	238188.15
C	13061088.75	14758361.18	7963766.19	6120956.35	19300394.93	11479510.37	12951695.66	13703183.16	11696833.54	19154451.92	913890.39	218796.03
D	12987224.59	16353759.94	8590356.30	7792556.58	6467371.45	9088320.90	9884167.72	13591360.01	17483074.60	16165333.10	823931.91	228666.17
E	11466588.37	14986249.30	4368741.57	2965348.30	8290898.95	5841048.34	7899072.12	12741276.18	13887460.52	27632088.79	1091412.76	247394.59
F	11464166.24	12090323.96	4399325.50	3198070.49	15574350.10	5882718.69	10984748.38	11842652.96	19701350.30	29655742.93	993842.64	251049.06
G	14258599.40	17142314.75	8856712.42	9955364.00	30811109.25	18462014.12	21709667.73	25185236.76	28896602.57	38228670.50	1362748.90	290324.14
H	14988023.16	19398853.50	14931574.94	12228020.08	21684468.18	21570182.92	18129455.91	22887074.13	32693882.62	30069294.54	1485044.93	338276.72
I	46308665.22	58649797.06	241804548.93	163022632.85	37525548.94	19023143.41	39102369.13	45991399.36	48152924.11	61365340.34	2258824.83	433281.24
J	28966209.27	39387269.30	62169227.98	48900192.16	38185706.19	17054957.55	26095263.75	37068344.22	50942663.29	49836947.20	1744696.44	403528.53
K	19907160.04	21727731.71	22309094.06	18789568.98	25266134.27	15812139.32	31357623.66	30978724.22	29511541.69	36590804.17	1274043.18	358609.01
L	16027501.16	20714995.14	9373015.30	7431841.39	14220032.24	22462502.25	16679331.51	22854369.53	23151572.85	25581500.74	1067854.54	346452.09
M	15742204.09	16726542.08	9468824.32	8789774.53	26612602.88	17042662.91	18325689.88	23248076.40	15512400.43	28583050.02	961965.47	319901.60
N	16671963.73	15650650.91	7223254.58	11301067.87	17851764.42	46236500.98	15240719.77	24525110.15	17323199.08	21857955.54	870027.17	306791.87
O	15409761.84	19175233.16	7508915.65	11168273.31	24295340.44	33785347.17	15801551.87	19914391.75	20228125.32	30376058.78	1012439.74	303177.08
P	14156489.52	15980319.99	7876057.80	22892565.64	20977914.39	24441788.18	22718840.65	19599278.84	20570253.26	24362080.31	910628.96	319102.24
Q	13271896.32	14065393.27	6534731.06	9269011.71	7220572.84	33952990.53	20441529.87	19892556.30	16918422.73	25743564.57	1020377.57	344528.97
R	13037570.99	16134289.55	6344537.74	9863410.69	9634836.58	27939307.19	22179287.33	18552859.18	18364889.10	24822642.80	1037020.74	406380.64
S	17801288.32	21053645.01	15665910.69	40514113.91	18116410.05	24540953.28	40388451.24	28284495.88	32270913.63	50289265.09	1821375.07	418786.36
T	22647275.57	24561075.64	20065358.79	41332981.64	24373755.69	25572492.56	61030368.30	38048939.96	38961301.73	51640116.84	1897413.11	441747.39
U	17247743.90	16798065.92	13140602.43	21971629.68	14879920.18	18667564.57	23598117.67	24659376.30	20203616.26	29557109.95	1151416.98	387637.87
V	16831835.48	19063613.39	14485106.48	21110618.12	15842330.43	9834130.15	18211185.00	19788527.29	21719674.69	26787270.97	1018909.90	356852.43
W	18104681.05	22044179.39	12072788.52	13268000.87	28410424.95	13136588.59	21525508.02	28710820.58	26477432.58	34223706.42	1043615.09	320830.16
X	18399509.29	19398931.56	13509722.97	6789907.74	22293028.49	7187402.87	14699453.43	19773952.19	41007225.21	43513147.89	1277058.15	302843.44
