 	1	2	3	4	5	6	7	8	9	10	11	12
A	1589535.62	1633777.17	2354917.22	2236020.04	1882189.52	1724359.47	1390152.35	2669504.92	1582172.53	1857994.77	535412.41	304571.98
B	1608221.34	1225849.52	1504526.69	1571941.17	1511794.69	1211456.96	1858323.60	7329772.89	1323238.04	1697546.32	532140.31	321533.98
C	3897535.83	3842335.21	2635894.96	2203649.93	1863347.38	1726386.52	2085162.97	3406655.13	3248182.62	3290999.64	539501.06	303372.03
D	5069974.21	4894388.46	4871094.22	11029577.02	2377166.09	2062140.82	2329479.30	2920732.08	2622214.13	1740991.15	541602.66	302078.38
E	3484868.53	3932830.85	2767514.60	1978744.43	1846152.44	1295705.85	3497799.14	2795008.94	3377948.24	1975999.42	535367.65	302437.82
F	4161828.55	5170459.56	2670804.73	2249762.27	2255193.90	2284490.54	3871849.91	3025698.49	3096067.41	2006539.58	551045.36	313043.78
G	5248082.59	4662628.86	3952756.40	2798616.84	4972965.72	15217388.55	4559847.10	5057052.44	4451019.46	3827443.53	570591.08	319894.40
H	5758764.30	4954113.35	4674336.08	3717245.66	4790177.53	3721337.71	6912994.24	5487246.83	5962102.86	5044604.37	898498.27	327334.79
I	8922137.68	6508266.91	5429719.60	5269997.88	8022207.60	14807890.54	6133384.78	9730889.23	7828381.79	3362713.68	643773.02	332153.75
J	5940894.89	6170793.18	4814365.66	3129248.12	9418424.48	7715146.10	4889967.95	7686131.16	6894737.61	2712243.45	609852.62	329123.00
K	6344165.74	5487661.71	4645739.93	4120794.47	15463458.14	5730295.91	5136809.85	5531483.22	6403327.50	3248568.31	639266.82	353617.59
L	6767292.61	6392967.16	4170187.56	3301599.54	5489123.63	7120625.70	4917950.75	4804093.98	9465823.73	3130926.76	716614.67	338536.27
M	6610138.79	5936635.61	4700974.48	3821141.46	7349829.98	3808784.53	6252134.87	5520109.03	7677639.27	3443780.47	672767.46	347316.57
N	5762087.27	6563212.32	3787497.41	4165409.44	5622201.40	3788081.14	5500172.12	5389325.44	5299282.52	5658079.69	759718.30	355192.45
O	5936632.72	5610706.12	4788711.80	5698209.14	5498794.34	3183944.74	4761427.85	4965414.52	5219525.71	3744861.52	714195.18	356687.61
P	5206774.35	5555517.72	5041501.64	5661838.25	4426069.71	3288695.02	5300995.75	4566596.54	4980454.10	1712936.43	651510.51	356852.95
Q	5483793.12	5217946.96	11159319.44	6748493.84	3553963.48	3810151.41	5741878.49	5061833.41	5857282.23	1424022.31	650592.01	370101.67
R	4778434.26	5621774.08	8438921.64	4837727.11	4569059.53	3694887.05	6111636.13	5194224.54	5041222.55	1886171.07	659000.28	379746.62
S	7060884.06	10265870.92	9478471.38	14482817.18	11869605.30	10755124.12	9137357.16	13377531.94	8671948.38	1414977.38	675582.38	381200.78
T	6817073.51	7308545.42	5496489.24	6543859.13	8976500.61	7761798.06	9297470.53	8677316.34	5443182.08	1684197.84	704521.96	398434.36
U	7804111.91	7007380.20	7955435.65	6276550.49	5933271.50	7760316.33	7102242.10	6128677.11	6767847.40	1675540.77	733376.94	415909.51
V	6622944.01	6548052.82	5581736.59	7937225.27	5824464.76	5184492.03	11620698.76	5864522.76	5984748.05	1951425.17	761802.89	411385.83
W	5717381.08	6578210.66	4552299.71	4560881.53	14611367.54	30858209.02	7275005.50	9331882.74	7343084.02	1737720.27	772937.59	427937.52
X	9255303.93	8350146.48	14651210.89	23459462.77	11062170.59	5714437.50	5985190.85	5791783.94	6541547.33	1953583.82	806026.83	425007.40
