 	1	2	3	4	5	6	7	8	9
A	10585530.46	1809777.75	1764670.45	1587650.88	1366411.11	1396335.65	1381946.33	1345365.27	1161025.48
B	2309160.45	2114564.87	2000044.66	1853925.13	1585868.73	1621509.04	1541830.94	1607589.54	1467872.04
C	19791986.31	14047035.56	14422953.1	7395230.24	6280995.24	9320169.92	5951842.82	9377559.59	7444766.39
D	14469665.73	16299039.72	15020074.69	10650022.62	5812200.52	7606115.16	8446430.42	10919580.69	4684356.05
E	15403823.87	14108614.32	10988537.03	5993945.58	6399984.63	2333396.12	4678304.12	3360845.45	4471078.65
F	17042398.9	14316022.86	9247707.16	4967695.06	9007480.67	2720760.71	7839041.46	4187346.31	6566776.86
G	20703810.68	21729048.92	16231625.31	10055446.8	18853987.53	4389566.22	13793125.35	9271136.15	14640043.72
H	14278296.52	17351229.9	15674540.41	12919480.21	20725030.97	5109794.55	13170110.42	11841524.88	12211426.1
I	15328685.03	16130753.71	20295920.54	12156445.86	34941878.16	5148672.59	27668496.38	8272006.36	22515056.61
J	28402040.81	25405022.54	14333274.94	8682351.18	30646500.23	5784015.28	28322166.63	9916851.56	16781779.26
K	25329368.53	17425372.71	16080776.75	10444406.48	18165511.47	5027365.71	15290586.5	7997433.17	15302545.13
L	20740556.67	17956658.46	13025714.87	11463265.93	16770191.09	4325656.29	9706305.87	8089443.55	13735304.15
M	16891991.52	13119596.49	11430512.71	7028782.45	16830656.9	3379392.7	11005692.86	5723489.36	10645425.55
N	15654362.32	11934454.4	8247168.05	9118509.55	10495737.04	3590584.97	7213173.51	11840970.59	9566278.47
O	14805185.24	12313240.16	9911412.44	11477857.56	17198977.75	3594660.8	11184626.46	16750535.63	8812087.82
P	21553078.03	17165865.21	9002315.23	12457303.82	10319507.47	3642673.16	10885502.02	28708859.86	7322093.46
Q	14911117.83	13508583.7	8703616.83	9316657.72	4553490.98	3271100.32	8744235.14	11801637.08	7987136.25
R	12554251.1	10220600.44	11750310.07	11028491.77	6972899.19	4818469.47	9228789.82	11910083.49	8852809.01
S	33693610.42	44274502.89	44596939.81	28814412.96	22220436.2	21530192.31	12538291.43	9893704.86	12829916.7
T	52659939.35	59791418.91	60584869.18	44662748.64	35266012.74	39381478.85	23623464.12	12998901.9	16910593.91
U	27413381.35	26731293.63	25872860.8	30948971.07	22764475.66	9677138.15	16504374.96	13337602.03	17235221.99
V	19330892.46	22810504.74	17570442.77	17680647.42	20432152.7	6209489.88	9782018.1	11672370.07	16242789.24
W	21391501.88	21300656.0	32424799.59	14350175.97	39149515.93	20756081.1	10386889.87	10601312.16	28103764.01
X	20856490.56	24578293.58	35036201.64	50824780.74	31402836.64	227599056.48	12061764.58	23571244.31	10471328.91
