 	1	2	3	4	5	6	7	8	9
A	165130347.36	137345829.89	164815823.29	89398617.12	91980603.3	46566460.0	79456002.1	107978579.4	80951414.85
B	162876099.45	122884784.55	133581001.19	66010330.35	47910663.74	45543853.48	103788619.5	96121458.31	79016806.97
C	131122012.22	129663283.15	148832972.33	65924406.63	94871505.73	8112871.87	37189151.85	113565639.5	102935293.62
D	139514390.0	137121159.67	129185156.48	63314852.35	77301878.3	8096554.61	47283001.39	100817032.83	103787497.18
E	117742831.23	114958711.2	106782441.14	65696924.35	92007925.19	9643326.47	80117035.87	99471074.2	96892467.54
F	107485754.46	98202476.07	96759477.1	59497744.87	118319459.89	12608047.34	90922229.82	109012297.0	108650513.92
G	121477084.92	109985742.11	111015591.55	53296525.19	154862116.62	15544879.66	183331432.92	149931544.94	107155810.32
H	146764341.58	120256773.85	80189568.71	34764149.77	109247012.49	13566854.44	107814219.51	112226460.39	109845133.45
I	133336227.57	111324283.03	129349110.58	46845036.03	122173143.23	16420049.73	137096428.35	146574165.02	118581028.52
J	83199405.81	93110669.84	70997778.47	36638247.2	70617558.2	16179465.53	84589054.14	104331746.32	138952183.38
K	98536048.71	88587096.28	84461288.72	35797084.46	105629584.41	14223825.05	114257023.04	118764663.43	132088800.87
L	93878929.76	71981412.26	65481816.41	35639363.24	61013241.16	13679614.89	76617850.04	104730233.47	130240349.62
M	95262579.65	101634615.57	88260102.47	92989444.82	133165567.09	15229315.1	87272989.01	99319440.58	136066948.51
N	84077974.8	91577590.03	67768168.84	104876062.98	107698542.07	17747247.75	94139194.29	98669303.21	117336238.93
O	82097033.66	82902983.57	75001899.86	75886647.89	56747041.81	16710324.96	130635432.47	81299977.28	103930513.8
P	94382234.4	70068194.65	68341776.9	105141470.66	64034835.29	27049678.69	134765628.18	99815132.83	104995883.86
Q	189281944.41	231725836.34	270669898.03	227166909.22	150005886.58	173230478.47	284911687.89	226080792.55	121666361.6
R	214569132.27	290729812.55	259400612.42	268126522.32	182847417.04	184786658.38	234680404.61	263214016.37	102497945.4
S	132583801.69	127042411.78	121387051.72	141303734.6	92024673.22	34354548.71	111418973.82	116674948.95	122714307.54
T	123105576.32	127012716.24	119476591.29	133039867.79	126740123.05	25910631.69	121372316.67	131322823.75	119354272.43
U	153510999.3	154551103.05	209081540.47	91800429.13	142743979.39	57686348.69	109476793.9	159039775.34	144917114.99
V	145305934.65	118679041.22	139983933.89	262564872.14	143862021.7	1233339358.82	53640470.14	155133641.95	130739348.94
