 	1	2	3	4	5	6	7	8	9	10	11
A	13356731.75	17426057.98	7156855.24	4650308.44	18886208.12	3406468.31	20968523.71	16796393.16	16073894.80	7516569.82	1305288.36
B	17262692.48	23146337.29	12755275.26	9979794.48	28959471.66	4592558.49	19345196.19	7731142.90	12161461.22	7106552.59	1371315.14
C	16051351.86	16396005.04	15086275.17	10312141.71	19480590.06	5751722.23	7890549.72	14309625.24	22160421.20	12243730.70	1696458.84
D	16051553.71	13906363.49	13797889.33	6891787.65	5628119.58	5528900.53	8253802.29	9428539.13	17168197.59	3806655.60	1529878.86
E	12089496.71	14799839.71	11748348.04	6544365.42	7341829.84	2356846.62	7824038.80	7428262.39	15853687.98	9567921.89	1662344.67
F	14461627.29	14156081.54	10460622.78	6749166.97	6360300.22	2340972.36	8547399.44	6534450.66	15664376.71	19744224.25	1903968.79
G	13493478.77	14674588.72	11406502.97	10223403.63	13413007.75	3456352.98	15522419.75	12006174.21	16719235.24	24393077.25	2093715.81
H	14526702.97	12547440.14	10582724.13	10588494.55	16451736.27	3696308.96	12944426.81	11801522.14	15277613.57	14021615.38	1882581.68
I	16994280.97	16687972.45	29112599.05	22661714.61	39185094.57	4273833.08	27767233.93	66141558.59	16527913.20	17004269.57	1822152.63
J	13930896.66	13679507.85	10461158.45	9453707.42	16845084.60	4103522.06	21036336.58	16281738.23	13810835.71	5488621.82	1695560.32
K	16692231.87	17033941.83	14913150.97	11637941.74	14670250.75	3969079.52	18870220.40	29861972.70	24682683.40	32560452.75	2295874.17
L	19522228.15	22203427.62	15410106.22	17270707.86	18503210.75	4297129.41	14591747.06	14677176.81	27067654.86	11216188.14	1917872.02
M	20889587.82	19516308.78	18307829.43	13717547.92	19607124.71	4164290.36	18759203.00	15566678.53	20736931.33	15727670.98	2133888.31
N	19918340.67	17540440.25	12932172.20	9572200.03	14143155.44	5181045.72	15394388.86	9218502.81	15303947.28	34029292.25	2905846.02
O	15202714.29	17131700.82	13611527.28	18349897.63	27671391.67	5436382.63	18143189.44	8711628.68	14284325.04	23116516.83	2226283.35
P	15448004.06	15549020.45	12528817.94	12377362.07	13970598.86	5475580.39	13349258.88	9074438.68	13149141.66	14466112.59	1878101.88
Q	14281084.37	14642309.61	16135447.34	13951501.40	6093937.11	4692621.11	14250794.60	15471198.25	14226994.75	12760754.62	1627085.24
R	14801537.43	12880680.36	12656555.81	12989838.73	7825536.91	4854175.91	13232435.06	11819551.89	12535044.33	3647825.40	1348511.82
S	45292503.37	38082241.26	20170509.87	18551168.56	15937724.39	13291618.36	20826508.01	13554823.76	15092025.35	3838217.74	1433256.37
T	72287452.19	52334226.24	27489165.65	25819302.31	24471773.44	20567059.50	26988857.94	19371048.50	13380881.92	15780771.34	1723016.32
U	21115258.00	20611058.09	20021542.35	28910900.26	21349951.30	6191887.76	16520959.09	12536001.79	19949715.50	14319024.73	1942332.24
V	18606760.17	18185008.88	17283419.12	17088512.40	18198178.29	4913073.48	14003472.87	13307861.26	14565867.15	29218598.54	2677710.81
W	17857113.58	20854439.26	42864635.57	24339453.15	26460341.58	10879091.05	20019822.89	14224357.99	24610337.37	17746931.40	1806733.28
X	21058088.69	17345504.71	22056948.02	26336584.84	18034343.87	184451376.29	11683477.08	21055001.50	17038851.92	19111373.50	1910448.35
