 	1	2	3	4	5	6	7	8	9	10	11	12
A	20973428.39	3511415.26	10273548.79	2600587.27	9319526.43	2938198.48	35523196.68	8762325.12	2531219.16	5596030.25	2830700.5	5452117.92
B	19303911.52	6155791.05	5638992.92	4500463.92	36387961.67	5126099.42	28404902.44	14483361.71	3216741.16	5616307.5	3576259.92	5290354.43
C	15736539.92	14537477.19	9708759.02	10280623.4	13995581.22	21680759.85	179585593.07	30280397.08	19055617.02	21360239.68	33747620.2	11285655.17
D	13814608.02	17314180.12	12188911.99	10937745.84	12360622.31	21839283.67	23862888.28	29391139.63	27549603.74	28974416.98	29362059.62	15459934.98
E	10912164.15	19843223.86	13937204.51	43604094.44	11846500.53	11556907.45	7754779.1	19891854.04	23236681.72	24100152.03	44605002.69	8952554.1
F	11937228.8	15215881.61	12135425.19	20279203.46	18197445.79	10409793.76	9518630.6	19095866.48	23711681.65	27464964.48	32290434.75	13624951.71
G	17724218.74	20801580.43	18955860.97	30834132.02	31515768.69	21508415.13	12509310.32	25842277.15	25802212.0	32084736.36	31983703.72	33607067.63
H	21901550.01	27732978.41	25694686.81	50169597.67	23476773.14	25556414.87	13544879.69	26875180.27	27960622.41	31084443.82	15084511.71	12388071.6
I	39198375.16	35134928.57	178077036.97	46136809.08	55976462.63	25228258.46	14152895.38	38937103.13	29135181.97	47354877.98	32010551.72	6502812.77
J	37233676.15	47908970.27	113792081.83	53192353.56	61804660.39	32844618.74	16324022.99	38371040.64	35541442.57	45127162.52	71286474.52	12409501.6
K	24758342.16	26549504.28	27108686.88	26157382.0	32546389.82	22771773.94	41731250.39	33901942.81	27379809.2	32395850.46	27753047.34	26306074.66
L	31940661.76	24268654.42	17920387.73	20299915.47	16887057.41	34115935.87	36121184.46	36130803.94	30197195.45	25650142.53	31428965.11	44505372.94
M	30661334.45	24996166.86	14595844.14	19454299.57	29570384.17	36290843.92	74328937.7	33127537.53	23457841.34	23742414.13	41207584.06	43055214.34
N	42301353.48	26232323.49	13255886.97	18461217.21	23194270.35	104224883.17	43867357.16	33140921.63	33728783.3	24387777.09	33100272.17	42663047.96
O	31354006.0	25128825.61	15800489.14	25443441.14	21875477.44	39172666.25	27372133.8	28888330.64	31094903.14	25003308.47	43005117.98	31207371.98
P	40004363.82	26279602.51	14236574.09	19235235.01	24032760.93	24632180.08	32286699.89	30834951.7	32040372.48	26800215.36	34582100.98	24755275.52
Q	30111125.81	23483598.01	10762938.51	12220794.0	14205662.24	25632081.38	34541647.96	23128965.47	25437621.97	19175037.32	33233329.82	28235525.82
R	25204663.33	24968037.46	10286697.4	12923866.58	15076464.06	19597563.67	28138363.42	26221840.32	21020971.31	21624318.17	14078677.48	17213744.59
S	28891267.58	31024018.02	26918775.68	35855424.85	26652734.03	33111358.41	35680228.85	25257102.89	23630002.51	34318645.11	31637394.14	25028006.21
T	24870510.1	30406526.02	32354139.36	39937700.87	26752800.63	32451209.3	33400214.24	29002967.83	21977158.9	35228768.31	54904629.8	30695878.27
U	25114165.73	24462244.17	22540449.23	28464309.18	16762360.28	24113003.93	24339787.07	25844904.85	23526515.38	22690936.43	31459064.52	27403078.56
V	22279249.21	27209164.24	26049864.11	35338122.12	19877420.77	16009188.95	17908339.8	22461741.47	23290585.85	26359703.83	78092921.68	21734709.5
W	20754696.56	29544119.19	19203423.44	30248648.21	35585065.8	14865793.94	10529879.21	25173767.99	25577341.76	25052842.65	44078044.36	30774464.97
X	25838727.05	25940735.97	22879802.6	11845011.86	26691356.57	10369231.71	13319890.7	20650981.94	32929808.49	40660948.92	30148183.12	25231518.38
