 	1	2	3	4	5	6	7	8	9	10
A	6178139.51	7511654.72	7029485.57	3842933.05	6259069.99	16018048.39	11183857.75	9446830.89	3429531.94	2783352.68
B	6668492.42	6939402.94	5272150.56	5735150.74	13793538.13	7493957.76	8864580.92	11717934.76	4536224.03	7467969.72
C	6463217.1	5886055.24	6009813.1	5293840.77	6963675.91	4528684.55	4670802.42	10861155.08	14249936.86	18083161.84
D	4073942.67	7364573.12	4658900.54	4389014.06	3960978.93	3456957.0	3976244.58	16543604.85	286926940.24	23067441.44
E	4007654.35	5683295.6	5548968.78	3574908.35	4981224.4	2992593.11	3876547.76	9399683.43	13833277.88	8542933.75
F	5207968.71	5609208.64	5960576.24	4502535.67	5271776.92	3217150.98	5341671.91	5967581.7	5694443.92	5971807.03
G	3720776.2	4567011.98	5304267.59	4912895.94	5856491.13	4130607.57	5907812.74	4529794.47	4213864.56	5828985.14
H	3389812.79	3616586.05	4789618.02	3953263.25	6179925.16	3386083.82	5780334.24	5409243.96	4710098.2	4508579.43
I	3868381.19	3848678.82	5296875.5	4964289.69	5993436.7	4536111.11	4397646.54	4574973.83	3746446.24	5347846.33
J	4425353.96	4295034.62	3615447.55	4038518.45	5946884.62	4674186.0	5712532.77	4209759.88	5232008.13	5001388.73
K	3755958.92	3704782.07	2930084.3	2923730.3	4243169.54	3043444.27	4446696.14	4219418.09	3527833.3	5128484.83
L	4215651.86	3349376.85	2597466.45	2872511.82	3310491.24	3129199.37	4943748.48	4835358.25	3499656.03	5265380.84
M	3369167.12	3123789.52	2693197.65	2577274.69	3524214.75	2862726.51	4197030.56	3938802.98	4150099.0	5039999.59
N	3448171.76	2775901.4	2303000.33	2707182.76	2736865.35	2655940.1	3991850.18	4011697.72	3435405.1	5492806.99
O	2821405.8	3023279.53	2652232.14	2610668.27	3162864.09	2395993.52	3785878.15	3662216.76	3948114.41	5787385.37
P	3099959.25	2895345.53	2354374.13	2516549.74	2790707.71	2178690.31	3309062.75	3622459.88	3939079.9	5055389.68
Q	2775404.61	2677107.53	2225298.6	2834875.5	2315844.11	2225867.75	2662255.7	3063160.05	3601298.26	4935023.7
R	3679128.32	2918038.54	2656382.4	3066300.74	2819785.97	2504047.68	3014520.67	3239184.95	3176842.77	5682233.38
S	5372974.34	5718242.75	6717068.63	6289849.55	4138910.83	4083598.01	5017302.52	4056065.11	3897081.61	8588900.03
T	5266356.75	5711724.25	7273460.17	7079157.44	5763247.65	4018457.42	5331525.26	4654930.36	5293512.08	12571496.37
U	7929325.82	7611735.13	6924217.51	8474474.68	6222017.08	5111542.53	6503853.08	5259214.52	6300395.27	7922611.0
V	4366398.94	5165918.98	4994739.73	5595418.5	5048395.36	3461854.51	3854325.08	3344443.56	3892062.71	6827260.67
W	3801473.42	5791280.04	11437650.22	5455397.09	6716114.63	4711468.11	4101218.11	4592449.54	3771764.43	6325315.77
X	4987510.02	5753916.3	7247165.62	7955848.82	6881776.22	14985578.87	3537761.63	4052820.05	3328215.51	5566122.96
