 	1	2	3	4	5	6	7	8	9	10	11	12
A	38681639.52	4928201.30	31865133.13	3579254.10	1982849.59	2756166.15	1085176.95	4150682.66	1162428.12	1973572.34	1734172.55	2415575.40
B	3012787.59	2666811.69	3631680.62	2465566.35	1210245.39	1191462.83	1184145.09	1235932.88	1041346.44	2345647.01	1532441.39	1262065.35
C	13751381.17	9342077.34	10106341.10	7446955.94	8699455.08	11302909.36	8413678.48	7280563.90	4151741.92	10118173.46	5129037.92	2469046.67
D	14499517.15	15626371.24	14095398.57	4863578.46	11809458.56	11584132.93	5323096.03	4905018.94	4167666.75	8504794.06	26472939.70	3110598.40
E	4270277.51	11745586.01	6529701.58	5713643.91	12579046.91	18551905.74	10403269.98	15967422.40	4100765.97	10773181.17	24613310.18	2866583.42
F	4453298.56	7386197.67	4085794.47	3535217.06	9218391.27	17237555.89	5859631.23	36635865.00	5967269.50	14348860.25	8772002.99	3326939.76
G	9288367.96	15820962.35	14018565.06	15158678.33	18296118.96	29320572.51	10520908.65	44100616.60	10110785.37	26558442.04	24092827.31	2969939.29
H	18266052.41	19682047.37	18720585.37	21392494.37	28175300.13	33019662.26	15525112.62	23225873.26	9364687.78	20801655.50	5052471.14	3018485.60
I	35325535.88	46307888.50	59690166.29	36695965.53	50189331.13	38787700.58	9157078.16	28373574.81	7834383.35	33316991.11	38038160.81	3620989.71
J	16657342.39	55688832.25	49944085.37	54335511.41	43776549.86	30694234.51	7392000.26	24710974.30	8405719.93	22518081.70	37425679.56	4838034.86
K	11102789.91	27628364.22	16505738.77	15121028.07	17118784.73	25980704.44	62381420.80	42929204.19	10787568.07	32684241.33	11772019.63	3448256.13
L	8584149.87	13383277.25	11113415.32	9032426.18	13829112.22	18004153.54	19850789.34	28956560.58	10483307.57	18430503.41	31076417.97	5222445.35
M	16497045.01	14316412.67	10800908.02	13014390.03	16248414.03	20537015.74	27897472.82	22312868.53	9021933.82	20131369.32	39072323.61	16564470.40
N	8519301.43	11103284.29	8757192.44	10220690.10	11219241.52	17076286.12	21213311.91	23444172.38	23190972.64	21874135.01	13482162.28	18339763.04
O	12863076.00	20219785.64	15176053.04	10956622.71	18240791.04	24641128.75	30932046.47	18762155.07	26048687.22	22523857.91	25776786.04	17023591.42
P	31331417.83	15062661.05	11871864.88	7259380.22	13722656.20	19596688.95	25251077.89	14677994.21	52283915.28	23326951.58	11956708.77	7729130.20
Q	26485530.15	14049234.79	14098827.85	15531353.53	12090043.20	16195537.57	27742943.81	11515629.99	38049618.68	18519248.59	26495833.61	16982452.67
R	31656206.66	19579857.30	15050595.48	27024737.82	16779632.42	19739353.06	17589443.56	13422369.57	22019524.33	21327629.89	9606994.41	11665060.08
S	19765842.52	22982942.14	18961163.04	39990280.53	18743845.63	20062304.62	27476237.67	14598071.48	6444750.81	23232485.45	38571241.00	33473930.01
T	16971556.61	22462060.22	24390406.11	48952943.97	39837379.03	28032378.47	21583302.08	23759111.52	7765071.52	24066529.98	48475107.70	28146734.69
U	23878231.76	20198318.82	19657154.67	32806092.37	15804102.44	24487920.01	17652709.39	35886275.39	13077202.43	24275619.28	64537409.57	19714147.26
V	39040802.29	26224631.47	29564908.42	32221162.18	22606291.32	18330097.83	9707831.52	21365468.29	7483842.25	27667710.49	64260111.12	26647289.07
W	9911077.12	25447722.71	18788894.51	11317080.12	12609681.14	9018197.37	4719546.38	11681331.29	9046746.30	28328366.35	60831868.38	24006037.77
X	26621215.91	11370980.11	26272972.12	7769955.62	38248561.10	3275367.35	5481614.42	4650644.38	9149786.07	32102983.10	21420512.12	13529253.38
