 	1	2	3	4	5	6	7	8	9	10	11	12
A	117391924.60	90342884.79	113040202.64	9826821.23	3813037.06	7284059.50	33121241.89	216492847.23	11924511.12	5584677.64	3606584.78	6470195.79
B	16562928.43	18120691.12	10705620.58	12323558.68	4414018.14	6719936.99	37155916.89	31644966.93	6917808.93	7467507.45	5109263.51	7113853.23
C	26983197.39	15815236.37	12296286.88	11426137.25	30507253.59	33365491.25	104593982.94	51727854.87	35542348.87	57700533.71	45636041.33	9252203.47
D	13676394.63	17851518.43	13258247.24	12259966.00	12894187.70	38233174.42	33178910.09	31230112.76	44985447.60	66053363.99	63411691.79	14765334.57
E	9185197.08	28795663.11	13207847.05	19785151.47	26644766.48	32046074.64	46331184.39	47495806.66	36485258.89	67925641.27	82051498.73	11348816.73
F	9813546.34	16083175.97	9251361.89	14647302.32	40211194.81	26025956.47	40217704.23	55807778.99	37316199.19	67005567.02	49996610.15	14592900.96
G	21690133.25	33887330.99	24848998.67	37910733.28	76380403.28	50823540.98	49275057.01	59288147.84	37943391.23	83008235.62	71042285.56	12632517.79
H	33041266.90	38956270.05	37815088.92	81555929.76	52835129.96	66572505.65	43398751.70	44237673.75	36278886.67	67589918.11	48408112.65	12330433.59
I	67435004.75	86401911.51	525256551.71	137982134.55	61836900.02	64053509.09	26572145.92	32413900.30	23084314.28	68527699.89	86898638.07	16961210.38
J	36473918.99	94628687.68	162288199.26	76667662.95	78503705.07	49905358.77	22451600.51	29605495.75	25300412.84	59007329.93	134767685.22	52382099.46
K	28728626.83	35052431.09	57894417.61	37781928.85	55821405.67	40790545.32	55728491.96	55372852.82	35045171.58	84449269.97	100996743.77	122539218.34
L	35671437.61	25936999.83	23692016.30	44276235.76	20051258.54	38390055.70	49340240.84	55204249.49	36432955.54	67470136.36	69341513.38	143626570.78
M	35060395.43	28982985.33	15783977.13	25788079.22	34417548.24	39050080.56	51194215.26	44150938.74	31192946.25	69862868.43	118516918.82	187637909.80
N	50288287.46	26585097.27	37930483.95	17528647.76	24645877.08	69080480.20	43310571.11	48405538.88	51992274.06	71950151.04	67801229.26	228374366.55
O	49409824.03	36552142.07	14307672.17	42678684.25	33985425.19	40115090.27	32139260.58	35266315.67	56568916.16	65604381.75	61653288.04	64878327.98
P	85166205.14	32527525.95	9847986.36	20654266.78	31335328.16	29393488.95	40218516.14	36832400.37	52234234.43	61566247.68	35619979.40	36736958.06
Q	47663585.97	29934611.29	7899144.52	14539947.93	19601295.77	26268558.01	33460700.64	29803729.99	50702577.02	44159212.31	45923665.01	56055411.98
R	27455252.49	32425879.81	9221740.14	17600404.60	21587985.17	29521879.66	27937674.73	25889685.97	27947553.08	44668250.68	38808932.72	58293842.16
S	29240443.63	33904143.96	35580023.02	55842691.40	39828658.55	53286570.60	47046781.52	35823961.15	32857804.02	66688710.29	74098231.57	74179157.85
T	24469939.63	32161057.55	38898517.81	61598663.59	50687233.56	58884191.54	67918718.75	46191468.69	31732558.35	72933751.18	95187868.29	82025681.13
U	28532708.52	35289671.18	33453452.32	35523703.35	29724269.41	50213989.65	39320390.32	53864878.23	38765563.96	49627104.85	102639551.76	69495305.85
V	19445216.38	28716912.86	31221770.01	35909132.01	32636540.92	30465383.93	31569320.11	30102086.16	25490263.38	50923457.79	185879758.40	35006278.92
W	20596741.17	25642546.64	17232738.76	30329480.93	32712586.70	30091872.51	23732982.08	39468812.91	30767767.95	54164972.65	102346130.63	59336801.77
X	43405153.37	23133503.16	23360535.88	12222778.94	58200659.59	9365908.41	28604141.76	32453378.22	41911585.07	86049346.85	48103744.79	35370627.00
