 	1	2	3	4	5	6	7	8	9	10	11	12
A	70044168.51	6269424.66	37913296.01	14204486.27	261956433.83	14788298.20	92822552.67	13948783.10	2545879.16	4000805.14	3317417.75	5893677.32
B	20141391.96	8653188.20	23830415.25	14023032.65	95470913.27	18231048.17	92887714.09	31581766.15	3920366.56	6719024.29	3043843.34	6954269.66
C	14310267.32	17879245.16	11555490.71	8418708.02	24923575.73	23062211.51	23045199.00	24983811.03	27131456.33	37455383.98	8646924.77	3857289.85
D	16829855.02	19071577.03	14084415.01	9705525.17	11534271.06	19754046.45	17638097.36	25881074.78	45795723.40	50299887.99	39248010.73	6603264.17
E	15977369.78	18233596.09	6977582.90	4490608.97	10581425.56	12203866.57	17458602.58	25307892.29	28152577.74	43340562.09	70041836.34	6327506.08
F	18078619.83	18128455.88	6705427.46	5039529.09	17415406.51	12925162.92	42358589.08	30559242.23	36548671.16	49044629.88	38672564.65	6947796.63
G	18028740.94	18912410.26	12837402.06	7710714.87	42414416.73	21165497.77	24582812.23	29181139.45	25895671.37	40852134.85	60304380.23	7027219.28
H	13091450.02	24417684.04	14869146.13	10872860.78	35226397.51	22068547.68	20682770.44	26123197.69	21420117.40	38318560.33	27486299.03	5731205.71
I	34407033.73	53320825.07	291839684.54	177238681.98	59265895.14	23514508.88	14753200.68	21550740.52	18566199.85	42223171.10	52195440.53	9643693.03
J	34704578.13	52467161.96	110317558.52	107028207.97	69714305.48	23228929.77	11946303.30	26336236.56	19510561.80	43033187.53	126093829.61	46832334.68
K	20397583.86	22468715.63	38017278.08	14901391.28	29432477.62	13792562.14	19367338.89	25110761.93	18121302.15	35860325.64	31131509.68	18262162.31
L	11848802.37	14195187.54	8252547.64	6633209.34	11404145.65	15347864.76	10455486.30	14405334.86	11125575.33	28074495.87	57152408.46	47995740.37
M	11507720.09	12693179.53	6817770.20	5265171.14	17740268.38	11489384.24	9172473.01	12808775.95	10631199.83	31417285.65	76143084.57	41754825.35
N	9660654.25	10652829.66	4281582.80	4765780.80	10620993.02	12735991.77	8464129.70	13341534.32	10460672.25	22966914.80	72612081.20	49166728.71
O	10561591.48	11897319.40	4480920.77	3966096.77	13318050.43	13260680.98	8433283.47	8848920.61	11238828.05	27415824.73	48203665.10	22432540.46
P	8225510.45	9335135.40	3756376.19	4162401.07	9969772.74	12880800.45	7864731.80	12002349.05	9995471.51	19527068.74	22666661.72	18829754.82
Q	8571098.13	7395655.51	3707806.90	3222842.07	4593270.20	13072775.67	6878570.60	6593026.19	9129301.38	11968668.03	38931703.77	24087375.76
R	7359081.36	8525366.31	3741908.23	3218164.91	5430223.35	12021802.07	8344649.14	7905519.50	10884701.78	13875407.79	23564329.47	14274561.68
S	9052105.21	12290189.05	9853249.29	6416115.98	15001008.20	15595407.30	10515604.16	10601116.60	18828514.41	25558928.99	41002810.63	30401513.54
T	14604564.65	19470535.58	29837379.68	27335074.57	32346502.58	30600539.45	28707301.30	22414801.50	25831522.68	64683099.23	85174015.69	29910321.02
U	15399778.79	13879230.14	12428214.40	6924418.33	12524629.15	17354033.85	20026576.60	15743387.50	16350891.86	24136508.37	102705106.44	18313781.25
V	17447515.10	21320830.29	10003028.88	6508047.49	16241022.05	10645721.04	21702272.59	13163252.70	13719567.37	30615787.60	134090615.03	19231184.61
W	22703563.13	22702711.03	15986337.34	8587545.58	32293897.68	15898571.13	21339549.97	28528284.17	18917187.18	31980704.30	63728841.98	24487703.40
X	13160766.56	25217321.80	26698549.94	8880797.38	38674014.25	8754312.68	30897920.15	23737014.98	22726573.95	62104569.57	75806972.29	25009586.56
