 	1	2	3	4	5	6	7	8	9	10
A	1107934.89	661240.09	1053256.25	705477.12	697997.39	1423635.28	947201.13	474389.0	437973.08	647546.55
B	462309.53	465940.59	450860.11	451836.07	453029.49	509086.07	484671.59	472825.72	581875.11	1026558.06
C	641261.89	689973.75	562937.44	511464.38	548405.68	564279.77	680956.51	717410.92	760199.22	972687.87
D	758024.0	830634.07	561573.23	563084.29	587273.49	627004.79	602005.18	768873.98	788905.94	867739.13
E	586059.2	690345.05	525252.77	519624.27	601146.42	569806.71	624801.54	639171.3	720033.28	793484.6
F	600296.77	661778.84	506678.17	534875.74	806282.78	591725.04	611110.06	715375.96	851651.52	905800.59
G	863913.94	910742.49	738804.84	550416.69	763043.55	639589.69	1031274.26	1009564.26	1222850.25	1177683.88
H	922524.28	1093171.32	809743.89	663325.65	1141586.18	760083.96	1007044.98	1044044.09	1103779.65	1133107.82
I	1786681.02	2005599.31	9414724.75	1001934.79	1538645.74	1149446.69	2761146.43	1927074.4	1838703.09	1648904.53
J	1336228.64	1546344.88	1016240.05	934728.8	1544093.31	929405.88	1978356.39	1595388.1	1513926.47	1551401.67
K	1262543.52	981443.33	750696.91	670584.01	947984.9	732921.2	1473129.58	1104187.71	1440440.4	1169739.95
L	1155532.05	896227.4	633333.83	661639.56	1080298.59	681049.52	923900.65	960884.58	1415491.5	1307276.59
M	1073037.91	893406.88	613967.28	617801.52	821880.89	608072.95	1161920.75	1341654.05	1198380.87	1281469.84
N	1155936.52	916365.29	602783.63	637033.36	809502.44	635356.46	1007134.67	1158094.6	1243880.34	1250192.69
O	1049927.84	1055221.39	654036.18	687849.75	1112936.14	648454.33	927904.94	988007.69	1141250.55	1118349.1
P	1051260.42	992594.68	634875.07	781734.81	1071768.66	609383.62	949190.03	1009919.75	1123904.21	1235565.46
Q	1033838.55	952476.74	687445.83	652337.05	840735.12	631001.76	951913.46	1030891.01	1111834.88	1103745.56
R	949692.57	1033872.57	661541.27	684975.59	915576.31	673591.5	844610.83	1134003.98	969462.75	1136274.14
S	1001343.17	1035864.75	674172.18	738062.14	1270769.68	879295.15	934986.59	955892.13	1584475.25	2005871.92
T	1054884.11	1141360.56	745045.68	1047150.89	1388101.14	1544416.0	997568.05	1213191.5	4047497.81	5332665.05
U	1561416.95	1395207.06	1208305.72	971790.18	1270181.48	1230964.76	1421487.64	1741355.88	1614659.12	1917120.02
V	1211349.02	1092562.15	936958.7	791193.09	1189479.91	4351572.12	889749.75	1139128.34	1127220.45	1313403.94
W	1334461.73	1098494.97	799723.8	1014718.25	1257813.47	1627302.06	1044521.22	1159283.52	1298057.25	1298949.49
X	981164.61	1166423.09	932222.34	4871592.28	1152706.24	2521714.57	777532.77	1210132.05	1323793.81	1464951.73
