` 	1	2	3	4	5	6	7	8	9	10
A	6831708.71	4023515.13	6075538.97	743035.99	134090.34	137347.58	146510.21	146261.31	217613.4	572467.08
B	1112962.57	1587757.79	706925.84	1352605.14	202844.7	172888.67	189782.06	191013.03	339827.51	1786122.46
C	2341170.62	2383085.0	1967868.79	1379571.02	1403874.19	2001653.76	1471659.11	2239137.33	1917860.79	2301841.65
D	3438077.75	4012791.7	3116268.74	2622678.12	2252581.72	2200477.08	3703800.47	3876912.72	3915064.42	2798443.37
E	1277061.96	1539510.21	1007653.72	868370.71	864597.23	501037.91	1190559.71	1145908.57	1498637.97	2132016.69
F	1553301.85	1514510.14	1102777.84	1108454.4	1414624.9	540340.19	1370717.48	1343619.02	2251238.6	2680111.87
G	3228070.58	3586689.66	2735635.34	2681569.78	2943330.7	1073163.7	3460961.05	3751433.57	3866254.12	5580275.92
H	3970196.93	4149348.44	3194852.61	3409681.56	3215176.44	1279967.11	3873012.46	3848951.32	5502409.25	4335255.12
I	9810077.2	9796758.19	14290557.75	9421921.87	9918313.8	1758129.13	14361191.72	19916782.03	11602507.99	12964485.65
J	9756035.9	9501761.74	6050115.81	5852094.49	7769585.76	1723297.52	12206352.18	7306410.55	9351165.16	10591478.63
K	4709957.53	4817994.65	4072647.68	2923288.0	3424979.44	1023147.35	4881113.4	5434450.08	6107358.24	6237497.67
L	5500957.55	6244619.58	3644201.58	3103604.22	4168733.73	1046570.41	2168589.43	2732861.13	4307413.02	4524946.49
M	4880163.48	3914660.61	3142184.77	2588084.12	2883364.66	908113.52	3376158.89	3020693.25	4178659.21	5885102.16
N	4448116.43	3338445.11	2319729.17	2373000.82	2503348.35	1315704.98	2218330.96	3175123.43	2865739.11	4246148.82
O	3295858.26	3546590.78	2835032.61	3769817.88	3771772.15	1388440.95	2289952.82	2720732.88	2842238.84	4238344.55
P	3399466.8	2807306.99	2852124.35	4078066.3	2947349.01	1285587.08	2737405.98	2905652.21	2945607.18	3456158.55
Q	3105020.74	2781884.29	2637765.68	2576369.38	1063111.89	1225224.48	2393939.85	2949828.94	2916365.95	3216299.11
R	2634143.94	2678294.57	2282653.37	2600667.38	1527975.33	1064013.33	2063872.5	3152882.27	3075174.8	3563170.19
S	4546133.84	5202687.24	4010727.75	5026037.51	3399828.25	3165215.98	4066226.11	4381775.82	3611626.68	5854875.14
T	5338033.82	7027595.25	4895996.77	6382268.61	4456833.21	4945912.29	6191035.4	5968638.75	4364519.23	6336139.34
U	5493832.92	5788501.27	5881265.25	6506780.71	4810694.86	1894609.15	4726634.63	4565006.1	4102762.62	5577472.15
V	3678908.39	3631328.12	3060855.0	3188948.81	3484359.54	1008933.65	2567996.99	2976716.93	2988017.65	4530742.61
W	4586927.9	4074173.13	3686370.01	2545226.99	5824441.26	5647252.92	3813704.49	3501270.58	4868106.86	6802462.91
X	4224140.37	4602610.07	3216735.19	7423537.73	5926279.31	51095194.17	3133946.38	4977902.91	4537638.45	6914684.58
