 	1	2	3	4	5	6	7	8	9	10	11	12	13	14
A	70497575.02	55769662.13	55027237.29	43898518.75	23859285.56	23676810.66	37584142.4	20567169.57	48771811.11	26108645.68	26669077.78	6982512.78	49841846.51	4894181.55
B	72500726.39	74495917.49	78567492.29	79627221.97	73156500.61	65490547.72	69033375.6	35441996.44	61562079.2	31362867.91	29987497.55	7997086.79	17735835.3	7084709.28
C	89207855.46	125660590.51	146367692.77	109484149.61	182580822.99	374621777.73	202085507.93	56182652.13	53330441.87	35955117.49	42011647.09	20172741.96	17643154.28	5328398.47
D	81037523.5	82705117.67	112894342.5	114687188.6	117501399.94	71767508.51	83449464.43	29184838.85	43282653.01	22548299.75	22299464.26	19305259.13	9005198.37	6325580.39
E	70070126.26	92649075.95	124811990.06	106644044.84	112520367.6	51309919.99	73028533.38	29043664.2	45312897.95	25209415.71	28113767.62	15321926.44	19950873.63	6298270.37
F	74252619.42	78312684.22	98329916.86	85094838.51	110936904.92	33016881.42	64029107.28	33629034.36	44394860.33	22838835.08	30318080.56	9468814.2	12019046.32	7187395.81
G	81298669.44	66344778.37	73310003.38	72920476.04	63202182.36	34772394.94	63329744.9	38311543.49	48316838.92	29239001.89	33393994.39	19173536.77	21339357.26	9550298.28
H	74369746.29	77274262.56	58163273.02	72019049.35	50045723.53	54403534.65	62498695.15	48379721.01	54984036.5	29799946.98	35443139.1	20019866.46	18987334.86	11248565.27
I	73183709.16	62742909.17	54755549.01	55775328.9	29863797.83	32706797.88	51471042.35	39433526.82	67741537.94	56211392.79	73053794.63	18716401.54	23167368.23	13411376.41
J	70709682.57	54967043.74	43754208.31	45540862.38	28068419.12	27211887.39	47987098.15	27946382.02	56841487.67	38175727.72	42586376.9	24657400.98	21265015.93	15924095.02
K	74461780.81	57437524.42	56805010.55	63297329.51	49882364.63	69385485.99	54333727.94	51100759.73	58302333.13	70507927.06	80492182.4	21055144.25	24565165.14	18598629.42
L	70635838.23	72210601.57	71524667.6	61521791.13	44124869.28	93483498.72	130140959.66	126022494.95	121061914.95	49957180.68	58413243.31	25686152.92	11950125.95	35962905.31
M	159622977.2	167712874.44	186905437.08	182228043.45	208714794.83	120998219.66	155177930.98	124065534.65	54876508.05	58426588.32	103643666.83	25935248.44	96439729.66	60894999.44
N	75758116.32	66933138.31	84318986.86	66944676.27	65955689.64	102003199.81	96954670.8	129116538.76	62742381.82	41998797.52	69079951.74	21968980.22	18671644.94	27661195.18
O	71743122.28	63202060.46	62270838.9	56565196.96	58134627.31	68742049.27	56787090.66	74107315.53	70348492.78	54700848.34	80804650.36	22440397.53	80548852.38	35313502.74
P	75801389.75	65509798.61	63959613.0	65789271.83	75318977.23	90000912.14	57686776.9	89052603.89	45875741.67	49721293.45	87306778.07	18333380.37	7077998.74	9094125.94
Q	64789691.69	64924253.63	48256457.5	63011982.27	95790198.73	88392451.59	60512043.25	109742954.95	43825893.24	38519906.8	68837925.18	13421415.33	7591748.85	8770611.78
R	65217815.0	53612129.77	56557998.47	69977790.6	76513158.56	117811686.69	60255416.76	74347977.56	46247378.84	47375582.56	58064125.44	17155793.54	52743010.72	15766416.42
S	62953261.25	50143077.69	62958238.48	65300750.29	47830311.14	55580974.72	53717851.67	40061509.65	48405579.87	41405708.88	43756168.8	15159661.69	21823822.47	34175191.57
T	63206656.92	56064708.52	65664558.84	62271987.67	40873416.16	44622189.07	57059203.77	35846186.4	46329449.6	37237224.56	39558969.53	30056968.12	43644864.62	26161833.18
U	36236852.66	52198495.65	46320133.44	51211293.95	30893698.23	50947524.41	39412898.95	33247404.19	45373946.8	86936751.68	86391492.96	36034517.84	47914440.19	40437536.53
V	64113818.1	64012038.2	50723832.43	64439247.41	42420525.65	43279151.65	42035035.92	35560862.65	49833663.44	66056623.97	50193741.89	46252552.16	57288048.98	44933917.87
W	80113881.72	78813012.83	66738002.57	77548917.9	33425673.54	31029831.48	31015741.61	36592150.36	54066094.5	46542357.78	38600250.41	30122215.94	30583190.82	48593712.29
X	70369992.46	60912928.04	52806425.23	62341643.84	36359019.81	23299848.66	43885915.43	42442602.3	67455358.94	44007587.09	35170545.2	29693372.86	21658866.75	34372641.95
