 	1	2	3	4	5	6	7	8	9	10	11	12	13
A	2304493.07	2400378.79	1816643.96	1732248.59	1911281.53	1467203.89	2104457.28	3664876.41	2083941.41	2504552.87	4361750.62	1124866.79	842557.85
B	2091606.01	1873082.83	1951973.86	1724050.69	1879012.15	1658567.55	1879409.06	1737279.25	2222029.42	1995325.28	5400354.31	1407170.10	1987567.02
C	2013384.24	2031742.14	2073888.46	1687017.19	2057111.74	2286549.30	1476606.09	1550045.85	2129646.61	1776162.55	5943501.54	1421944.74	1808807.41
D	1916954.73	1815917.10	1837617.55	1424584.14	2125553.27	1656005.04	1499200.64	1306282.31	1672183.10	1500079.34	4970045.76	2762843.16	1764032.93
E	1887377.05	2469352.92	1620717.49	1551855.60	2000518.18	1391808.76	1408492.39	1554749.84	1584472.63	1476940.10	2448846.72	2024391.96	1837080.90
F	1981026.21	1834572.58	1564489.73	1512599.83	1531982.71	1451001.01	1482640.42	1476783.77	1544869.60	1526292.47	2310937.38	2078718.76	1377063.79
G	1619485.41	1519945.73	1693912.03	2059089.74	1560051.47	1651150.40	1777582.04	1617107.72	1611507.94	1845119.93	2300453.89	1860472.08	1830927.35
H	1608687.63	1629075.12	1883696.92	1687740.55	1642147.16	1519181.36	1757941.40	1728625.83	1672841.17	1847974.94	2369671.11	1598021.30	1518138.18
I	2454481.11	2351419.83	3139552.89	2307385.72	2146606.44	2041069.94	3041016.62	2855336.12	2659799.50	3048498.55	1995165.21	2034858.05	1625623.92
J	2137846.46	1800543.73	2078991.95	1919981.12	1650064.19	1652152.38	2823935.42	2329395.40	2226135.82	2376781.12	2388295.54	1893279.25	1551472.32
K	1969844.06	1755225.67	1860097.06	1781256.31	1596385.16	2171620.27	2051572.40	1892964.35	1854793.54	1934802.64	1830965.94	1704274.41	1561813.39
L	2348842.48	2285561.34	1914504.07	1927802.59	1649048.32	3731455.45	1727603.35	2189861.73	1838749.18	2094377.71	2120988.05	1868013.46	1175793.39
M	2835066.16	2605957.18	2506476.19	2366620.76	6072513.17	5206293.09	2454892.25	2957834.13	2482460.72	2770316.12	2182358.78	1908703.71	1769088.12
N	1785969.23	1913316.51	1702853.40	1882862.45	1934006.67	2528974.80	1998080.75	1911331.12	1800974.74	1899281.88	2311044.99	1495081.34	962365.12
O	1541494.60	1393007.07	1465742.20	1396024.00	1348183.77	1344085.25	1799900.56	1704065.45	1467672.98	1618935.88	2440065.69	1341398.16	1562877.40
P	1486859.32	1383705.73	1488713.77	1506803.59	1339543.88	1300145.23	1477385.08	1565294.65	1490196.76	1591680.93	1879887.47	1340646.11	1961122.60
Q	1611294.19	1514319.18	1349929.90	1562198.19	1647712.30	1492525.47	1429200.35	1513453.51	1418475.18	1512168.55	1937246.39	2112418.98	28517388.00
R	1585283.12	1425327.64	1414222.83	1543409.15	1403262.11	1382963.45	1430827.32	1521848.95	1347581.97	1481498.04	2049310.27	1458773.62	1952772.03
S	1897706.97	2035741.68	2056891.84	2265379.57	2223893.68	2289347.94	3304618.73	4401341.97	2986957.05	2294383.49	1626951.70	1478363.32	3442320.66
T	2489453.62	2193398.96	2503400.25	2620129.04	2380295.18	2524289.76	3959019.71	4930439.68	3711804.59	2529787.22	1782709.29	1393953.01	3729905.67
U	2508628.70	2240088.73	2331400.22	2485732.07	2442300.57	2224356.08	2414964.48	2249429.84	2262053.02	2401032.28	1988551.86	1558694.27	3677545.66
V	1661258.71	1654516.24	1542394.23	1472221.57	1493021.58	1588720.83	1484586.42	1566239.89	1485660.96	1621965.29	1990927.06	1172346.06	3383492.40
W	1698134.29	1543237.33	1448351.47	1578029.45	1896040.68	1589921.93	1363911.89	1385616.59	1536363.65	1597994.44	2004859.75	1277876.79	2325863.33
X	1652641.99	1445032.40	1470745.43	1429443.44	1499526.91	1372274.85	1397566.82	1615498.18	1495609.02	1591037.77	1976983.62	1547716.51	1996852.03
