 	1	2	3	4	5	6	7	8	9	10	11	12	13
A	16202463.50	16481962.97	6112660.04	13223573.81	20181323.75	13721290.45	14828893.04	15042203.82	9825944.47	14679485.62	5380360.94	1123274.50	847104.43
B	12721712.56	11725255.28	5712373.64	11541960.09	10766733.78	12548072.43	12378093.08	10404897.31	7620325.23	9933295.47	4259663.94	1834919.51	8771644.28
C	8013791.09	7071656.48	7072001.62	8513043.94	15544210.80	8048179.87	6599105.75	7374563.74	4898387.13	5787725.32	3748594.39	1803671.21	6568387.75
D	7571654.07	10169323.26	3345358.75	6372871.90	6778813.07	7963463.65	5165943.09	5561552.75	4780699.77	4570898.16	4251656.84	9250354.22	7417780.63
E	8752254.37	8082126.79	3586186.01	6613321.19	6476579.96	7693305.79	6740071.89	7066928.70	4366040.25	5946340.98	13514839.12	8069843.13	9642887.17
F	7935846.52	8606013.08	4098602.20	7047303.49	7818090.12	8206099.83	6670184.58	6421804.91	4919730.11	6263234.04	9309233.39	13227450.38	8562896.30
G	9709278.78	9379141.78	6775488.03	12091569.32	9697421.96	11530824.68	9259502.64	10118811.06	6396461.84	9361985.44	13699890.90	13388153.39	10814555.09
H	9237429.75	10599858.14	5934003.00	8115056.61	8558026.00	10162454.66	9269789.28	9260970.40	5936668.67	9485528.11	13050365.89	13909879.29	12282671.90
I	14417923.76	14912628.93	7490868.56	12609982.52	14722720.37	16862526.21	16428964.79	14893327.56	9990114.05	15993411.30	15211787.71	25044967.73	4958384.67
J	12296475.52	13781612.67	6131444.60	12769157.07	12295135.47	14262758.84	15014661.24	14994842.46	10976960.69	16339310.15	19762123.65	17854235.25	11894772.58
K	11737292.52	10097879.57	5031547.06	9771214.38	10248639.86	11256808.74	10754836.46	11836621.21	8818207.16	11853379.06	13359423.88	6628877.90	7148930.77
L	17478945.94	15060018.26	6649058.47	12557067.92	13326889.11	14198343.86	13765548.71	16451298.31	13185905.38	24858054.23	7563478.53	13821790.29	1590650.46
M	23960460.02	20342769.75	13953008.59	13644021.73	9489254.29	11350206.14	12818485.50	16807128.41	12737502.78	16667812.40	14152525.70	13364459.23	1838430.91
N	11869949.40	10849575.59	6381320.20	10388295.68	8182502.49	9287921.56	12079925.87	12969891.98	9847984.82	13153535.39	13990332.08	4068629.85	840899.86
O	9075855.84	8873061.01	4221321.06	7989963.75	7644881.94	8478119.58	9329588.24	10662871.01	7813794.39	9341621.92	11221747.36	6662859.45	1626664.96
P	9432988.29	8829139.23	4557116.49	7888105.40	7532302.89	7805224.08	8623572.14	8873164.30	8049732.99	9219181.49	8385869.48	5444648.02	2353400.52
Q	10189933.88	8144900.01	3513623.24	8183182.48	7254029.65	8130641.98	8580265.45	8705692.93	7244720.98	8354396.30	12284053.30	7491644.40	2683859.27
R	9010871.38	8557361.07	4313451.13	8252450.28	7804098.03	7532338.06	9862018.13	8373435.18	7283856.65	8427406.45	12098524.77	9184817.31	5733584.72
S	7701854.39	8685544.50	4980944.76	10376503.63	8888347.32	9541743.05	9477406.84	9936260.54	8270092.68	9526667.62	12623630.84	9677705.98	28518861.34
T	9888321.03	10158704.10	6070949.89	10270172.02	9967623.52	10077138.01	9489221.93	11041952.17	9005587.32	9339869.63	14256078.21	11405763.51	51577052.87
U	11117549.41	10710895.41	5685001.06	10939424.66	10399488.97	9573935.74	9291062.88	10524005.52	8337671.10	8898506.13	10875750.09	10644429.70	22055930.42
V	10060299.66	11166481.44	4768376.48	8991036.06	9217069.47	9114531.12	8749844.34	10112396.73	8677578.12	9177048.08	5279555.33	6185952.98	12539451.81
W	11012073.73	11419016.91	5476411.62	9781470.33	12652820.77	12882529.36	7438520.98	10220064.91	7941073.79	11068646.25	12102843.22	7950927.60	25250907.90
X	10073208.39	11199106.76	5390241.73	10447775.42	10751275.94	11727348.57	8543758.53	10385831.11	6985042.02	9940308.78	11171379.71	10193001.35	12018034.75
